text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @ChinaDaily: #BTS's #Suga showed his generous heart by donating over 100 million KRW to help those affected by the #coronavirus outbreak…,Indonesia,0,84,547,48227,2020-02-28 09:15:40,False,,"#BTS, #Suga, #coronavirus"
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,"Mumbai, India",0,200,322,1425,2020-02-28 09:15:31,False,,#coronavirus
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,"Kuala Lumpur City, Kuala Lumpur Federal Territory",0,238,1432,50688,2020-02-28 09:15:30,False,,#COVID19
"RT @The_PattayaNews: Thailand confirms one more case of COVID19 Coronavirus, a Thai man who had just returned from… https://t.co/DLUAM5WaO5","Nong Khaem, Bangkok",0,0,3401,32207,2020-02-28 09:15:04,False,,
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,,0,200,113,15723,2020-02-28 09:15:00,False,,#coronavirus
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,"Michigan, USA",0,200,108,48406,2020-02-28 09:15:00,False,,#coronavirus
"South Korea, member of Shincheonji church in Daegu, 300km southeast of Seoul, became a “super-spreader ""of the viru… https://t.co/BnU616q4Dh",Sydney/TrinityBeach Australia,0,0,1561,56994,2020-02-28 09:14:27,False,,
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,jaipur rajasthan,0,200,50,1318,2020-02-28 09:14:22,False,,#coronavirus
"RT @NYCHealthCommr: The federal government expanded its criteria to test for #COVID19 to include Iran, Italy, Japan and South Korea. As a r…",,0,128,1529,310726,2020-02-28 09:14:12,False,,#COVID19
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,105,16895,2020-02-28 09:13:53,False,,#COVID19
RT @arirangtvnews: ▪ DRIVE-THRU COVID-19 TESTING  S. Korea conducts drive-thru coronavirus testing  #COVID19 #coronavirus #drive_thru https…,"Bangkok, Thailand",0,7,330,40517,2020-02-28 09:13:47,False,,"#COVID19, #coronavirus, #drive_thru"
"RT @disclosetv: BREAKING - South Korea reports 571 new #COVID19 cases for today, total now 2,337 people infected with coronavirus in the co…",,0,16,148,7947,2020-02-28 09:13:30,False,,#COVID19
"RT @viamediainfo: The South Korea is following the prediction table made in time of #Wunan Outbreak, before #China started playing with num…",where people dream of justice,0,2,302,9038,2020-02-28 09:13:22,False,,"#Wunan, #China"
#Covid19 #Coronavirus *Deaths* 2020-02-27  Max increase Iran +7 +36% Italy +5 +41% Japan +2 +100% South Korea +1 +… https://t.co/1ebuzvGPnM,,0,0,10,1146,2020-02-28 09:13:07,False,,"#Covid19, #Coronavirus"
RT @shahnonsalleh: North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report  https://t.co/asLQ41kO8y  - North Korea 101…,Di Bawah Lindungan Tuhan,0,10,347,6780,2020-02-28 09:12:36,False,,
RT @THAILANDMEDICA1: BREAKING! Coronavirus Detected In Pet Dogs In Hong Kong..https://t.co/6zd9HbvXR4  #NEWSで妄想ピンク  #news #coronavirus #Cor…,,0,9,261,1630,2020-02-28 09:12:28,False,,"#NEWSで妄想ピンク, #news, #coronavirus"
#Covid19 #Coronavirus *Confirmed cases* 2020-02-27  New countries San Marino Netherlands Estonia Denmark  Increase… https://t.co/lHt1dl9TC4,,0,0,10,1146,2020-02-28 09:12:14,False,,"#Covid19, #Coronavirus"
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,102,3177,2020-02-28 09:12:06,False,,#COVID19
"RT @viamediainfo: The South Korea is following the prediction table made in time of #Wunan Outbreak, before #China started playing with num…",UK - Spain - Poland,0,2,26,943,2020-02-28 09:11:39,False,,"#Wunan, #China"
"RT @GHS: Deaths from #COVID19 as of 27 Feb via @WHO #coronavirus   🌎 Total: 2,804 deaths  🇨🇳 China: 2,747 deaths  🇮🇷 Iran: 22 deaths  🇰🇷 So…","London, UK",0,453,1264,47644,2020-02-28 09:11:36,False,,"#COVID19, #coronavirus"
"RT @ABSCBNNews: #COVID19 UPDATE: South Korea #coronavirus cases pass 2,000: authorities | via @AFP https://t.co/THgmpctJaU",Baguio City,0,6,67,2226,2020-02-28 09:11:18,False,,"#COVID19, #coronavirus"
"The South Korea is following the prediction table made in time of #Wunan Outbreak, before #China started playing wi… https://t.co/Ufx9zqIBXY",,1,2,1082,2411,2020-02-28 09:11:01,False,,"#Wunan, #China"
"RT @GHS: Deaths from #COVID19 as of 27 Feb via @WHO #coronavirus   🌎 Total: 2,804 deaths  🇨🇳 China: 2,747 deaths  🇮🇷 Iran: 22 deaths  🇰🇷 So…",United States,0,453,2730,6343,2020-02-28 09:10:57,False,,"#COVID19, #coronavirus"
"RT @GHS: Deaths from #COVID19 as of 27 Feb via @WHO #coronavirus   🌎 Total: 2,804 deaths  🇨🇳 China: 2,747 deaths  🇮🇷 Iran: 22 deaths  🇰🇷 So…","Andhra Pradesh, India",0,453,2729,11537,2020-02-28 09:10:51,False,,"#COVID19, #coronavirus"
"RT @GHS: Deaths from #COVID19 as of 27 Feb via @WHO #coronavirus   🌎 Total: 2,804 deaths  🇨🇳 China: 2,747 deaths  🇮🇷 Iran: 22 deaths  🇰🇷 So…",Witham ,0,453,604,14726,2020-02-28 09:10:45,False,,"#COVID19, #coronavirus"
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,477,79844,2020-02-28 09:10:44,False,,#COVID19
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,Kuala Lumpur Federal Territory,0,238,89,2163,2020-02-28 09:10:13,False,,#COVID19
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,613,198479,2020-02-28 09:10:08,False,,#COVID19
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,545,22055,2020-02-28 09:09:50,False,,#COVID19
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,,0,200,432,26380,2020-02-28 09:09:40,False,,#coronavirus
"RT @HelenBranswell: South Korea's #Covid19 case numbers jumped 40% today (morning+afternoon reports), going from 1261 Feb. 26 to 1766 on Fe…",Circa Delhi,0,444,1163,178096,2020-02-28 09:08:23,False,,#Covid19
"28.FEB #COVID19 #SouthKorea @bongbongeng  S.Korea have tested +69,000 so far and have 25,000 #tests pending •Today… https://t.co/XvlugMDoXE",대한민국 강남구 Nonhyun-ro 657,1,0,30,221,2020-02-28 09:08:20,False,,"#COVID19, #SouthKorea, #tests"
"RT @GHS: Deaths from #COVID19 as of 27 Feb via @WHO #coronavirus   🌎 Total: 2,804 deaths  🇨🇳 China: 2,747 deaths  🇮🇷 Iran: 22 deaths  🇰🇷 So…",,0,453,2217,9125,2020-02-28 09:08:18,False,,"#COVID19, #coronavirus"
"RT @WHO: @DrTedros ""The #COVID19 epidemics in the Islamic Republic of Iran, Italy and the Republic of Korea demonstrate what this #coronavi…",,0,149,6350,41704,2020-02-28 09:08:06,False,,#COVID19
RT @NST_Online: #NSTnation South Korea nationals have been temporarily barred from visiting Malaysia.  #Covid19  https://t.co/R3TVpUwEAP,윤진,0,53,81,7306,2020-02-28 09:07:41,False,,"#NSTnation, #Covid19"
"RT @latestly: Coronavirus Scare: India Issues Consolidated Travel Advisory For Indians Visiting COVID-hit Countries Like China, Italy, Kore…",India,0,2,124,13345,2020-02-28 09:07:35,False,,
"RT @HelenBranswell: South Korea's #Covid19 case numbers jumped 40% today (morning+afternoon reports), going from 1261 Feb. 26 to 1766 on Fe…","Berry, New South Wales",0,444,1231,21595,2020-02-28 09:07:32,False,,#Covid19
"RT @GHS: Deaths from #COVID19 as of 27 Feb via @WHO #coronavirus   🌎 Total: 2,804 deaths  🇨🇳 China: 2,747 deaths  🇮🇷 Iran: 22 deaths  🇰🇷 So…",,0,453,1529,310726,2020-02-28 09:07:32,False,,"#COVID19, #coronavirus"
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,KUL | KBR,0,238,645,31338,2020-02-28 09:07:23,False,,#COVID19
RT @NST_Online: #NSTnation South Korea nationals have been temporarily barred from visiting Malaysia.  #Covid19  https://t.co/R3TVpUwEAP,Kuala Lumpur Federal Territory,0,53,62,1660,2020-02-28 09:07:09,False,,"#NSTnation, #Covid19"
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,Chennai ,0,200,241,18965,2020-02-28 09:06:59,False,,#coronavirus
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,173,39933,2020-02-28 09:06:50,False,,#COVID19
"RT @KoreanUpdates: South Korea reported 256 new cases of the coronavirus on Friday, bringing the total number of infections here to 2,022 h…",Indonesia,0,218,718,23939,2020-02-28 09:06:47,False,,
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,203,14843,2020-02-28 09:06:33,False,,#COVID19
RT @ChinaDaily: #BTS's #Suga showed his generous heart by donating over 100 million KRW to help those affected by the #coronavirus outbreak…,taehyung’s lil blazer pocket,0,84,39,1708,2020-02-28 09:06:31,False,,"#BTS, #Suga, #coronavirus"
RT @ChinaDaily: #Kpop megastars #BTS cancel Seoul concerts as #coronavirus spreads in South Korea. #COVID19 #좋은_날이_앞으로_많기를 https://t.co/sqg…,,0,14,1,171,2020-02-28 09:06:28,False,,"#Kpop, #BTS, #coronavirus, #COVID19, #좋은_날이_앞으로_많기를"
RT @NST_Online: #NSTnation South Korea nationals have been temporarily barred from visiting Malaysia.  #Covid19  https://t.co/R3TVpUwEAP,,0,53,827,56339,2020-02-28 09:06:08,False,,"#NSTnation, #Covid19"
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,107,51105,2020-02-28 09:05:53,False,,#COVID19
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,"Penang, Malaysia",0,238,238,15900,2020-02-28 09:05:47,False,,#COVID19
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,"Tamil Nadu, India",0,200,154,2380,2020-02-28 09:05:47,False,,#coronavirus
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,,0,238,523,105018,2020-02-28 09:05:45,False,,#COVID19
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,india,0,200,43,347,2020-02-28 09:05:44,False,,#coronavirus
"RT @Porter_Anderson: Media: @RepGaramendi (D-CA03) to @ErinBurnett on the need to test 8,400 people in California: ""The @CDCgov has refused…",,0,23,847,28539,2020-02-28 09:05:34,False,,
RT @NST_Online: #NSTnation South Korea nationals have been temporarily barred from visiting Malaysia.  #Covid19  https://t.co/R3TVpUwEAP,,0,53,205,39374,2020-02-28 09:05:22,False,,"#NSTnation, #Covid19"
RT @andymukherjee70: Total deaths to date from #coronavirus in Iran and South Korea same as the number of people killed in 48 hours of grue…,Madurai,0,200,5634,36803,2020-02-28 09:04:54,False,,#coronavirus
RT @HelenBranswell: South Korea's start of day #Covid19 numbers are up. +256 cases. No change in deaths.  South Korea's case count is now 2…,Southern hemisphere,0,179,16260,1498032,2020-02-28 09:04:45,False,,#Covid19
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,she/her,0,238,5945,51541,2020-02-28 09:03:45,False,,#COVID19
"RT @HelenBranswell: South Korea's #Covid19 case numbers jumped 40% today (morning+afternoon reports), going from 1261 Feb. 26 to 1766 on Fe…",Southern hemisphere,0,444,16260,1498032,2020-02-28 09:03:32,False,,#Covid19
"RT @kaibaumgartner: #SARSCoV2: Singaporean healthcare workers &amp; #coronavirus frontline staff get a bonus. Exec C-Suite, parliamentarians ta…",,0,1,96,2247,2020-02-28 09:03:24,False,,"#SARSCoV2, #coronavirus"
RT @HelenBranswell: South Korea's start of day #Covid19 numbers are up. +256 cases. No change in deaths.  South Korea's case count is now 2…,Belgium,0,179,503,378,2020-02-28 09:03:04,False,,#Covid19
RT @jayjaydenis: #COVID19  Malaysia will temporarily restrict travelers from South Korea. This includes visitors in Malaysia on transit fro…,selangor,0,238,279,11224,2020-02-28 09:03:04,False,,#COVID19
"RT @KoreanUpdates: South Korea reported 256 new cases of the coronavirus on Friday, bringing the total number of infections here to 2,022 h…",sidoarjo,0,218,545,25162,2020-02-28 09:03:01,False,,
