text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @MCBazacoPhD: When reading posts about #COVID19, check the sources. Is there a name associated with the account? Look them up on PubMed…","Sunshine Coast, Qld, Australia",0,73,1224,10185,2020-02-27 09:00:10,False,,#COVID19
COVID-19: CDC warns of community spread in US https://t.co/Ct2bmgtVM3 via @docguide  #كرونا #COVID19,,0,0,287,9595,2020-02-27 09:00:10,False,,"#كرونا, #COVID19"
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",Global,0,394,123,15959,2020-02-27 09:00:09,False,,
RT @CDCgov: What are five things you need to know about novel (new) #coronavirus? Watch as @DrNancyM_CDC answers important questions in thi…,"Durban, South Africa",0,1623,305,123502,2020-02-27 09:00:08,False,,#coronavirus
RT @DrSJaishankar: Consignment (15 tonnes) of Indian medical relief for #COVID19 lands in Wuhan. Strong expression of our solidarity with t…,"Patel Nagar, New Delhi , India",0,3140,39,3072,2020-02-27 09:00:07,False,,#COVID19
Is #HCPP20 going to get cancelled due to Wuhan #COVID19? @Paralelni_polis,8E06 CD76 ACE6 1F00,0,0,899,11380,2020-02-27 09:00:05,False,,"#HCPP20, #COVID19"
"RT @PDChina: #SouthKorea confirmed 171 new #COVID19 cases as of 4 pm local time on Thursday, bringing the total number of infections to 1,7…",France,0,11,62,5460,2020-02-27 09:00:02,False,,"#SouthKorea, #COVID19"
RT @DHSCgovuk: Here are the latest updates on the coronavirus (#COVID19) situation in the UK.  The government has put a range of measures i…,"Medway, Kent",0,165,4335,11697,2020-02-27 09:00:02,False,,#COVID19
"The Chinese central bank will cut the cash amount that should be received in some banks, a targeted measure to rele… https://t.co/iNVOcGFkNz","Beijing, China",0,0,4290254,115698,2020-02-27 09:00:01,True,,
"Covid-19 outbreak: 119 Indians, 5 foreigners from coronavirus-hit cruise ship land in Delhi https://t.co/6LVim0OIQ4… https://t.co/UJu0Xq8AfF","New Delhi, India",0,0,1600,9709,2020-02-27 09:00:00,False,,
Chinese woman travels 675 km without any coronavirus symptoms infects five relatives..... #Coronavirus #China… https://t.co/ZYTATOvjbd,online,0,0,626,38123,2020-02-27 09:00:00,False,,"#Coronavirus, #China"
"A #COVID19-infected person managed to leave Wuhan - the city still in lockdown - for Beijing, where she was found a… https://t.co/KkLnK9No7c","Beijing, China",0,0,7081801,81777,2020-02-27 09:00:00,True,,#COVID19
"The first #COVID19 case was confirmed in China, but the source of the virus might not have come from China, leading… https://t.co/bd1KapnzSt","Beijing, China",0,0,342118,717,2020-02-27 09:00:00,True,,#COVID19
"Bilibili @bilibili_en presented a #documentary ""In Wuhan"", the first of its kind to document the realities of life… https://t.co/svzDdvJ4iI",China,0,0,6889,5690,2020-02-27 09:00:00,False,,#documentary
"RT @Alex_Verbeek: 🇺🇸  OMG!  Pence, at corona virus press conference, wiped his nose with his hands then proceeded to shake everyone’s hands…",Cali,0,128,323,1072,2020-02-27 08:59:57,False,,
"RT @CGTNOfficial: Latest on #COVID19 situation in #MiddleEast:  Iran🇮🇷: 141 confirmed cases, 22 deaths Kuwait🇰🇼: 43 confirmed cases Bahrain…",SEREMBAN - KL,0,87,733,55795,2020-02-27 08:59:56,False,,"#COVID19, #MiddleEast"
RT @Thoton: All of the elementary and junior-high schools and kindergartens in the Osaka City to be closed for two weeks in an effort to pr…,,0,23,873,34526,2020-02-27 08:59:56,False,,
"RT @Alex_Verbeek: 🇺🇸  OMG!  Pence, at corona virus press conference, wiped his nose with his hands then proceeded to shake everyone’s hands…",THE MOON UNTIL#45 IS GONE!,0,128,1395,40396,2020-02-27 08:59:56,False,,
RT @nancylevine: @duty2warn Scientists and doctors at @CDCgov are not sheep. They will not obey Trump's orders to lie or mislead the public…,"Durban, South Africa",0,74,305,123502,2020-02-27 08:59:56,False,,
RT @COVID_19_News: #coronavirus #COVID19 #Covid_19 Global Cases: 🇨🇳78 497 🇰🇷1 595 🇯🇵894 🇮🇹479 🇮🇷139 🇸🇬93 🇭🇰91 🇺🇸61 🇹🇭40 🇧🇭33 🇹🇼32 🇩🇪27 🇰🇼26…,,0,15,86,132145,2020-02-27 08:59:55,False,,"#coronavirus, #COVID19, #Covid_19"
"RT @MillerCrime: Mike Pence’s public health record includes denying the dangers of tobacco, HIV/AIDS and validating anti-vaxxers 💀  #corona…",Southern Ontario Canada,0,8,7689,77084,2020-02-27 08:59:55,False,,
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…","Selangor, Malaysia",0,394,1956,93904,2020-02-27 08:59:54,False,,
RT @HiiwNungsue: FYI ka from 100 deadly skills : survival edition #โคโรน่าไวรัส #โควิด19 #COVID19 #ไวรัสโคโรน่าสายพันธุ์ใหม่2019 https://t.…,,0,71,360,58562,2020-02-27 08:59:53,False,,"#โคโรน่าไวรัส, #โควิด19, #COVID19, #ไวรัสโคโรน่าสายพันธุ์ใหม่2019"
RT @zurairi: How Malaysia contained the #COVID19 spread: The heroes behind the scenes https://t.co/OuA6wRIgHl  @malaymail takes a look insi…,,0,187,755,85881,2020-02-27 08:59:53,False,,#COVID19
RT @HongKongFP: Coronavirus: Hong Kong’s Hospital Authority targets medics who went on strike to urge border closure https://t.co/RT75JovGx…,,0,162,318,29300,2020-02-27 08:59:52,False,,
RT @OliverBecquart: What happens when you try to escape a coronavirus stop. #CoronavirusOutbreak #COVIDー19 #coronavirus #COVID19 https://t.…,"Chiang Mai, Thailand",0,960,88,1636,2020-02-27 08:59:46,False,,"#CoronavirusOutbreak, #COVIDー19, #coronavirus, #COVID19"
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,ㅋㅋㅋ,0,25,189,312836,2020-02-27 08:59:45,False,,#COVID19
RT @OliverBecquart: What happens when you try to escape a coronavirus stop. #CoronavirusOutbreak #COVIDー19 #coronavirus #COVID19 https://t.…,,0,960,64,4515,2020-02-27 08:59:43,False,,"#CoronavirusOutbreak, #COVIDー19, #coronavirus, #COVID19"
Houston we have a problem #COVID19 https://t.co/G5wltLqtX5,"Seattle, WA",0,0,4228,2859,2020-02-27 08:59:43,False,,#COVID19
RT @DrTedros: Here is my full briefing to Member States on #COVID19 today 👉 https://t.co/v4n7BayY2Z,PH violetagloria.blogspot.com,0,112,1532,23046,2020-02-27 08:59:42,False,,#COVID19
"RT @aliarouzi: Now there are suspicions that #Iran’s gov spox (left of picture) may have contracted #COVID19 from deputy health minister, w…",Midwest Red state👤🇺🇸,0,551,3447,113130,2020-02-27 08:59:41,False,,"#Iran, #COVID19"
RT @NomeDaBarbarian: I am not an expert in immunology - I follow doctors for that.  But I did spend 9 years as a manager at a pizza place t…,"Atlanta, GA",0,39,176,19278,2020-02-27 08:59:40,False,,
"RT @traumagasdoc: A fair number of masks at Heathrow today, some children with enormous adult sized masks basically flopping around doing n…",UK,0,10,1838,85946,2020-02-27 08:59:39,False,,
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,,0,26,1120,346276,2020-02-27 08:59:38,False,,#COVID19
"RT @DrTedros: .@WHO just published guidance on how to prevent the spread of #COVID19 in a workplace &amp; protect your customers, contractors &amp;…",,0,1391,94,5637,2020-02-27 08:59:38,False,,#COVID19
"RT @WHO: If you are not in an area where #COVID19 is spreading, or if you have not travelled from one of those areas or have not been in cl…",U,0,678,2817,939659,2020-02-27 08:59:35,False,,#COVID19
"RT @davidalim: Trump: ""We’re testing everyone we need to test, and we’re finding very little problem.""  The United States is barely testing…",London,0,539,3233,23922,2020-02-27 08:59:33,False,,
RT @KSAmofaEN: We ask God Almighty to spare all humanity from all harm  #CoronaVirus #COVID19 https://t.co/TEYvIW1Wbd,Salafīhood,0,336,228,4602,2020-02-27 08:59:33,False,,"#CoronaVirus, #COVID19"
RT @Kaberia_jr: I don't know who should hear this but please tag everyone who need to see this. Corona Virus is not a child play!#coronavir…,World,0,206,8031,1902,2020-02-27 08:59:32,False,,
2019 coronavirus: The Korean clusters   How #coronavirus cases exploded in South Korean churches and hospitals… https://t.co/hUQALabL3U,"Live from Vancouver, BC 🇨🇦",0,0,3315,83095,2020-02-27 08:59:31,False,,#coronavirus
RT @IndoPac_Info: #coronavirus   Update # 1 to the table in the first tweet of this thread:  #Iran: 2 new cases &amp; 3 new deaths - New totals…,"Earth, Sol System.",0,5,1630,39256,2020-02-27 08:59:30,False,,"#coronavirus, #Iran"
"RT @traumagasdoc: A fair number of masks at Heathrow today, some children with enormous adult sized masks basically flopping around doing n…","Normanton, England",0,10,724,6115,2020-02-27 08:59:28,False,,
"RT @CGTNOfficial: #SouthKorea confirms 505 more #COVID19 cases in just one day, bringing the total to 1,766 on Thursday, according to Yonha…",,0,13,792,113143,2020-02-27 08:59:27,False,,"#SouthKorea, #COVID19"
RT @DrDenaGrayson: 🚨BREAKING: A person in #California—NOT exposed to anyone with #coronavirus &amp; NO travel to #COVID19 areas—tested positive…,,0,2132,1,137,2020-02-27 08:59:27,False,,"#California, #coronavirus, #COVID19"
"RT @galileocheng: Japanese woman confirmed as coronavirus case for second time, weeks after initial recovery https://t.co/j4USbEPRJJ #COVID…",Tokyo,0,209,8986,322011,2020-02-27 08:59:25,False,,
RT @jfischoff: This single case at UC Davis highlights the problems with the approach the US has taken for #COVID19.  The patient has conta…,,0,2,868,118103,2020-02-27 08:59:24,False,,#COVID19
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,,0,26,1964,34365,2020-02-27 08:59:24,False,,#COVID19
RT @HannahNamMD: 🚨DRIVE-IN TEST CENTERS FOR #COVID19!  A few of South Korea's large hospitals have installed drive in testing centers and I…,,0,211,981,26903,2020-02-27 08:59:24,False,,#COVID19
