text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @XYZHKCSW: Today in a nursing home in #Wuhan, all 120 elderly people were infected. A dozen ambulances came and dragged them away, so te…",Twitter bans free speech,0,36,6489,36405,2020-02-27 12:00:15,False,,#Wuhan
Welcomeback Doctor 👨‍🏫  #coronavirus #coronaviruschina #corona #coronavirusoutbreak #Wuhan #WuhanCoronavirus… https://t.co/HgqDOAftAq,,0,0,34,533,2020-02-27 12:00:14,False,,"#coronavirus, #coronaviruschina, #corona, #coronavirusoutbreak, #Wuhan, #WuhanCoronavirus"
RT @Stevejonesblog: The effects of the Coronavirus on temple ritual practice—a report from Sichuan #coronavirus #2019nC0V #WuhanCoronavirus…,"Hamilton, Ontario",0,1,2621,24937,2020-02-27 12:00:06,False,,"#coronavirus, #2019nC0V, #WuhanCoronavirus"
Stupidity is not knowing WTF to really worry about.  #NatureVsMoney  #coronavirus #WuhanCoronavirus #COVID19 https://t.co/9jNiyyRwsj,NYC,0,0,165,21908,2020-02-27 11:57:20,False,,"#NatureVsMoney, #coronavirus, #WuhanCoronavirus, #COVID19"
RT @WBYeats1865: #China The CCP urged everyone to resume work to save China from the imminent economic crisis.  This was alleged filmed in…,,0,847,71,12450,2020-02-27 11:57:14,False,,#China
"RT @SamParkerSenate: 3. The WHO, CDC, Fort Detrick, NIH &amp; Big Pharma all know what's going on. Their corporate media allies are not going t…","Meppel, Nederland",0,358,865,2878,2020-02-27 11:56:52,False,,
RT @WBYeats1865: #China The CCP urged everyone to resume work to save China from the imminent economic crisis.  This was alleged filmed in…,,0,847,132,12479,2020-02-27 11:56:10,False,,#China
"RT @imshinbei: Bruce Aylward, Assistant Director-General of WHO, said ""if I had COVID-19, I'd want to be treated in China"" after returning…",United State,0,28,246,2103,2020-02-27 11:53:23,False,,
Chinese woman travels 675 km without any coronavirus symptoms infects five relatives || #Coronavirus #China #Wuhan… https://t.co/aMITgaJ5RC,online,0,0,626,38139,2020-02-27 11:50:00,False,,"#Coronavirus, #China, #Wuhan"
Virus contributing factor in Montrose woman's death: KJCT8 https://t.co/uMRCUt8dBW #Coronavirus #WuhanCoronavirus… https://t.co/JpfEyIbzR0,"New York, NY",0,0,34838,943767,2020-02-27 11:49:03,False,,"#Coronavirus, #WuhanCoronavirus"
"RT @XYZHKCSW: Today in a nursing home in #Wuhan, all 120 elderly people were infected. A dozen ambulances came and dragged them away, so te…","Sydney, Australia",0,36,46,399,2020-02-27 11:48:39,False,,#Wuhan
"RT @SamParkerSenate: 3. The WHO, CDC, Fort Detrick, NIH &amp; Big Pharma all know what's going on. Their corporate media allies are not going t…",,0,358,1347,53893,2020-02-27 11:48:06,False,,
Microsoft warns it will miss guidance for segment that includes Windows because of coronavirus… https://t.co/YVtiBA8rs5,NYC,0,0,165,21908,2020-02-27 11:47:43,False,,
RT @WBYeats1865: #China The CCP urged everyone to resume work to save China from the imminent economic crisis.  This was alleged filmed in…,Makati City,0,847,94,14088,2020-02-27 11:47:42,False,,#China
RT @WBYeats1865: #China The CCP urged everyone to resume work to save China from the imminent economic crisis.  This was alleged filmed in…,"Helsinki, Suomi",0,847,125,17442,2020-02-27 11:47:34,False,,#China
My biz trip to NYC just has been postponed indefinitely due to #COVID19. Ouch.  #chinavirus #wuhancoronavirus… https://t.co/jEmT4a2KVj,"Venice, CA",0,0,1067,10108,2020-02-27 11:46:26,False,,"#COVID19, #chinavirus, #wuhancoronavirus"
#France prepares for #coronavirus #Epidemic #crisis - #Macron   #ChinaCoronaVirus #coronavirusitalIa… https://t.co/sPFIIpbetw,SRI LANKA,0,0,102,793,2020-02-27 11:45:22,False,,"#France, #coronavirus, #Epidemic, #crisis, #Macron, #ChinaCoronaVirus, #coronavirusitalIa"
"RT @imshinbei: Bruce Aylward, Assistant Director-General of WHO, said ""if I had COVID-19, I'd want to be treated in China"" after returning…",,0,28,70,4033,2020-02-27 11:44:52,False,,
RT @WBYeats1865: #China The CCP urged everyone to resume work to save China from the imminent economic crisis.  This was alleged filmed in…,,0,847,70,4033,2020-02-27 11:44:25,False,,#China
"RT @imshinbei: Bruce Aylward, Assistant Director-General of WHO, said ""if I had COVID-19, I'd want to be treated in China"" after returning…",Hong Kong,0,28,268,8458,2020-02-27 11:43:50,False,,
"RT @imshinbei: Bruce Aylward, Assistant Director-General of WHO, said ""if I had COVID-19, I'd want to be treated in China"" after returning…",,0,28,174,5455,2020-02-27 11:41:44,False,,
"RT @mikecane: “normally, you don’t screen asymptomatic healthy people for the virus because it’s too expensive.”  #NatureVsMoney  #coronavi…","Buenos Aires, Argentina",0,1,2812,27633,2020-02-27 11:41:28,False,,#NatureVsMoney
RT @mikecane: THIS.  So important I've red boxed it.  https://t.co/uLvlL0Scf1  #NatureVsMoney  #coronavirus #WuhanCoronavirus #COVID19 http…,"Buenos Aires, Argentina",0,1,2812,27633,2020-02-27 11:41:21,False,,"#NatureVsMoney, #coronavirus, #WuhanCoronavirus, #COVID19"
RT @COVID19_WUHAN: #Wuflu #Wuhan #Coronavirus #Pandemia #WuhanCoronavirus #WuhanOutbreak   I monitor the wuflu outbreak and retweet up to d…,,0,32,2665,37707,2020-02-27 11:40:40,False,,"#Wuflu, #Wuhan, #Coronavirus, #Pandemia, #WuhanCoronavirus, #WuhanOutbreak"
RT @David90582574: To mainstream media and Wall Street elites- ‘The chickens are coming home to roost! ‘ While facing the pandemics of COVI…,,0,87,508,5000,2020-02-27 11:40:01,False,,
RT @EcoInternetDrGB: Delivery During CoronaVirus Outbreak #CONVID-19: YouTube https://t.co/Tt23TQ8AwQ #Coronavirus #WuhanCoronavirus  MORE…,Nepal,0,1,7999,13454,2020-02-27 11:39:13,False,,"#CONVID, #Coronavirus, #WuhanCoronavirus"
