text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @CGTNOfficial: How do volunteers help #Wuhan residents amid the lockdown due to novel #coronavirus?  Community Volunteer Dai Yuan takes…,"Nairobi, Kenya",0,18,969,24577,2020-02-27 12:00:35,False,,"#Wuhan, #coronavirus"
Welcomeback Doctor 👨‍🏫  #coronavirus #coronaviruschina #corona #coronavirusoutbreak #Wuhan #WuhanCoronavirus… https://t.co/HgqDOAftAq,,0,0,34,533,2020-02-27 12:00:14,False,,"#coronavirus, #coronaviruschina, #corona, #coronavirusoutbreak, #Wuhan, #WuhanCoronavirus"
Wuhan Coronavirus people in panic #coronavirus #wuhan #china #epidemic #... https://t.co/vmrJGuggS5 via @YouTube,26000,0,0,1348,20450,2020-02-27 12:00:06,False,,"#coronavirus, #wuhan, #china, #epidemic"
RT @OvlovUltra: CDC: Which facial hair styles are best for preventing coronavirus spread?  #London #Italy  #CoronavirusDisease  #Coronaviru…,Rome & Bucharest,0,1,8555,11500,2020-02-27 11:59:22,False,,"#London, #Italy, #CoronavirusDisease"
RT @BostonRoca: #Italy (along with #Iran) The new #Wuhan #China hotbed. #COVID19italia #coronavirus https://t.co/zDTMU2w7Li,Rome & Bucharest,0,1,8555,11500,2020-02-27 11:58:37,False,,"#Italy, #Iran, #Wuhan, #China, #COVID19italia, #coronavirus"
"RT @WilliamYang120: More on #COVID19 in #China - Two medical worker from Guangdong, who have been treating patients at the frontline in #Wu…","Brisbane, Queensland",0,957,16129,143613,2020-02-27 11:58:09,False,,"#COVID19, #China"
RT @EpochTimes: “Such a long incubation period would undoubtedly present a larger challenge to the whole public health effort.”  #Chinese m…,"Kobe-shi Chuo-ku, Hyogo",0,218,201,21490,2020-02-27 11:57:51,False,,#Chinese
RT @AMychkovsky: The world must thank the #Wuhan physicians and nurses on the front lines fighting the #coronavirus.  When lesser people ra…,Hargeisa - London,0,686,24577,22717,2020-02-27 11:57:45,False,,"#Wuhan, #coronavirus"
"RT @WilliamYang120: More on #COVID19 in #China - Two medical worker from Guangdong, who have been treating patients at the frontline in #Wu…",,0,957,5,1901,2020-02-27 11:57:12,False,,"#COVID19, #China"
TFW the acting secretary of @DHSgov says the #coronavirus mortality rate of 2% is the same as the flu. Flu actually… https://t.co/zxks1VG1Ix,,0,0,631,4080,2020-02-27 11:57:00,False,,#coronavirus
RT @JamieRJN: This didn’t just spring out of nowhere. People are afraid to speak their minds. Is #coronavirus advanced / pandemic because i…,WALES,0,3,601,2682,2020-02-27 11:56:55,False,,#coronavirus
"RT @WilliamYang120: More on #COVID19 in #China - Two medical worker from Guangdong, who have been treating patients at the frontline in #Wu…",United States,0,957,3185,18491,2020-02-27 11:56:47,False,,"#COVID19, #China"
RT @JamieRJN: This didn’t just spring out of nowhere. People are afraid to speak their minds. Is #coronavirus advanced / pandemic because i…,,0,3,2148,102304,2020-02-27 11:56:36,False,,#coronavirus
"RT @patrickpoon: #LiZehua, a former CCTV7 host who was born after 1995, was taken away at around 10pm on 26 Feb in #Wuhan. He’s in Wuhan ta…",Bielefeld,0,11,871,27351,2020-02-27 11:56:29,False,,"#LiZehua, #Wuhan"
RT @JamieRJN: This didn’t just spring out of nowhere. People are afraid to speak their minds. Is #coronavirus advanced / pandemic because i…,"South West, England",0,3,2846,61501,2020-02-27 11:56:19,False,,#coronavirus
"RT @HimalayaGlobal: ""I am out of water and food It has been a month since I reported it They told me “just wait”  My husband and my child w…",台灣,0,167,179,30557,2020-02-27 11:56:06,False,,
RT @AMychkovsky: The world must thank the #Wuhan physicians and nurses on the front lines fighting the #coronavirus.  When lesser people ra…,,0,686,1,11,2020-02-27 11:56:02,False,,"#Wuhan, #coronavirus"
"RT @WilliamYang120: More on #COVID19 in #China - Two medical worker from Guangdong, who have been treating patients at the frontline in #Wu…",,0,957,307,14417,2020-02-27 11:55:28,False,,"#COVID19, #China"
RT @RealJamesWoods: The simmering catastrophe of Democrat-destroyed California coupled with the #Wuhan #CoronaVirus is a nightmare. Take a…,"Cincinnati, OH",0,5374,37,3126,2020-02-27 11:55:24,False,,"#Wuhan, #CoronaVirus"
RT @Terrence_STR: BREAKING: Chinese scientists are starting to speak out and say COVID-19 (#coronavirus) originated at a government bioweap…,Twitter bans free speech,0,338,6489,36405,2020-02-27 11:55:17,False,,#coronavirus
RT @RealJamesWoods: The simmering catastrophe of Democrat-destroyed California coupled with the #Wuhan #CoronaVirus is a nightmare. Take a…,United States,0,5374,3808,18044,2020-02-27 11:54:52,False,,"#Wuhan, #CoronaVirus"
