text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"Japan’s Abe Closes Schools Nationwide; South Korea Confirms 505 New Cases, Surpassing China For First Time… https://t.co/LIlnabFQUd",,0,0,1416,112835,2020-02-27 12:14:34,False,,
"RT @janisfrayer: In #Japan, a woman working as a tour bus guide in Osaka had made a full recovery from #COVID19. Then, she tested positive…",,0,49,9,373,2020-02-27 12:14:32,False,,"#Japan, #COVID19"
#CoronaVirus updates :  * #SaudiArabia bans foreigners from entering the country for pilgrimages &amp; tourists from co… https://t.co/d9OCF4U62l,"Colombo, Sri Lanka",0,0,1026,6830,2020-02-27 12:14:32,False,,"#CoronaVirus, #SaudiArabia"
RT @BeholdIsrael: #Japan's Prime Minister Abe asks schools across the country to be closed from Monday to prevent the spread of #coronaviru…,"North Carolina, USA",0,19,10113,27686,2020-02-27 12:14:28,False,,#Japan
4072 #COVID19 #Coronavirus cases outside of China (+27%/18H)  #Iran: 245(+76%) #Kuwait: 43(+72%) #SK: 1766(+40%)… https://t.co/aZHTimLf6m,Paris,0,0,696,3374,2020-02-27 12:14:19,False,,"#COVID19, #Coronavirus, #Iran, #Kuwait, #SK"
RT @bo40124: The Japanese government does not allow to run tests on coronavirus for many suspected cases because this regime does not want…,東京都,0,53,534,194453,2020-02-27 12:14:03,False,,
"RT @globaltimesnews: 13 new infected cases with #COVID19 were just confirmed in Hokkaido, #Japan, including two boys under the age of 10. T…","Warszawa, Polska",0,25,847,22948,2020-02-27 12:13:57,False,,"#COVID19, #Japan"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,,0,137,9,377,2020-02-27 12:13:32,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
RT @therisingwasabi: Japan Releases 2020 Coronavirus Blossom Forecast https://t.co/ztU3ueBMer #CoronaVirus #Japan #CoronaVirusBlossom,"California, United States",0,27,500,212516,2020-02-27 12:12:39,False,,"#CoronaVirus, #Japan, #CoronaVirusBlossom"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,India,0,137,632,126184,2020-02-27 12:12:32,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
"#Coronavirus infects woman in #Japan for the second time, a first in the country.  #COVID2019  https://t.co/OzjU7TCFf5","SE NC, USA",0,0,3816,257830,2020-02-27 12:11:58,False,,"#Coronavirus, #Japan, #COVID2019"
"RT @janisfrayer: #Japan's PM urged all elementary, middle &amp; high schools to close temporarily, saying a week or two is crucial to contain #…","London, England",0,6,9312,24074,2020-02-27 12:11:56,True,,#Japan
"RT @janisfrayer: In #Japan, a woman working as a tour bus guide in Osaka had made a full recovery from #COVID19. Then, she tested positive…",,0,49,1245,8229,2020-02-27 12:11:48,False,,"#Japan, #COVID19"
RT @BeholdIsrael: #Japan's Prime Minister Abe asks schools across the country to be closed from Monday to prevent the spread of #coronaviru…,,0,19,37,2574,2020-02-27 12:11:39,False,,#Japan
Is that a...worst-case scenario?  #Japan #coronavirus #selfemployed #自営業 https://t.co/Nma0O7fsyf,"Tokyo-to, Japan",0,0,130,1549,2020-02-27 12:11:29,False,,"#Japan, #coronavirus, #selfemployed, #自営業"
#Japan to shutdown schools due to fear of #coronavirus https://t.co/iPZXfW99t7,Abuja. Nigeria,0,0,10164,21796,2020-02-27 12:11:11,False,,"#Japan, #coronavirus"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,,0,137,112,3065,2020-02-27 12:10:43,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
"#Japanese #PrimeMinister #ShinzoAbe said that the govt wll ask all elementary, junior-high &amp; high schools to tempor… https://t.co/7nbW6GJt9s",Pune,0,0,944,2383,2020-02-27 12:10:24,False,,"#Japanese, #PrimeMinister, #ShinzoAbe"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,INDIA,0,137,2155,60230,2020-02-27 12:09:46,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
RT @therisingwasabi: Japan Releases 2020 Coronavirus Blossom Forecast https://t.co/ztU3ueBMer #CoronaVirus #Japan #CoronaVirusBlossom,Jungle,0,27,85,9092,2020-02-27 12:09:40,False,,"#CoronaVirus, #Japan, #CoronaVirusBlossom"
"RT @janisfrayer: In #Japan, a woman working as a tour bus guide in Osaka had made a full recovery from #COVID19. Then, she tested positive…",Montréal,0,49,806,23745,2020-02-27 12:09:38,False,,"#Japan, #COVID19"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,"Amroha, Uttar Pradesh, India",0,137,32,3578,2020-02-27 12:09:30,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,"Tamil Nadu, India",0,137,1,333,2020-02-27 12:09:26,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
RT @GoNews_India: 119 Indians along with five foreign nationals stuck in #DiamondPrincess cruise ship in #Japan airlifted by @AirIndia's fl…,San jose Costa Rica,0,3,261,22154,2020-02-27 12:08:44,False,,"#DiamondPrincess, #Japan"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,,0,137,397,2977,2020-02-27 12:08:34,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
