text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @RitaCosby: How concerned are YOU about #CoronaVirus worldwide and in your own community given the latest updates from @WHO? #coronaviru…,America,0,1405,5896,70202,2020-02-28 09:00:00,False,,#CoronaVirus
#iran is out of control with #nCoV2019 #nCoV2020 #coronavirus #COVID #COVID19italia because the old dictators have… https://t.co/MFoZ4vr0C8,where people dream of justice,0,0,302,9031,2020-02-28 09:00:00,False,,"#iran, #nCoV2019, #nCoV2020, #coronavirus, #COVID, #COVID19italia"
RT @MisterRedefined: Don't forget to shoot your video in a well lit/healthy environment for the #MTNYelloStar and most importantly remember…,"Lagos, Nigeria",0,4,74,73,2020-02-28 08:59:59,False,,#MTNYelloStar
RT @RadioPakistan: State Minister for Health Dr Zafar Mirza @zfrmrza reviews the situation at #TaftanZahdan border and inspected arrangemen…,"England, United Kingdom",0,8,1969,104754,2020-02-28 08:59:59,False,,#TaftanZahdan
@DaveMonkEssex Dave has told @BenFryer &amp; @sonwatson how he is now to be tested for #coronavirus and is self-isolati… https://t.co/TxinJWBOAn,"Essex, UK",0,0,60371,70845,2020-02-28 08:59:59,True,,#coronavirus
"@business oh great, now if a plane doesn't have #coronavirus you can be assured it has the world's toughest disinfe… https://t.co/Wav1edRQa7",,0,0,27,106,2020-02-28 08:59:59,False,,#coronavirus
"RT @2019nCoVwatcher: INTERNATIONAL TRAVEL:   A study suggests Iran already had 18,300 cases of #coronavirus on 23 February, based on export…",,0,18,57,8624,2020-02-28 08:59:59,False,,#coronavirus
"RT @sultanofAba: Good day my people, this is a video on how to greet people now that #coronavirus is in Nigeria, be guided.😷😷😷😷😷 #coronavir…",Australia,0,40,11,86,2020-02-28 08:59:58,False,,#coronavirus
RT @Jerusalem_Post: Israel's Health Ministry on Friday confirmed a second case of #coronavirus in the country.   https://t.co/RDNCddd5gF,,0,6,299,5082,2020-02-28 08:59:58,False,,#coronavirus
RT @SenHawleyPress: Stronger reporting requirements will help reveal the degree to which our medical product industry is reliant on Chinese…,Hong Kong,0,633,111,7322,2020-02-28 08:59:57,False,,
Everyone should be like this Italian guy and just chill a bit about #coronavirus #COVID2019 #SARSCoV2… https://t.co/3UUYmxy9Xp,"Aix-en-Provence, France",0,0,205,2397,2020-02-28 08:59:57,False,,"#coronavirus, #COVID2019, #SARSCoV2"
RT @YinkaPost: Here is a video of HOW TO WEAR A MASK by WHO to prevent #coronavirus  #coronavirusnigeria #CoronaVirusUpdates https://t.co/F…,Global,0,897,1225,4465,2020-02-28 08:59:57,False,,"#coronavirus, #coronavirusnigeria, #CoronaVirusUpdates"
RT @HawleyMO: My legislation will help secure our medical supply chains amid this #coronavirus outbreak. Too many of our vital antibiotics…,"San Jose, CA",0,3767,1072,28853,2020-02-28 08:59:56,False,,#coronavirus
"#CORONAVIRUS SPENDING BILL COULD BE USED TO CEMENT #SPYING POWERS, #SURVEILLANCE CRITICS IN CONGRESS WARNED https://t.co/RxmVojlJHp",The Earth,0,0,688,14781,2020-02-28 08:59:56,False,,"#CORONAVIRUS, #SPYING, #SURVEILLANCE"
"RT @SpeakerPelosi: The U.S. Government must do more to address the spread of #coronavirus in a smart, strategic, and serious way. @SenSchum…",,0,4595,4688,573710,2020-02-28 08:59:56,False,,#coronavirus
RT @trish_regan: We must fight #Coronavirus w/ everything we’ve got. Lock down our #borders—Don’t allow anyone into the country from any co…,,0,686,49,7082,2020-02-28 08:59:56,False,,"#Coronavirus, #borders"
RT @NickDixonITV: Just arrived at Heathrow T5 after 4 days in Milan - was fully expecting a thermal temperature check. Nothing. Straight th…,"Buckingham, England",0,683,3625,210800,2020-02-28 08:59:56,False,,
RT @ScottGottliebMD: Very important step by CDC. Will give providers discretion to test for #coronavirus when they suspect it could be caus…,,0,343,21,561,2020-02-28 08:59:56,False,,#coronavirus
RT @GuillaumeBess13: 5 main things to know about #coronavirus spread.  #CoronavirusOutbreak #COVID2019   via @kuriharan   https://t.co/iunB…,"Calgary, Alberta",0,87,1025,6079,2020-02-28 08:59:56,False,,"#coronavirus, #CoronavirusOutbreak, #COVID2019"
