text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
2–27–20: Let’s get some #coronavirus #supplies and get #home. #YouLookLikeTheRightType #MarkAddisonSmith #daily… https://t.co/CozhXHQ1wb,NYC,0,0,284,4514,2020-02-28 05:16:23,False,,"#coronavirus, #supplies, #home, #YouLookLikeTheRightType, #MarkAddisonSmith, #daily"
Wondering if coronavirus will have a long term impact on our social behavior. Begining to see people being uncomfor… https://t.co/fUc0agA8TA,Chicago,0,0,235,833,2020-02-28 04:10:32,False,,
RT @PndmcSrvvrsUSA: Angela used to be aggressively optimistic. #COVID19 #SARSCoV2 #coronavirus #outbreak #Wuhan #China #pandemic #USA #Aust…,Manila,0,5,790,120525,2020-02-28 03:00:46,False,,"#COVID19, #SARSCoV2, #coronavirus, #outbreak, #Wuhan, #China, #pandemic, #USA"
RT @krispekitty: God bless #chicago #wienerscircle #PenceIsANationalSecurityRisk #PenceIsAntiScience #coronavirus https://t.co/S5x8qCoFWS,Illinois,0,2,89,7299,2020-02-28 02:28:53,False,,"#chicago, #wienerscircle, #PenceIsANationalSecurityRisk, #PenceIsAntiScience, #coronavirus"
RT @krispekitty: God bless #chicago #wienerscircle #PenceIsANationalSecurityRisk #PenceIsAntiScience #coronavirus https://t.co/S5x8qCoFWS,somewhere warm finally😜,0,2,3941,100913,2020-02-28 02:15:38,False,,"#chicago, #wienerscircle, #PenceIsANationalSecurityRisk, #PenceIsAntiScience, #coronavirus"
God bless The Wieners Circle #chicago #coronavirus https://t.co/PisKMJla9N,Land of the free,0,0,611,8433,2020-02-28 02:02:55,False,,"#chicago, #coronavirus"
RT @DJWallach77: @chicagotribune what the heavenly hell. #Chicago this is your #newspaper and they are trying to capitalize on the #coronav…,Planet Earth,0,1,1050,2047,2020-02-28 01:30:02,False,,"#Chicago, #newspaper"
@chicagotribune what the heavenly hell. #Chicago this is your #newspaper and they are trying to capitalize on the… https://t.co/Q9IZu3ZXdb,Chicago,1,1,2054,8500,2020-02-28 01:29:45,False,,"#Chicago, #newspaper"
God bless #chicago #wienerscircle #PenceIsANationalSecurityRisk #PenceIsAntiScience #coronavirus https://t.co/S5x8qCoFWS,,5,2,1116,37112,2020-02-28 01:22:21,False,,"#chicago, #wienerscircle, #PenceIsANationalSecurityRisk, #PenceIsAntiScience, #coronavirus"
"After what felt like a 17-day week that’s not over, it felt great to take a walk in the crisp air around the ‘hood.… https://t.co/EAfOmmO1jj","Chicago, IL",12,0,2766,69332,2020-02-28 00:57:22,False,,
