text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",,0,431,5,3858,2020-02-28 18:00:42,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",,0,431,10009,32524,2020-02-28 18:00:33,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",Hong Kong,0,431,257,5683,2020-02-28 18:00:24,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…","九龍城, 香港",0,431,48,14764,2020-02-28 18:00:15,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",,0,431,1,406,2020-02-28 18:00:06,False,,#coronavirus
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",,0,5340,1,5,2020-02-28 17:59:56,False,,"#HongKong, #Beijing"
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",,0,5340,491,19180,2020-02-28 17:59:44,False,,"#HongKong, #Beijing"
"RT @EpochTimesChina: “While #coronavirus ravages China, repression is Beijing’s priority,” said Se. @HawleyMO.  3 prominent supporters of t…",,0,20,235,37849,2020-02-28 17:59:41,False,,#coronavirus
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…","San Francisco, CA",0,5340,110,8064,2020-02-28 17:59:30,False,,"#HongKong, #Beijing"
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",http://www.linkedin.com/pub/da,0,5340,4406,4509,2020-02-28 17:58:25,False,,"#HongKong, #Beijing"
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",Hong Kong,0,431,35,7498,2020-02-28 17:58:25,False,,#coronavirus
#HongKong #Coronavirus: Dog tests positive for illness Pet will be first case of human-to-animal transmission if co… https://t.co/ObuWJ17zMe,"Palo Alto, CA",0,0,477,49181,2020-02-28 17:58:04,False,,"#HongKong, #Coronavirus"
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",MilkyWay-SolarSystem-Earth-hk,0,431,8,6668,2020-02-28 17:57:29,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",,0,431,4,2080,2020-02-28 17:57:24,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",,0,431,348,8625,2020-02-28 17:57:16,False,,#coronavirus
RT @HongKongFP: [Recap] No evidence that dogs have contracted or spread the coronavirus  https://t.co/Tnq0GXUhWq #HongKong #China #coronavi…,,0,6,1032,151,2020-02-28 17:57:13,False,,"#HongKong, #China"
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",Hong Kong,0,431,867,16809,2020-02-28 17:56:57,False,,#coronavirus
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",香港,0,5340,17,866,2020-02-28 17:56:52,False,,"#HongKong, #Beijing"
"RT @EpochTimesChina: “While #coronavirus ravages China, repression is Beijing’s priority,” said Se. @HawleyMO.  3 prominent supporters of t…",,0,20,849,18135,2020-02-28 17:56:24,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",Hong Kong,0,431,322,2915,2020-02-28 17:56:19,False,,#coronavirus
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…","Berlin, Germany",0,431,226,6457,2020-02-28 17:56:13,False,,#coronavirus
RT @HongKongFP: [Recap] No evidence that dogs have contracted or spread the coronavirus  https://t.co/Tnq0GXUhWq #HongKong #China #coronavi…, Scotland,0,6,730,10629,2020-02-28 17:56:01,False,,"#HongKong, #China"
