text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
People in #Italy are already tired of keeping shops closed and staying indoors because of the #coronavirus!Shops ar… https://t.co/a9b53OwVrO,,0,0,454,21335,2020-02-28 18:00:37,False,,"#Italy, #coronavirus"
RT @lumosbio: Nice #DataViz breakdown of the state of #COVID19 patients in 🇮🇹 based on 528 #s earlier today:  🟡 Self Isolated at home (52.8…,,0,9,219,11509,2020-02-28 18:00:34,False,,"#DataViz, #COVID19, #s"
"RT @sotirisioannidi: @c4iiot 2nd plenary meeting, focusing on tech, tools, #minimum #viable #product, and #security solutions for the entir…","Ηράκλειο, Ελλάς",0,2,48,812,2020-02-28 18:00:17,False,,"#minimum, #viable, #product, #security"
"RT @sotirisioannidi: @c4iiot 2nd plenary meeting, focusing on tech, tools, #minimum #viable #product, and #security solutions for the entir…","Heraklion, Greece",0,2,62,1556,2020-02-28 18:00:17,False,,"#minimum, #viable, #product, #security"
"#BREAKING: 🇮🇹 #Italy: 888 cases, four more deaths! Italy's Civil Protection authorities announced that the number o… https://t.co/UUdV9gn1q6",,0,0,0,5,2020-02-28 18:00:12,False,,"#BREAKING, #Italy"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…",Colombia,0,176,4971,23706,2020-02-28 17:59:55,False,,"#COVID19, #Italy"
"@c4iiot 2nd plenary meeting, focusing on tech, tools, #minimum #viable #product, and #security solutions for the en… https://t.co/pO1PWGa3im",,2,2,498,1247,2020-02-28 17:59:41,False,,"#minimum, #viable, #product, #security"
RT @SolihullUpdates: A #Solihull school is to reopen after tests for #Coronavirus proved negative. Tudor Grange Academy #Kingshurst was for…,"Birmingham, UK",0,1,295909,337434,2020-02-28 17:59:16,True,,"#Solihull, #Coronavirus, #Kingshurst"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…","New York, USA",0,176,1646,97563,2020-02-28 17:57:55,False,,"#COVID19, #Italy"
#Coronavirus #Italy #Italia Total cases: 888 233 new cases inless than 24 hrs.,Tuscany Italy,0,0,1176,59990,2020-02-28 17:57:13,False,,"#Coronavirus, #Italy, #Italia"
Perhaps it's time for @WHO to give us the # of annual pneumonia cases not-related to #coronavirus in all such count… https://t.co/5wxT0Ja0d8,"Waterloo, Ontario",0,0,2947,6321,2020-02-28 17:57:12,False,,#coronavirus
Exponential growth in #coronavirus cases in #Italy https://t.co/tDIFivPndn,भारत,0,0,918,1006,2020-02-28 17:56:49,False,,"#coronavirus, #Italy"
"""Global markets are on course for their worst week since the 2008 financial crisis."" https://t.co/voDjg99ZnW $NNVC… https://t.co/DAizRKfqn5","Shelton, CT",0,0,31,129,2020-02-28 17:56:31,False,,
A #Solihull school is to reopen after tests for #Coronavirus proved negative. Tudor Grange Academy #Kingshurst was… https://t.co/lv9hIEx4hY,Solihull,0,1,14897,35691,2020-02-28 17:56:21,False,,"#Solihull, #Coronavirus, #Kingshurst"
RT @GertJanEU: The #EU's civil protection mechanism costs citizens just a fraction of a cent per day. It helps Member States getting access…,Hove Actually,0,16,81,15300,2020-02-28 17:56:13,False,,#EU
"@CDCarter13 @MichaelScullin1 Im sure with #coronavirus ,there are GREAT SPECIALS on @glennbeck cruise to #Italy… https://t.co/l96wxOmFOD","Poconos, USA  #MAGAcountry",0,0,6496,262206,2020-02-28 17:55:27,False,,"#coronavirus, #Italy"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…","Lagos, Nigeria",0,176,12,331,2020-02-28 17:55:20,False,,"#COVID19, #Italy"
~ IT'S A TRUE STORY ~ It won't be a Virus to stop the Aperitif with Friends!  👊  #Italy #ItalyCoronavirus… https://t.co/G6u3NPJqZz,Italy,0,0,1333,22945,2020-02-28 17:55:17,False,,"#Italy, #ItalyCoronavirus"
"RT @Jerusalem_Post: #BREAKING: A seventh Israeli citizen has been diagnosed with #coronavirus, according to a statement by the Israeli Mini…",Korea,0,22,3852,116680,2020-02-28 17:55:09,False,,"#BREAKING, #coronavirus"
RT @realKyleOlbert: Racism towards #China’s people — who are victims of the #CCP — is reprehensible.  Hugging &amp; kissing strangers — of any…,,0,160,316,7983,2020-02-28 17:54:47,False,,"#China, #CCP"
RT @gorgenis: Passengers fly into #UK from northern #Italy without #coronavirus checks #CoronaVirusUpdates #CoronavirusOutbreak #Coronavid1…,Tuscany Italy,0,1,1176,59990,2020-02-28 17:54:32,False,,"#UK, #Italy, #coronavirus, #CoronaVirusUpdates, #CoronavirusOutbreak"
#Macron #Merkel #Congo #migrants protest concert in #Paris Burn down #GaredeLyon Now #Turkey says it will no longer… https://t.co/L0jlptnL24,France,1,0,78,426,2020-02-28 17:54:04,False,,"#Macron, #Merkel, #Congo, #migrants, #Paris, #GaredeLyon, #Turkey"
New surveillance system for early detection of #COVIDー19 by @PHE_uk and @NHSuk NHS It is of great benefit to follow… https://t.co/pwXdDR8bDs,"Cardiff/Newport, Wales",0,0,5225,6056,2020-02-28 17:53:49,False,,#COVIDー19
RT @chidambara09: 100 #healthworkers were exposed to undiagnosed #coronavirus patient https://t.co/pm9AbnwSdL via @MailOnline   #bigdata  @…,Mysore  and  BERLIN,0,5,6263,918683,2020-02-28 17:53:39,False,,"#healthworkers, #coronavirus, #bigdata"
"RT @CoronaTurkeyEN: BREAKING: A seventh Israeli citizen has been diagnosed with coronavirus, according to a statement by the Israeli Minist…",Tuscany Italy,0,2,1176,59990,2020-02-28 17:53:36,False,,
"RT @AdrianNBCLA: #Mexico also confirming two new cases of #coronavirus. One patient in Mexico City, the other in Sinaloa. One of the men wa…","Dothan, AL",0,7,252,5376,2020-02-28 17:53:30,False,,"#Mexico, #coronavirus"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…",Lagos & London ,0,176,434,2054,2020-02-28 17:53:28,False,,"#COVID19, #Italy"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…",,0,176,235,5340,2020-02-28 17:53:25,False,,"#COVID19, #Italy"
RT @newsfreak1984: #BREAKING  Seventh #Israeli tests positive for #coronavirus after returning from #Italy @BNODesk  https://t.co/bVD4E7k172,Kuwait,0,2,179,10272,2020-02-28 17:53:11,False,,"#BREAKING, #Israeli, #coronavirus, #Italy"
RT @newsfreak1984: #BREAKING  Seventh #Israeli tests positive for #coronavirus after returning from #Italy @BNODesk  https://t.co/bVD4E7k172,By the airlock,0,2,136,3447,2020-02-28 17:52:54,False,,"#BREAKING, #Israeli, #coronavirus, #Italy"
#Macron #Merkel #Congo #migrants protest concert in #Paris Burn down #GaredeLyon Now #Turkey says it will no longer… https://t.co/zGU8CgJlXn,France,0,1,78,426,2020-02-28 17:52:10,False,,"#Macron, #Merkel, #Congo, #migrants, #Paris, #GaredeLyon, #Turkey"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…", ¡Π ϯнΞ Ϧบ¡ĿÐ¡Ƞƍ.,0,176,408,24007,2020-02-28 17:51:58,False,,"#COVID19, #Italy"
RT @Super_Said: #Mexico confirms its first case of #COVID19 — a 35-year-old male who had contact with someone who had traveled to #Italy...…,Mexico City,0,3,10113,31014,2020-02-28 17:51:44,False,,"#Mexico, #COVID19, #Italy"
"RT @TrishaThomasAP: Latest figures on #coronavirus in Italy: 821 infected, 46 recovered, 21 dead.  Of the 821, 412 are in isolation at home…","Rome, Lazio",0,2,547,1603,2020-02-28 17:51:44,False,,#coronavirus
"RT @Jerusalem_Post: #BREAKING: A seventh Israeli citizen has been diagnosed with #coronavirus, according to a statement by the Israeli Mini…","Sant Esteve de les Roures, Cat",0,22,3629,114378,2020-02-28 17:51:37,False,,"#BREAKING, #coronavirus"
#Macron #Merkel #Congo #migrants protest concert in #Paris Burn down #GaredeLyon Now #Turkey says it will no longer… https://t.co/eL3hZg5WUn,France,0,0,78,426,2020-02-28 17:50:06,False,,"#Macron, #Merkel, #Congo, #migrants, #Paris, #GaredeLyon, #Turkey"
RT @LOrion: @WSJ @FT FEB 28 Live #CoronaVirusUpdates THREAD 4: 9:11 a.m. ‘People are getting a little crazy’: Life in #Italy’s #coronavirus…,"Montreal, Canada",0,1,1965,67330,2020-02-28 17:50:03,False,,"#CoronaVirusUpdates, #Italy, #coronavirus"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…","Ikorodu, Nigeria",0,176,688,11420,2020-02-28 17:49:57,False,,"#COVID19, #Italy"
RT @realKyleOlbert: Racism towards #China’s people — who are victims of the #CCP — is reprehensible.  Hugging &amp; kissing strangers — of any…,UK,0,160,256,509,2020-02-28 17:49:54,False,,"#China, #CCP"
RT @BeholdIsrael: #PopeFrancis cancelled a church service today after he was struck down with illness. The 83-year-year-old pontiff was not…,United States,0,272,404,13373,2020-02-28 17:49:30,False,,#PopeFrancis
@WSJ @FT FEB 28 Live #CoronaVirusUpdates THREAD 4: 9:11 a.m. ‘People are getting a little crazy’: Life in #Italy’s… https://t.co/sddY7HrScH,California,1,1,4663,344993,2020-02-28 17:49:18,False,,"#CoronaVirusUpdates, #Italy"
RT @Univ_inenglish: #CoronavirusMexico: #Mexico’s government said on Friday it had detected the first cases of #coronavirus infection (#COV…,,0,17,10,654,2020-02-28 17:48:18,False,,"#CoronavirusMexico, #Mexico, #coronavirus"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…",,0,176,325,7945,2020-02-28 17:48:07,False,,"#COVID19, #Italy"
"RT @Jerusalem_Post: #BREAKING: A seventh Israeli citizen has been diagnosed with #coronavirus, according to a statement by the Israeli Mini…",,0,22,375,30625,2020-02-28 17:48:06,False,,"#BREAKING, #coronavirus"
RT @GertJanEU: The #EU's civil protection mechanism costs citizens just a fraction of a cent per day. It helps Member States getting access…,London,0,16,16269,16610,2020-02-28 17:48:01,True,,#EU
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…","Laguna Beach, Ca",0,176,2634,517794,2020-02-28 17:47:50,False,,"#COVID19, #Italy"
RT @AnninFrance1: Danke #Merkel! #Congo #migrants protest concert in #Paris! Burn down #GaredeLyon Now #Turkey says it will no longer inter…,,0,2,1877,127295,2020-02-28 17:47:25,False,,"#Merkel, #Congo, #migrants, #Paris, #GaredeLyon, #Turkey"
RT @CEDRdigital: Countries w/Most #Coronavirus Growth Outside of China Feb 27th 9pm EST New Confirmed Cases / Total cases/Deaths #SouthKore…,,0,7,19,485,2020-02-28 17:47:16,False,,#Coronavirus
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…","Ibadan, Nigeria",0,176,408,5818,2020-02-28 17:47:15,False,,"#COVID19, #Italy"
"RT @CoronaTurkeyEN: BREAKING: A seventh Israeli citizen has been diagnosed with coronavirus, according to a statement by the Israeli Minist…",North West ,0,2,4089,150892,2020-02-28 17:47:02,False,,
