text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @MichaelOngRisk: The coronavirus outbreak in South Korea is now spreading faster than the epidemic in China, underscoring the difficulti…",United Kingdom,0,1,159,518,2020-02-28 18:12:27,False,,
"The coronavirus outbreak in South Korea is now spreading faster than the epidemic in China, underscoring the diffic… https://t.co/GugMWfGaG5",,0,1,3660,7756,2020-02-28 18:12:15,False,,
"RT @WhatDaMath: Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Necessity…",London,0,7,128,9677,2020-02-28 18:09:43,False,,#korea
"RT @WhatDaMath: Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Necessity…",,0,7,325,49247,2020-02-28 18:06:45,False,,#korea
"RT @WhatDaMath: Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Necessity…","England, United Kingdom",0,7,11,411,2020-02-28 18:04:25,False,,#korea
"RT @WhatDaMath: Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Necessity…","Virginia, USA",0,7,40,2830,2020-02-28 17:49:23,False,,#korea
"RT @WhatDaMath: Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Necessity…",,0,7,54,1266,2020-02-28 17:47:53,False,,#korea
"RT @WhatDaMath: Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Necessity…","Long Island, New York",0,7,3272,51501,2020-02-28 17:46:26,False,,#korea
"RT @WhatDaMath: Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Necessity…",,0,7,378,4587,2020-02-28 17:45:38,False,,#korea
"Meanwhile in #korea - this elevator has a sign saying ""use a toothpick to press buttons and avoid Coronavirus"" - Ne… https://t.co/kSgrCpKnIV",Asia Pacific,26,7,4871,4010,2020-02-28 17:41:14,False,,#korea
RT @PRNPool: How the South Koreans are testing and containing the #CoronaVirus. #CoronaVirusUpdates #CoronaOutbreak #Korea #SouthKorea http…,,0,2,23,356,2020-02-28 17:09:38,False,,"#CoronaVirus, #CoronaVirusUpdates, #CoronaOutbreak, #Korea, #SouthKorea"
The restrictions were paced on the largest US #Military base abroad after an American soldier tested positive for… https://t.co/7FDGxaoiMJ, 🌎 ❤️️ เt ๏г lєคשє เt 💫👽,0,0,3067,39518,2020-02-28 17:03:09,False,,#Military
The restrictions were paced on the largest US #Military base abroad after an American soldier tested positive for… https://t.co/ZDL4PATMXz, 🌎 ❤️️ เt ๏г lєคשє เt 💫👽,0,0,3067,39518,2020-02-28 17:03:08,False,,#Military
RT @kstation_tv: [EXO]  CHANYEOL makes a donation to stem the Corona virus. https://t.co/DfuCC8vLwv  #exo #boys #group #chanyeol #seoul #ko…,Hwasa🙂,0,1,62,20672,2020-02-28 16:54:50,False,,"#exo, #boys, #group, #chanyeol, #seoul"
Report on South #Korea's vast testing structure for #coronavirus ⤵️ https://t.co/5sUVci0bDw,"Tucson, AZ",0,1,499,34848,2020-02-28 16:44:13,False,,"#Korea, #coronavirus"
RT @chidambara09: #Coronavirus #fears spark #global panic-buying of #facemasks https://t.co/ZrsJ7DIigF   @MailOnline   #bigdata  #Twitter #…,digitalocean,0,2,1302,95585,2020-02-28 16:43:30,False,,"#Coronavirus, #fears, #global, #facemasks, #bigdata, #Twitter"
RT @PRNPool: How the South Koreans are testing and containing the #CoronaVirus. #CoronaVirusUpdates #CoronaOutbreak #Korea #SouthKorea http…,,0,2,67,3626,2020-02-28 16:35:37,False,,"#CoronaVirus, #CoronaVirusUpdates, #CoronaOutbreak, #Korea, #SouthKorea"
