text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @PndmcSrvvrsUSA: It's not even market close and we predicted two things that happened. 1 revealed on CDC call. France has clusters. #COV…,"#Croatia, #Zagreb, #Europe",0,3,141,1439,2020-02-29 08:57:31,False,,
"RT @V2019N: #US  ""We are preparing as if this is the next #pandemic."" - @DrNancyM_CDC #Coronavirus #2019nCoV  No matter where you are in th…","Huntington Beach, CA",0,693,151,1819,2020-02-29 08:56:23,False,,"#US, #pandemic, #Coronavirus, #2019nCoV"
"RT @V2019N: #US  ""We are preparing as if this is the next #pandemic."" - @DrNancyM_CDC #Coronavirus #2019nCoV  No matter where you are in th…",,0,693,239,13580,2020-02-29 08:53:06,False,,"#US, #pandemic, #Coronavirus, #2019nCoV"
"RT @Apex_WW: Well, lot of people in the #US had no idea what was going on with #coronavirus before tonight.   Bet they do now.  #Coronavid1…","Richmond, Virginia",0,5,3811,146084,2020-02-29 08:52:49,False,,"#US, #coronavirus"
"RT @V2019N: #US  ""We are preparing as if this is the next #pandemic."" - @DrNancyM_CDC #Coronavirus #2019nCoV  No matter where you are in th…",,0,693,6,72,2020-02-29 08:48:49,False,,"#US, #pandemic, #Coronavirus, #2019nCoV"
"RT @mehdizafar: So, the cost to get tested for #coronavirus, without insurance, in the US is $3,270. Clearly not affordable for all. And th…","Auckland, New Zealand",0,3,411,189098,2020-02-29 08:42:05,False,,#coronavirus
RT @IndoPac_Info: #Coronavirus shows the risks of over-concentration in #China.   It'll reorder the global economy more than Xi's coercion…,"ÜT: -2.542423,112.959226",0,180,329,115123,2020-02-29 08:36:19,False,,"#Coronavirus, #China"
RT @PndmcSrvvrsUSA: Very serious update on the situation in Iran will be posted soon at @PndmcSurvivors. # of people infected is estimated…,,0,12,11,4648,2020-02-29 08:32:02,False,,
RT @PndmcSrvvrsUSA: Very serious update on the situation in Iran will be posted soon at @PndmcSurvivors. # of people infected is estimated…,Somewhere in the Southwest,0,12,31,794,2020-02-29 08:29:56,False,,
Number of #US #coronavirus cases of unknown origin climbs to four  https://t.co/08A113MXva,Al Hilal - C Ring Road,0,0,29242,165891,2020-02-29 08:29:48,True,,"#US, #coronavirus"
"RT @TibetPeople: @anshu217 #China's #PLA is just a paper Tiger when it’s comes a real war, there moral is in zero condition, stop provoking…","Rio Grande Valley, TX",0,3,20424,443462,2020-02-29 08:27:40,False,,"#China, #PLA"
"RT @mark_vallen: #MasoumehEbtekar, vice-pres. of #Iran's #IslamicRepublic &amp; former spokeswoman for the #Iranians who seized the #US embassy…",Singapore,0,1,463,8575,2020-02-29 08:27:28,False,,"#MasoumehEbtekar, #Iran, #IslamicRepublic, #Iranians, #US"
RT @PndmcSrvvrsUSA: Very serious update on the situation in Iran will be posted soon at @PndmcSurvivors. # of people infected is estimated…,Australia,0,12,45,3504,2020-02-29 08:27:14,False,,
"RT @mehdizafar: So, the cost to get tested for #coronavirus, without insurance, in the US is $3,270. Clearly not affordable for all. And th…",,0,3,139,16404,2020-02-29 08:26:52,False,,#coronavirus
"RT @TibetPeople: @anshu217 #China's #PLA is just a paper Tiger when it’s comes a real war, there moral is in zero condition, stop provoking…",,0,3,3905,54185,2020-02-29 08:26:07,False,,"#China, #PLA"
RT @PndmcSrvvrsUSA: Very serious update on the situation in Iran will be posted soon at @PndmcSurvivors. # of people infected is estimated…,,0,12,238,1373,2020-02-29 08:24:17,False,,
RT @Apex_WW: #US military scrambles to cope with global 'threat' posed by #coronavirus  #Coronavid19 #COVID19 https://t.co/3GNJwJLIzn,Somewhere in the Southwest,0,3,31,794,2020-02-29 08:16:56,False,,"#US, #coronavirus, #Coronavid19, #COVID19"
RT @uwidata: 🇮🇷 Omid Fraction Loses to Militant Conservatives in #Iranian Parliamentary Elections  https://t.co/mEAIIklBEQ #Election #Iran…,,0,1,414,448,2020-02-29 08:14:49,False,,"#Iranian, #Election, #Iran"
RT @InvezzPortal: U.S consumer spending turns red in January fueling expectations for another rate cut this year.  #US #ConsumerSpending #F…,,0,0,19,1206,2020-02-29 08:11:19,False,,"#US, #ConsumerSpending"
What? Mexico only yesterday reported it's first case of #coronavirus while the #US has a bunch of cases. It would m… https://t.co/eE5db5o0zB,❄️Sighberia❄️,0,0,4621,86022,2020-02-29 08:05:39,False,,"#coronavirus, #US"
"Hi @CaliCali2000 , why do you say #USA cases of #coronavirus #COVID2019 will be similar in upward spike or trajecto… https://t.co/jMGjeoV6ii","Metro Manila, Philippines",2,0,28531,130470,2020-02-29 08:05:23,False,,"#USA, #coronavirus, #COVID2019"
