text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @DrTedros: I stand with the Government of #Italy as it strives to contain the #COVID19 outbreak and protect its citizens. WHO is determi…,Denmark - Copenhagen North,0,111,2300,796842,2020-02-29 12:09:02,False,,"#Italy, #COVID19"
"RT @ryanfiredragon: Coronavirus, the contagion in Lazio widens:  the husband and a son of the woman from Fiumicino are also positive  #coro…",,0,2,47,4010,2020-02-29 12:04:51,False,,
RT @realKyleOlbert: Racism towards #China’s people — who are victims of the #CCP — is reprehensible.  Hugging &amp; kissing strangers — of any…,,0,192,502,2541,2020-02-29 12:04:49,False,,"#China, #CCP"
"RT @Italia: Italy is a safe country: all services and activities for citizens and tourists are normally provided and the quality of life, f…","Verona, Italy",0,238,1480,9304,2020-02-29 12:00:47,False,,
"Coronavirus, the contagion in Lazio widens:  the husband and a son of the woman from Fiumicino are also positive… https://t.co/BHEkxBZ8ea",,1,2,790,3050,2020-02-29 11:59:16,False,,
#COVID19 outbreak: CDC recommends that travelers avoid all nonessential #travel to #Italy https://t.co/8FZkM1qE12,"Tampa, FL",0,0,3783,23974,2020-02-29 11:47:47,False,,"#COVID19, #travel, #Italy"
"RT @Italia: Italy is a safe country: all services and activities for citizens and tourists are normally provided and the quality of life, f…","Perugia, Umbria",0,238,34,736,2020-02-29 11:44:23,False,,
"RT @MoHFW_INDIA: Updated travel advisory for #Novelcoronavirus #covid19 :  Travelers are advised to REFRAIN from travelling to #Iran, #Ital…",,0,115,0,13,2020-02-29 11:42:43,False,,"#Novelcoronavirus, #covid19, #Iran"
RT @DrTedros: I stand with the Government of #Italy as it strives to contain the #COVID19 outbreak and protect its citizens. WHO is determi…,Malaysia,0,111,167,28386,2020-02-29 11:42:12,False,,"#Italy, #COVID19"
RT @DrTedros: I stand with the Government of #Italy as it strives to contain the #COVID19 outbreak and protect its citizens. WHO is determi…,,0,111,2496,2864,2020-02-29 11:41:26,False,,"#Italy, #COVID19"
"RT @Italia: Italy is a safe country: all services and activities for citizens and tourists are normally provided and the quality of life, f…","Nicosia, Cipro",0,238,597,5779,2020-02-29 11:39:31,False,,
RT @bitex2047: #Wuhan  #SouchKorea #Japan #Italy #Iran Serious #COVID19 outbreaks all located in the 10℃-20℃ Zone. Therefore #HongKong #Sin…,,0,4,18,5807,2020-02-29 11:39:26,False,,"#Wuhan, #SouchKorea, #Japan, #Italy, #Iran, #COVID19, #HongKong"
#covid19italy #COVID19italia #Italy #censorship freezed any info about #covid19 epidemiological situation. For that… https://t.co/B79mZ0esyj,,0,0,2228,38658,2020-02-29 11:39:04,False,,"#covid19italy, #COVID19italia, #Italy, #censorship, #covid19"
"RT @Italia: Italy is a safe country: all services and activities for citizens and tourists are normally provided and the quality of life, f…",Cesena,0,238,290,5392,2020-02-29 11:38:38,False,,
RT @CatholicDoors: Coronavirus: Wall Street reports worst week since 2008 — live updates. https://t.co/ILMhdqxz6h…  #Coronavirus #china #ou…,Tuscany Italy,0,1,1176,60107,2020-02-29 11:37:58,False,,"#Coronavirus, #china"
"RT @CatholicDoors: Coronavirus may have circulated 'unnoticed for weeks' in Italy, say researchers. https://t.co/LldYjy7uXd  #Coronavirus #…",Tuscany Italy,0,2,1176,60107,2020-02-29 11:37:47,False,,#Coronavirus
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…",,0,297,584,1196,2020-02-29 11:34:18,False,,"#COVID19, #Italy"
5 matches in #italy series A league because of the #coronavirus #covid19 https://t.co/oui2xOuUT0,Cairo,0,0,202,3218,2020-02-29 11:29:03,False,,"#italy, #coronavirus, #covid19"
"RT @IndoPac_Info: #coronavirus Worldwide Case Count:   Just updated: New cases in 35 countries  4 new deaths each in #SouthKorea &amp; #Italy,…","Hanoi, Vietnam",0,61,1493,1280,2020-02-29 11:18:55,False,,"#coronavirus, #SouthKorea, #Italy"
RT @realKyleOlbert: Racism towards #China’s people — who are victims of the #CCP — is reprehensible.  Hugging &amp; kissing strangers — of any…,,0,192,92,3459,2020-02-29 11:16:23,False,,"#China, #CCP"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…",Islamic Republic of Iran,0,297,9,80,2020-02-29 11:15:40,False,,"#COVID19, #Italy"
"#SouthKorea🇰🇷 have reached the 3,150 cases, with 17 deaths.  #Italy🇮🇹 889, 21 deaths.  #Iran🇮🇷 593, 43 deaths.… https://t.co/nWVR43XYJG",,0,0,79,1074,2020-02-29 11:13:41,False,,"#SouthKorea, #Italy, #Iran"
RT @DrTedros: I stand with the Government of #Italy as it strives to contain the #COVID19 outbreak and protect its citizens. WHO is determi…,Cabo Verde,0,111,457,6145,2020-02-29 11:10:53,False,,"#Italy, #COVID19"
RT @JenniferHYChan: Milan. Residents stocking up as #coronavirus hits town.  #Italy was one of the first countries to turn away flights of…,,0,173,2,75,2020-02-29 11:04:48,False,,"#coronavirus, #Italy"
The irony!!🤣🤣🤣  #COVID19 #coronavirus #PopeFrancis #italy #meme https://t.co/IPbuUkizhj,👽🛸,1,1,109,11499,2020-02-29 11:03:53,False,,"#COVID19, #coronavirus, #PopeFrancis, #italy, #meme"
