text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @earthshakerph: BREAKING: South Korea's cases of #COVID19 breached 3,000 today and is now at 3,150.   https://t.co/cCaIlI2QXv",,0,5,272,26982,2020-02-29 12:15:39,False,,#COVID19
"RT @earthshakerph: BREAKING: South Korea's cases of #COVID19 breached 3,000 today and is now at 3,150.   https://t.co/cCaIlI2QXv",Boac/Lenten Mecca of the South,0,5,948,39385,2020-02-29 12:15:36,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,"Québec, Canada",0,305,1616,43855,2020-02-29 12:15:13,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,,0,305,378,46922,2020-02-29 12:15:10,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,USA Romans 12:21,0,305,8206,247733,2020-02-29 12:15:10,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,"Mumbai, India",0,305,1450,20574,2020-02-29 12:14:58,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,,0,305,156,46503,2020-02-29 12:14:55,False,,#COVID19
"Geographic Distribution of #COVID19 Cases in #Seoul, South #Korea (02/29/2020 - AM)  More information from… https://t.co/HRTVbw9o9m","Gangnam-gu, Republic of Korea",0,0,1080,2532,2020-02-29 12:14:54,False,,"#COVID19, #Seoul, #Korea"
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,"Jakarta, Indonesia",0,305,570,33084,2020-02-29 12:14:40,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,"Nashville, TN Area",0,305,4326,27156,2020-02-29 12:14:36,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,,0,305,87,2012,2020-02-29 12:14:29,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,AccheyDin,0,305,186,17690,2020-02-29 12:14:18,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,Twitter,0,305,109,3556,2020-02-29 12:14:02,False,,#COVID19
