text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @iwuzhigang: #COVID19 test in #China is less than $17 for government procurement, public hospital charges $6 , third party service provi…",Downriver Michigan,0,92,138,5099,2020-02-29 19:05:13,False,,"#COVID19, #China"
RT @RonaldTooTall: First Death Reported in #US From New #Coronavirus   #covid19 #CoronaVirusUs #coronavirususa  https://t.co/5BIAFcAW1n htt…,"Melbourne, Victoria",0,1,7470,199313,2020-02-29 19:04:25,False,,"#US, #Coronavirus, #covid19, #CoronaVirusUs, #coronavirususa"
First Death Reported in #US From New #Coronavirus   #covid19 #CoronaVirusUs #coronavirususa  https://t.co/5BIAFcAW1n https://t.co/WlDz72nCQo,"Illinois, USA",0,1,20841,22509,2020-02-29 19:04:16,False,,"#US, #Coronavirus, #covid19, #CoronaVirusUs, #coronavirususa"
RT @COVID_19_News: #US 🇺🇸: Long lines outside #Costco in #Brooklyn New York #USA   #Coronavid19 #coronavirus #COVID19 #COVID #COVID19US #CO…,🤡🌍,0,4,1892,2570,2020-02-29 19:03:45,False,,"#US, #Costco, #Brooklyn, #USA, #Coronavid19, #coronavirus, #COVID19, #COVID, #COVID19US"
@ABC #Breaking #WhiteHouse #Briefing: 22 persons in the #US have the #Coronavirus #COVID19 and 1 has died in… https://t.co/Fuz6wloVZV,"Dallas, TX",1,0,8682,108130,2020-02-29 19:02:46,False,,"#Breaking, #WhiteHouse, #Briefing, #US, #Coronavirus, #COVID19"
RT @Dystopia992: #BREAKING — First Coronavirus Death in the #US 🇺🇸   Washington State said a 19-year-old patient has died from #COVID19. A…,,0,2,94,24704,2020-02-29 19:02:39,False,,"#BREAKING, #US, #COVID19"
"Health officials in Washington state say a #coronavirus patient has died, marking the first death related to #COVID19 in the #US.",,1,0,2007,144,2020-02-29 19:02:35,False,,"#coronavirus, #COVID19, #US"
RT @AuroraIntel: #BREAKING: First #US #coronavirus death reported in #Washington state.   #COVID19,"Helsinki, Finland",0,60,533,7376,2020-02-29 19:01:36,False,,"#BREAKING, #US, #coronavirus, #Washington, #COVID19"
"RT @iwuzhigang: #COVID19 test in #China is less than $17 for government procurement, public hospital charges $6 , third party service provi…",,0,92,2166,3766,2020-02-29 19:00:54,False,,"#COVID19, #China"
"RT @iwuzhigang: #COVID19 test in #China is less than $17 for government procurement, public hospital charges $6 , third party service provi…",the toxic jungle,0,92,81,3267,2020-02-29 19:00:54,False,,"#COVID19, #China"
RT @COVID_19_News: #US 🇺🇸: Long lines outside #Costco in #Brooklyn New York #USA   #Coronavid19 #coronavirus #COVID19 #COVID #COVID19US #CO…,,0,4,12,1225,2020-02-29 19:00:44,False,,"#US, #Costco, #Brooklyn, #USA, #Coronavid19, #coronavirus, #COVID19, #COVID, #COVID19US"
"RT @iwuzhigang: #COVID19 test in #China is less than $17 for government procurement, public hospital charges $6 , third party service provi…","Madrid, República de España",0,92,1057,7374,2020-02-29 19:00:18,False,,"#COVID19, #China"
