tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
#Chicago Area Resident Tests Positive For #Coronavirus   https://t.co/acuyzJBf5V,NewsBlogged,Worldwide,0,0,1296,169744,2020-03-01 08:56:18,False,,"#Chicago, #Coronavirus"
"RT @NetworksManager: Cook County, State Health Officials Confirm a #Coronavirus infection. Don't worry though, #Chicago it's just like the…",MMDimitrijevic,"Urmston, England",0,14,3687,172617,2020-03-01 07:57:20,False,,"#Coronavirus, #Chicago"
Attention #Chicago #Illinois. #coronavirus https://t.co/EN1ehCi8rd,sevierhere,NYC-soon!,1,0,2887,118023,2020-03-01 06:55:30,False,,"#Chicago, #Illinois, #coronavirus"
RT @RadioDoogie: #Covid19usa #CoronaVirusUpdate #CoronaVirus is here 😩 #Chiraq #Chicago #ChiTown #ChiCity #ThisChicago #cookcounty https://…,BTCbomber,"Fort Lauderdale, FL",0,1,167,2373,2020-03-01 05:20:39,False,,"#Covid19usa, #CoronaVirusUpdate, #CoronaVirus, #Chiraq, #Chicago, #ChiTown, #ChiCity, #ThisChicago, #cookcounty"
#Covid19usa #CoronaVirusUpdate #CoronaVirus is here 😩 #Chiraq #Chicago #ChiTown #ChiCity #ThisChicago #cookcounty https://t.co/HwnMzG2asV,RadioDoogie,JoJoWorld Chiraq 773,0,1,1694,62694,2020-03-01 04:37:55,False,,"#Covid19usa, #CoronaVirusUpdate, #CoronaVirus, #Chiraq, #Chicago, #ChiTown, #ChiCity, #ThisChicago, #cookcounty"
"RT @NetworksManager: Cook County, State Health Officials Confirm a #Coronavirus infection. Don't worry though, #Chicago it's just like the…",truckgirl65,United States,0,14,1642,55309,2020-03-01 04:34:30,False,,"#Coronavirus, #Chicago"
"RT @NetworksManager: Cook County, State Health Officials Confirm a #Coronavirus infection. Don't worry though, #Chicago it's just like the…",NetworksManager,Washington DC,0,14,107215,150561,2020-03-01 04:30:18,False,,"#Coronavirus, #Chicago"
"RT @NetworksManager: Cook County, State Health Officials Confirm a #Coronavirus infection. Don't worry though, #Chicago it's just like the…",MaykowskiD,"Tulsa, OK",0,14,1764,49286,2020-03-01 04:03:49,False,,"#Coronavirus, #Chicago"
"RT @NetworksManager: Cook County, State Health Officials Confirm a #Coronavirus infection. Don't worry though, #Chicago it's just like the…",BobbyB81899130,OuterSpace🌒🌏✨,0,14,1228,14929,2020-03-01 03:36:04,False,,"#Coronavirus, #Chicago"
"RT @NetworksManager: Cook County, State Health Officials Confirm a #Coronavirus infection. Don't worry though, #Chicago it's just like the…",Tei2000,,0,14,15,270,2020-03-01 03:34:11,False,,"#Coronavirus, #Chicago"
