tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,bcross1984,,0,763,93,12328,2020-03-01 09:02:36,False,,#HongKong
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",TseWenkie,,0,6940,6,390,2020-03-01 09:01:35,False,,"#HongKong, #Beijing"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,yyy_kin,Kowloon City District,0,763,147,32939,2020-03-01 09:00:46,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,traxxxxxxy,,0,763,255,4228,2020-03-01 08:58:58,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,Rock79444115,Hong Kong,0,763,605,7978,2020-03-01 08:58:55,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,Froggypepe3,Hong Kong,0,763,117,876,2020-03-01 08:57:13,False,,#HongKong
RT @HongKongFP: Panic and rumours show how Hong Kong gov’t lost credibility long before the coronavirus arrived https://t.co/84GStV0SgS #Ho…,ke11y9,"Guildford, England",0,141,303,790,2020-03-01 08:56:58,False,,
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,Ilovehongkong00,Hong Kong,0,763,2064,5213,2020-03-01 08:56:58,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,iumiuching1,Hong Kong,0,763,525,4140,2020-03-01 08:56:28,False,,#HongKong
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,luibent,Hong Kong,0,1356,14,1394,2020-03-01 08:55:48,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,HkersR,Hong Kong,0,763,138,997,2020-03-01 08:55:13,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,000fung,Hong Kong,0,763,441,903,2020-03-01 08:53:53,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,ppll29290443,Hong Kong,0,763,269,21488,2020-03-01 08:53:47,False,,#HongKong
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,digicharant,,0,1356,40,6224,2020-03-01 08:53:22,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,93ip,Hong Kong,0,763,1046,16381,2020-03-01 08:52:21,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,AlexHhkppl,Hong Kong,0,763,541,8688,2020-03-01 08:52:09,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,ballball908382,,0,763,168,586,2020-03-01 08:51:43,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,A7308089A,Hong Kong,0,763,143,1149,2020-03-01 08:50:56,False,,#HongKong
KEEP YOUR KID(S) BUSY &amp; CREATIVE with PandaBlocs! https://t.co/IqYeFe36iY  #hkschools #hongkong #hkteacher… https://t.co/6ZTkH1XiYm,PandaBlocs,Hong Kong,0,0,1,2,2020-03-01 08:49:55,False,,"#hkschools, #hongkong, #hkteacher"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,Cynical_Goddess,We are friends of the world,0,763,1277,12708,2020-03-01 08:49:15,False,,#HongKong
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",roland94492313,"Calgary, Alberta",0,6940,2,460,2020-03-01 08:48:40,False,,"#HongKong, #Beijing"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,lyysbbg,Hong Kong,0,1356,215,1781,2020-03-01 08:47:10,False,,"#HongKongProtests, #HKpolice"
"RT @ClaudiaMCMo: Exclusive: Apple Daily cites confidential report from #CarrieLam to #Beijing boss, saying she could use #HongKong’s #coron…",777too7,,0,3438,55,6032,2020-03-01 08:47:09,False,,"#CarrieLam, #Beijing, #HongKong"
RT @DossierTibet: #Coronavirus: #HongKong expert claims outbreak is now a pandemic and #US death could be ‘tip of the iceberg’. University…,rjber15,"Wichita, Kansas",0,3,2859,964798,2020-03-01 08:45:54,False,,"#Coronavirus, #HongKong, #US"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,acquavivarreon8,,0,1356,1328,55580,2020-03-01 08:45:46,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,TraHo9,,0,763,306,2734,2020-03-01 08:45:45,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,MarTirreno321,,0,763,486,22811,2020-03-01 08:44:23,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,kyok88045668,,0,763,301,9360,2020-03-01 08:43:55,False,,#HongKong
Hong Kong add oil 💪🏻... hope coronavirus can end soon 🙏 #COVID19  #COVID2019  #CoronavirusOutbreak  #coronavirus… https://t.co/n8LXWMOq7L,march341569329,,0,0,2,69,2020-03-01 08:43:02,False,,"#COVID19, #COVID2019, #CoronavirusOutbreak, #coronavirus"
