tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @SAfmnews: The Health Minister @DrZweliMkhize says the South African National Defence Force will lead the transportation of South Africa…,touchtruth,South Africa,0,5,105,3733,2020-03-01 09:02:00,False,,
"RT @CGTNOfficial: #Wuhan, a city of 11 million people, is at the forefront of a fierce battle against the novel #coronavirus.  An exclusive…",Aswadi64465115,,0,271,143,728,2020-03-01 09:01:56,False,,"#Wuhan, #coronavirus"
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,sharmoota516,"Taylor, MI",0,834,1728,48164,2020-03-01 09:00:37,False,,
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,NoelleTMD,United States,0,834,1424,36947,2020-03-01 08:59:58,False,,
RT @CGTNOfficial: A 19-year-old girl has been preparing for this year's college entrance exam at a temporary hospital in #Wuhan after being…,yindee20,Bangkok,0,72,43,94153,2020-03-01 08:57:24,False,,#Wuhan
"RT @ProfStrachan: #Coronavirus: Nasa images show #China pollution clear amid slowdown  ""#Nasa scientists said the reduction in levels of ni…",LindaHurrell,,0,148,936,144381,2020-03-01 08:55:55,False,,"#Coronavirus, #China, #Nasa"
"RT @CoronaVirusUPDT: Student in #Wuhan has allegedly posted on a forum using a VPN, and has described the scenes of the #CoronavirusOutbrea…",Frances97150119,,0,24,1,21,2020-03-01 08:55:50,False,,#Wuhan
"RT @ProfStrachan: #Coronavirus: Nasa images show #China pollution clear amid slowdown  ""#Nasa scientists said the reduction in levels of ni…",catchaminute,"Wolverhampton, UK",0,148,1018,48977,2020-03-01 08:55:37,False,,"#Coronavirus, #China, #Nasa"
RT @SAfmnews: The Health Minister @DrZweliMkhize says the South African National Defence Force will lead the transportation of South Africa…,harumutasa,Zimbabwe,0,5,83995,54052,2020-03-01 08:55:18,True,,
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,insightfull1,,0,834,2015,43528,2020-03-01 08:54:49,False,,
RT @SAfmnews: The Health Minister @DrZweliMkhize says the South African National Defence Force will lead the transportation of South Africa…,Bubza8,P.E.,0,5,434,4328,2020-03-01 08:54:32,False,,
RT @SAfmnews: The Health Minister @DrZweliMkhize says the South African National Defence Force will lead the transportation of South Africa…,Vusiwadj2,Mogwase-North West- South Afri,0,5,1523,1563,2020-03-01 08:53:33,False,,
