tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
"RT @IndoPac_Info: #coronavirus Worldwide Case Count:   Just updated: New cases in 33 countries  New deaths in #USA, #Italy, #Japan &amp; #Austr…",Saifmir161,Pakistan,0,34,373,27009,2020-03-01 09:03:48,False,,"#coronavirus, #USA, #Italy, #Japan"
#coronavirus #italy #economy good game well play,CryptoBac,crypto,0,0,6480,22009,2020-03-01 09:03:36,False,,"#coronavirus, #italy, #economy"
A message from #Italy 🇮🇹 about #coronavirus to all our friends around the world:  1. We are all fine. This is a kin… https://t.co/dxL1mY8zVQ,celineshortie,wandering,0,0,128,9224,2020-03-01 09:03:04,False,"{'type': 'Point', 'coordinates': [12.45444444, 41.90305556]}","#Italy, #coronavirus"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,ALLENGLLIU1,,0,349,3,57,2020-03-01 09:02:27,False,,"#Italy, #COVID19"
"RT @JohnnyJet: American Airlines is suspending operations to and from Milan, Italy, and New York (JFK) and Miami (MIA). Flights to Milan ar…",AssistentiDiVol,,0,15,725,10502,2020-03-01 09:02:09,False,,
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,SE25A,Portsmouth UK,0,349,3449,432,2020-03-01 09:01:01,False,,"#Italy, #COVID19"
Coronavirus: Italian economy takes a body blow #CoronaVirus #Italy  https://t.co/pxHhNOAtnU,manshallreign,"Sydney, Australia",0,0,213,10891,2020-03-01 09:00:33,False,,"#CoronaVirus, #Italy"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,javnozdravje,,0,349,308,1337,2020-03-01 09:00:23,False,,"#Italy, #COVID19"
Matt Hancock @MattHancock. Imagine closing the stable door AFTER the horse has bolted. #Italy #COVID19 #China and #Coronavirus,Gavins_Tweet,On the planet some call Earth,0,0,267,29848,2020-03-01 08:59:45,False,,"#Italy, #COVID19, #China, #Coronavirus"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,PeterIgnatius5,Nigeria,0,349,136,4396,2020-03-01 08:59:19,False,,"#Italy, #COVID19"
"The number of people infected had risen to 1,128. https://t.co/7d73leFrCC #Italy #ItalyCoronavirus #coronavirus #CoronaOutbreak",RoyaNewsEnglish,,0,0,2198,12004,2020-03-01 08:59:07,False,,"#Italy, #ItalyCoronavirus, #coronavirus, #CoronaOutbreak"
