tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @shahnazfarzaneh: #Iranians are traveling from different countries to #US &amp; #Canada many are sick with #COVID19 #CoronaVirusCanada many…,FardinMah,,0,23,3636,421426,2020-03-01 09:15:26,False,,"#Iranians, #US, #Canada, #COVID19, #CoronaVirusCanada"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",beneficii,,0,4,160,7610,2020-03-01 09:10:06,False,,"#COVID19, #China, #US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",serverword,,0,4,3,432,2020-03-01 09:08:05,False,,"#COVID19, #China, #US"
"@chenweihua @BernieSanders When its dealing with #Communist #China, #US needed bipartisan to recognize that #PRC is… https://t.co/3qdAiaOOh9",TibetPeople,,0,0,3913,54276,2020-03-01 09:07:06,False,,"#Communist, #China, #US, #PRC"
RT @COVID_19_News: #US 🇺🇸: Long lines outside #Costco in #Sunnyvale California #USA   #Coronavid19 #coronavirus #COVID19 #COVID #COVID19US…,bonitapalka,,0,314,75,3190,2020-03-01 09:05:52,False,,"#US, #Costco, #Sunnyvale, #USA, #Coronavid19, #coronavirus, #COVID19, #COVID, #COVID19US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",ap4lmtree,Mother Earth,0,4,477,2080,2020-03-01 09:05:47,False,,"#COVID19, #China, #US"
"#COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for te… https://t.co/1DbP57yoLP",COVID_19_News,Hubei,5,4,2251,399,2020-03-01 09:05:00,False,,"#COVID19, #China, #US"
RT @shahnazfarzaneh: #Iranians are traveling from different countries to #US &amp; #Canada many are sick with #COVID19 #CoronaVirusCanada many…,hamidafshari20,Den haag,0,23,532,2682,2020-03-01 09:01:20,False,,"#Iranians, #US, #Canada, #COVID19, #CoronaVirusCanada"
RT @COVID_19_News: #US 🇺🇸: Long lines outside #Costco in San Francisco #USA   #Coronavid19 #coronavirus #COVID19 #COVID #COVID19US #COVID20…,bonitapalka,,0,24,75,3190,2020-03-01 09:00:05,False,,"#US, #Costco, #USA, #Coronavid19, #coronavirus, #COVID19, #COVID, #COVID19US"
RT @COVID_19_News: #US 🇺🇸: Long lines outside #Costco in San Francisco #USA   #Coronavid19 #coronavirus #COVID19 #COVID #COVID19US #COVID20…,JimBoblif,Deep in the fog,0,24,540,10164,2020-03-01 08:59:35,False,,"#US, #Costco, #USA, #Coronavid19, #coronavirus, #COVID19, #COVID, #COVID19US"
