tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
The basis of our discussion in my #organizationalpsychology lecture today. The effect #COVID19 on global #business… https://t.co/kVIaLspcVI,jogiagroup,https://www.facebook.com/jogia,0,0,1232,4077,2020-03-01 12:00:20,False,,"#organizationalpsychology, #COVID19, #business"
RT @DrDenaGrayson: ⚠️The similar genomes of 2 #coronavirus infections in #Washington suggest #COVID19 may have been spreading in the state…,fairness2all,"Los Angeles, CA",0,208,533,19301,2020-03-01 12:00:20,False,,"#coronavirus, #Washington, #COVID19"
RT @MollyJongFast: I need more #COVID19 threads from @jameshamblin &amp; @thehowie,Gross_dg_,"Flemington, NJ",0,1,3263,33035,2020-03-01 12:00:18,False,,#COVID19
RT @AnyMtn: I strongly suggest not opening any of the videos from China culling dogs &amp; cats b/c of #COVID19. I have watched many animal cru…,RitaAll04249447,"West Yorkshire, UK ",0,9,140,3539,2020-03-01 12:00:17,False,,#COVID19
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",Farhad15942770,,0,61,291,2644,2020-03-01 12:00:16,False,,"#COVID19, #China, #US"
RT @JenniferNuzzo: How many #COVID19 cases have occurred in the US to-date? We simply don’t know. Ask clinicians if they’ve seen patients t…,MoltoBenone,,0,23,9221,115015,2020-03-01 12:00:16,False,,#COVID19
Maybe this #NYC #carriage #horse got #infected with #COVID19 #virus? Looks like the poor #animal lost energy and po… https://t.co/ATJ11iZTOJ,JamesWith,City of Angels!,0,0,1892,40645,2020-03-01 12:00:16,False,,"#NYC, #carriage, #horse, #infected, #COVID19, #virus, #animal"
"RT @DrJoeAbah: In the last 2 weeks, I have used the Abuja International Airport twice, London Heathrow Airport four times and Washington Du…",iamgrantay,Lagos Nigeria,0,3303,736,1138,2020-03-01 12:00:16,False,,
"RT @DrJoeAbah: Nigerians are unique. Because we are screening for #COVID19, screening is ineffective ba? Our handling of Ebola was recogniz…",concreterose009,"Lagos, Nigeria",0,322,624,110603,2020-03-01 12:00:16,False,,#COVID19
"RT @DrDenaGrayson: Unfortunately, community spread of #coronavirus has been occurring in MULTIPLE regions for weeks. In #Oregon, the infect…",PegT,RVA,0,65,1721,103098,2020-03-01 12:00:15,False,,"#coronavirus, #Oregon"
