tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
"Leaders in #Europe, the #MiddleEast and the #America rolled out bans on big gatherings and stricter travel restrict… https://t.co/E6CrvI9VA5",PeninsulaQatar,Qatar,0,0,31738,198466,2020-03-01 12:00:00,True,,"#Europe, #MiddleEast, #America"
RT @segalink: The true enemy and threat to Nigeria is not #Coronavirus but those mercantilistic demons striving to profit from it. How can…,marvelnsa,EARTH ,0,774,16610,27475,2020-03-01 12:00:00,False,,#Coronavirus
Bid to get ‘aquatic wild meat’ off the menu and under protection. #Sharks #Rays #Coronavirus #AquaticBushMeat… https://t.co/tyqgoAHswM,RacingXtinction,,0,0,42145,16401,2020-03-01 12:00:00,True,,"#Sharks, #Rays, #Coronavirus, #AquaticBushMeat"
"RT @Lobyist: I'm giving away Blood Moon Tryndamere with exclusive green chroma! EUW + NA + EUNE   For a chance to win, all you have to do i…",SlimeGod122,,0,153,2,20,2020-03-01 12:00:00,False,,
"#Coronavirus , Chinese #pmi figures, #OPEC and much more coming up next week. Find out the latest markets developme… https://t.co/Ctn8a4ymy2",Marketsdotcom,,0,0,7382,1560,2020-03-01 12:00:00,False,,"#Coronavirus, #pmi, #OPEC"
".@CapitalEnvision's Nilesh Shah says, one has to take advantage of this price decline to basically add to these nam… https://t.co/i1js217HXS",BloombergQuint,"Mumbai, India",0,0,116769,187722,2020-03-01 12:00:00,True,,
"WATCH: On this week’s #RedBusiness, @jonathanhealy looks at the challenges facing the insurance industry including… https://t.co/8hb7lfN09r",CorksRedFM,Cork Ireland,0,0,80623,54710,2020-03-01 12:00:00,True,,#RedBusiness
These are your rights if your flights or holiday plans have been cancelled due to the #coronavirus  https://t.co/M6bXOnhdIE,peterboroughtel,"Peterborough, England",0,0,25040,85721,2020-03-01 12:00:00,False,,#coronavirus
The coronavirus outbreak is putting a clearly unsustainable global economy to the test. #coronavirus  @atulabhas https://t.co/4KmHthqCX6,myfairobserver,"Mountain View, CA, USA",0,0,13483,80010,2020-03-01 12:00:00,False,,#coronavirus
Iran’s Health Ministry has raised the nationwide death toll from the new #coronavirus to 54 as the number of infect… https://t.co/Ahl94yATzU,AlArabiya_Eng,Dubai,0,0,812137,244466,2020-03-01 12:00:00,True,,#coronavirus
The #coronavirus outbreak began to look more like a worldwide economic crisis as anxiety about the infection emptie… https://t.co/plm1kWqYbD,ArabNewsjp,,0,0,3366,5647,2020-03-01 12:00:00,True,,#coronavirus
"RT @SpeakerPelosi: Sadly and prayerfully, today, we learned of the first death from the #coronavirus in the United States. The American peo…",Lori39853946,,0,6263,46,235,2020-03-01 11:59:59,False,,#coronavirus
RT @AzharAliLeghari: An excellent speech by Singapore’s Health Minister Mr. Gan Kim Yong.   An excellent way of describing #coronavirus #Co…,moutjzaa,,0,3471,16,5010,2020-03-01 11:59:59,False,,#coronavirus
"RT @Echinanews: Everyone who was onboard the #DiamondPrincess cruise during the #coronavirus quarantine off Japan has disembarked, accordin…",SERVET_SNR,Istanbul /TURKEY,0,3,32,3480,2020-03-01 11:59:59,False,,"#DiamondPrincess, #coronavirus"
RT @PressSec: In today’s briefing on the #coronavirus @realDonaldTrump cautioned the media &amp; politicians from inciting panic. Risk to Ameri…,QTBZBEE,"Griffith Park, Los Angeles",0,5710,246,8917,2020-03-01 11:59:59,False,,#coronavirus
RT @amuse: @chuckwoolery The Speaker is delaying #coronavirus funding for more than two weeks. The reason? They plan to pump an additional…,JimBoZell83,,0,409,40,12415,2020-03-01 11:59:58,False,,#coronavirus
"RT @ChinaScience: An antiviral spray against novel #coronavirus has developed in Shanghai Public Health Clinical Center, which can be put i…",tyrsomeireles,Brasil,0,2696,465,9258,2020-03-01 11:59:58,False,,#coronavirus
RT @jedijig: #Greece should alert the #WHO of the potential mass transit of a million people through its borders.  People who potentially c…,tpapatolis,"Düsseldorf, Germany",0,1,19398,43897,2020-03-01 11:59:58,False,,"#Greece, #WHO"
RT @DrDenaGrayson: 🚨Officials in #Washington are investigating a possible #coronavirus outbreak at a nursing home where 2 people tested pos…,Jlhrdhcotuit,"cape cod, ma",0,5,2040,243197,2020-03-01 11:59:58,False,,"#Washington, #coronavirus"
