tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
Walking around in a very busy international #tourist hub and it’s PACKED. A #chinese lady literally open-coughed in… https://t.co/VtBIH5DCcU,Seducible,,0,0,12243,442,2020-03-01 05:39:36,False,,"#tourist, #chinese"
"To keep myself healthy during the #coronavirus outbreak, I'm just telling everyone my name is Carbohydrate and NO ONE comes near me. #LA",KimmieDee_,,1,0,915,38544,2020-03-01 04:49:29,False,,"#coronavirus, #LA"
"RT @psybrspcsuprstr: ☣#COVID19☣#SARSCoV2☣#coronavirus☣:  #LosAngeles #LA residents stock up on  food,  cleaning supplies  https://t.co/qIeu…",WeinerNotH8r,,0,1,1003,91381,2020-03-01 03:36:11,False,,"#COVID19, #SARSCoV2, #coronavirus, #LosAngeles, #LA"
"☣#COVID19☣#SARSCoV2☣#coronavirus☣:  #LosAngeles #LA residents stock up on  food,  cleaning supplies  https://t.co/qIeucFPkUk",psybrspcsuprstr,"San Diego, California",0,1,1433,302601,2020-03-01 03:35:46,False,,"#COVID19, #SARSCoV2, #coronavirus, #LosAngeles, #LA"
"@flyingelfbooks long before Brad Pitt played #Hollywood gofor in #OnceUponATimeinhollywood, Fred Gillespie made it… https://t.co/svfsqVzBR7",GriffKohout,#KeepItHerbal #LA where dat bombass Hemp be! #VeniceBeach #USA Los Angeles 🎥🏀🌮 #Abide,2,0,1227,87013,2020-02-29 19:26:57,False,,"#Hollywood, #OnceUponATimeinhollywood"
"Agree? If #CoronavirusOutbreak sweeps #LA, don’t blame our brutal work &amp; healthcare culture. @hiltzikm focus on the… https://t.co/glAHB3D4Qr",CarlMuhlstein,Los Angeles,0,0,2005,19631,2020-02-29 16:56:47,False,,"#CoronavirusOutbreak, #LA"
News that surprised me this week:  -Endless blocks of people waiting in line for face masks in  SKorea  -… https://t.co/tKzeNFnF2b,dinorah_perez,,3,0,2241,3095,2020-02-29 05:30:01,True,,
RT @scientissimum: New #coronavirus case identified in Santa Clara County  #LA https://t.co/6nbBdg7xyI,AREKRUNA,Con San Miguel Siempre!,0,1,1556,78028,2020-02-29 01:40:41,False,,"#coronavirus, #LA"
New #coronavirus case identified in Santa Clara County  #LA https://t.co/6nbBdg7xyI,scientissimum,World Wide,1,1,398,4208,2020-02-29 01:30:59,False,,"#coronavirus, #LA"
From a Dr. in #LA (having to leak facts for fear of #Trump repercussions) ...… https://t.co/88hivbfd9G,TheScottCrane,Los Angeles,0,0,5264,31487,2020-02-28 22:06:36,False,,"#LA, #Trump"
RT @BANDIT_XRAY: #coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https…,ASanswers,,0,7,40,709,2020-02-28 12:36:57,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,oldtiger,Los Angeles,0,27,49,453,2020-02-28 11:10:25,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,dllmcfhhgchkkc,,0,27,47,1973,2020-02-28 10:18:06,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,otqvv,Pacific Shores (PST),0,27,1104,168936,2020-02-28 07:54:23,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
The good thing about #coronavirus hitting #Cali is that #LA &amp; #SanFran have all contagion pathways under control... https://t.co/W5fJpbiApn,isaygooddaysir2,Long Island City,0,0,25,453,2020-02-28 06:31:51,False,,"#coronavirus, #Cali, #LA, #SanFran"
RT @BANDIT_XRAY: #coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https…,MaidsUnlimited,90064,0,7,173,432,2020-02-28 06:11:30,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
RT @BANDIT_XRAY: #coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https…,David57387795,,0,7,3,353,2020-02-28 05:38:12,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
RT @BANDIT_XRAY: #coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https…,Ryanjef20980939,,0,7,2,222,2020-02-28 05:03:40,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,daviddcshk,Hong Kong,0,27,85,11111,2020-02-28 04:41:57,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @BANDIT_XRAY: #coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https…,daddiopedia1968,"Boise, ID",0,7,100,3497,2020-02-28 04:06:59,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,RichieRich_1988,"California, USA",0,27,142,295,2020-02-28 04:02:12,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,Sunandy63572555,,0,27,144,20062,2020-02-28 03:19:46,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @BANDIT_XRAY: #coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https…,RaymondMiley2,"McCook, NE",0,7,4672,50039,2020-02-28 03:16:18,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
@realDonaldTrump #Dumptrump  for mismanaging the #coronavirus for the last 6 weeks. Now huge cover-up. Impeach him… https://t.co/14v6aUJnEj,Rich976usaf,,0,0,7,52,2020-02-28 03:00:55,False,,"#Dumptrump, #coronavirus"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,curlybo2,,0,27,95,24844,2020-02-28 02:34:09,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,honghongkongrc,Hong Kong,0,27,838,5686,2020-02-28 02:31:29,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,WaterfieldAdvsy,,0,27,97,3106,2020-02-28 02:20:32,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @BANDIT_XRAY: #coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https…,the_uncanny13,Ottawa,0,7,159,4618,2020-02-28 02:18:24,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
#coronavirus Koreatown Los Angeles Shit is getting real here in LA. This is #Korea Town in #LA! #COVID19 #california https://t.co/jCXlUIZApU,BANDIT_XRAY,The Continental Hotel New York City,8,7,870,3704,2020-02-28 02:14:50,False,,"#coronavirus, #Korea, #LA, #COVID19, #california"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,XYZ68229164,,0,27,116,14914,2020-02-28 02:12:07,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,CocokingP,,0,27,889,31629,2020-02-28 02:10:39,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
RT @AngieBlu7: #LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is #Korea T…,SolomonYue,"Salem, Oregon, USA",0,27,133595,18941,2020-02-28 02:08:40,False,,"#LosAngeles, #California, #China, #WTF, #America, #Korea"
#LosAngeles #California looks like #China. Our government sounds like China. #WTF is happening in #America? This is… https://t.co/8idFlJse8m,AngieBlu7,United States,42,27,100,1396,2020-02-28 02:06:40,False,,"#LosAngeles, #California, #China, #WTF, #America"
Don’t feel like there is a real reason to panic like people are but you should still keep up with what’s going on w… https://t.co/lUowngyNZo,100percentpdcst,"New York, NY",0,0,10,282,2020-02-27 22:20:06,False,,
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",ForeignDeskNews,,0,15,2767,13096,2020-02-27 19:56:51,False,,"#LA, #coronavirus"
CDC Announces First #US Case of #Coronavirus With Unknown Origin #LA #NYC #NY  https://t.co/IxJ3ExJv4R via @epochtimes,LanCountryMusic,Malaysia,0,0,1276,13099,2020-02-27 18:50:45,False,,"#US, #Coronavirus, #LA, #NYC, #NY"
"We Need to Immediately Find Housing, Shelter or Provide Fever Monitoring Services for Homeless People in California… https://t.co/mIYxj0pRbP",PSuiteNetwork,NJ NYC Philly AC Central NJ,0,0,2728,64142,2020-02-27 13:12:51,False,,
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",titford_megan,"Austin, Texas",0,15,3046,28077,2020-02-27 04:53:41,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",DebbiePonticel2,,0,15,565,42582,2020-02-27 02:49:09,False,,"#LA, #coronavirus"
