tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",Farhad15942770,,0,61,291,2644,2020-03-01 12:00:16,False,,"#COVID19, #China, #US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",gomnam197921,"I.R.Iran, west Azarbaijan",0,61,1367,2622,2020-03-01 11:59:13,False,,"#COVID19, #China, #US"
RT @globaltimesnews: #US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 outbre…,GaryZi2,"Alum Rock, CA",0,7,35,768,2020-03-01 11:58:55,False,,"#US, #educator, #December, #Wuhan, #COVID19"
"RT @CEDRdigital: #Coronavirus UPDATE Feb 29 9PM EST The current GLOBAL statistics - Confirmed cases in: -86,979 total in🌎 -79,824 Mainland…",edgeoforever,City on the Edge of forever,0,10,3467,435534,2020-03-01 11:57:00,False,,#Coronavirus
"RT @Apex_WW: #NEW: American Airlines to suspend all #US flights to Milan, #Italy due to the #coronavirus outbreak. - Reuters  #Coronavid19…",sacd420,New York,0,31,47,1605,2020-03-01 11:56:39,False,,"#NEW, #US, #Italy, #coronavirus, #Coronavid19"
"RT @COVID19Update: US 🇺🇲#COVID2019  Officials on the #US West Coast have reported three unexplained #coronavirus cases, raising concerns th…",QueenOfTheWilis,Abbey of Thelema,0,15,1349,229113,2020-03-01 11:55:23,False,,"#COVID2019, #US, #coronavirus"
"RT @Ali_F_Alizada: On these recent days filled by negative news on #coronavirus, signing #US-#Taliban peace deal has really impacted positi…",HabibAhmadPti,"Lahore, Pakistan",0,19,13345,48646,2020-03-01 11:54:01,False,,"#coronavirus, #US, #Taliban"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",DamienERNST1,"Liège, BELGIUM",0,61,6642,15753,2020-03-01 11:53:29,False,,"#COVID19, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",zez201199,,0,67,0,6,2020-03-01 11:52:10,False,,"#Coronavirus, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",MedinaTorres8,,0,67,10,129,2020-03-01 11:51:54,False,,"#Coronavirus, #China, #US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",zahrahb,Iran - Tehran,0,61,16586,95090,2020-03-01 11:50:32,False,,"#COVID19, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",FTweets789,,0,67,95,12241,2020-03-01 11:49:57,False,,"#Coronavirus, #China, #US"
RT @Iran_NewsRoom: Offer of assistance to Iran in fighting ag #coronavirus by #US that has caused pressure on Iranian Ppl through its econo…,evasmagacz,,0,17,79,3899,2020-03-01 11:49:03,False,,"#coronavirus, #US"
RT @COVID_19_News: #US 🇺🇸: Long lines outside #Costco in #Brooklyn New York #USA   #Coronavid19 #coronavirus #COVID19 #COVID #COVID19US #CO…,Ipsuel,,0,134,919,25376,2020-03-01 11:48:36,False,,"#US, #Costco, #Brooklyn, #USA, #Coronavid19, #coronavirus, #COVID19, #COVID, #COVID19US"
Coronavirus: New “Human Error” by the Iranian Government   https://t.co/KlFIi8L64l via @iranfocus  #Iran #Cairo #US… https://t.co/QlesFixTk6,Iran__Persia,,0,0,1972,44820,2020-03-01 11:48:13,False,,"#Iran, #Cairo, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",seyyedihassan,,0,67,3,22,2020-03-01 11:48:04,False,,"#Coronavirus, #China, #US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",mthrzdh54,,0,61,278,1509,2020-03-01 11:47:15,False,,"#COVID19, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",tnyuw321,UK,0,67,39,1278,2020-03-01 11:46:00,False,,"#Coronavirus, #China, #US"
RT @V2019N: Supermarkets are preparing for a surge in demand and shoppers are stocking up on staple foods and cleaning supplies as more cas…,moui,"Bangkok, Thailand",0,170,34099,526625,2020-03-01 11:44:41,True,,
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",ZeppLaRouche,Germany/USA,0,67,2174,10617,2020-03-01 11:42:43,False,,"#Coronavirus, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",omelonga_lens,Democratic Republic of congo,0,67,3456,4854,2020-03-01 11:42:24,False,,"#Coronavirus, #China, #US"
"RT @Ali_F_Alizada: On these recent days filled by negative news on #coronavirus, signing #US-#Taliban peace deal has really impacted positi…",KhurramZiaKhan,"Karachi,Pakistan",0,19,3854,100683,2020-03-01 11:41:12,False,,"#coronavirus, #US, #Taliban"
RT @COVID_19_News: #US 🇺🇸: Long lines outside #Costco in #Sunnyvale California #USA   #Coronavid19 #coronavirus #COVID19 #COVID #COVID19US…,pizza_parade_,,0,319,19,1135,2020-03-01 11:37:21,False,,"#US, #Costco, #Sunnyvale, #USA, #Coronavid19, #coronavirus, #COVID19, #COVID, #COVID19US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",Lewisno1fan,,0,61,2543,450785,2020-03-01 11:36:43,False,,"#COVID19, #China, #US"
RT @globaltimesnews: #US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 outbre…,nuunoiz,Bangkok,0,7,56,1723,2020-03-01 11:36:23,False,,"#US, #educator, #December, #Wuhan, #COVID19"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",OstadVahid,,0,61,158,3557,2020-03-01 11:34:09,False,,"#COVID19, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",JasmineMo13,,0,67,8,16,2020-03-01 11:33:15,False,,"#Coronavirus, #China, #US"
RT @globaltimesnews: #US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 outbre…,Wier46518347,Hong Kong,0,7,46,2147,2020-03-01 11:32:06,False,,"#US, #educator, #December, #Wuhan, #COVID19"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",Elizabe47555515,United States,0,67,0,7,2020-03-01 11:31:47,False,,"#Coronavirus, #China, #US"
RT @V2019N: Supermarkets are preparing for a surge in demand and shoppers are stocking up on staple foods and cleaning supplies as more cas…,GeopoliticalJD,United States and Africa,0,170,2452,44444,2020-03-01 11:30:20,False,,
RT @globaltimesnews: #US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 outbre…,jonathanotcher1,,0,7,1107,264928,2020-03-01 11:26:13,False,,"#US, #educator, #December, #Wuhan, #COVID19"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",Linda_WhiteZA,"South Africa, Kwa Zulu Natal",0,61,24,396,2020-03-01 11:26:05,False,,"#COVID19, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",hellobasiclife,,0,67,8,403,2020-03-01 11:25:50,False,,"#Coronavirus, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",Hadaline1991,,0,67,250,4093,2020-03-01 11:25:31,False,,"#Coronavirus, #China, #US"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",DayananTaylan,,0,67,19,4774,2020-03-01 11:25:13,False,,"#Coronavirus, #China, #US"
"RT @ZoomingIn_NTD: The threat of #coronavirus exposes how captive we are to products made in #China.   ""I think the #US hopefully wakes up…",eri_mk66,,0,153,715,170727,2020-03-01 11:23:55,False,,"#coronavirus, #China, #US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",felixdennis123,,0,61,266,1781,2020-03-01 11:23:48,False,,"#COVID19, #China, #US"
RT @globaltimesnews: #US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 outbre…,Cleuza23019745,"Ribeirão Preto, Brasil",0,7,169,43327,2020-03-01 11:23:20,False,,"#US, #educator, #December, #Wuhan, #COVID19"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",merryolc,Melbourne,0,67,230,1136,2020-03-01 11:23:14,False,,"#Coronavirus, #China, #US"
RT @globaltimesnews: #US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 outbre…,AmbLiuQuan,,0,7,1419,4091,2020-03-01 11:21:34,False,,"#US, #educator, #December, #Wuhan, #COVID19"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",Ray_alltheway,New York,0,67,63,5943,2020-03-01 11:20:44,False,,"#Coronavirus, #China, #US"
RT @V2019N: Supermarkets are preparing for a surge in demand and shoppers are stocking up on staple foods and cleaning supplies as more cas…,Housiee,,0,170,120,40451,2020-03-01 11:20:04,False,,
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",BNN2020,,0,61,230,12281,2020-03-01 11:19:10,False,,"#COVID19, #China, #US"
"RT @V2019N: #US  ""We are preparing as if this is the next #pandemic."" - @DrNancyM_CDC #Coronavirus #2019nCoV  No matter where you are in th…",melelloyd,England,0,740,2524,56493,2020-03-01 11:18:32,False,,"#US, #pandemic, #Coronavirus, #2019nCoV"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",Bella13745965,,0,67,41,5960,2020-03-01 11:17:40,False,,"#Coronavirus, #China, #US"
"RT @IndoPac_Info: First death from #coronavirus in the #UnitedStates confirmed in Washington state, officials say  67 cases reported in the…",BackSayur,,0,26,1033,23783,2020-03-01 11:17:27,False,,"#coronavirus, #UnitedStates"
"RT @Mike60319099: The cost of #Coronavirus test in #China is less than $17 and medicare covers all, patient pays $0. #US patients must pay…",Sarmahco,"Bauchi, Nigeria",0,67,34,194,2020-03-01 11:17:18,False,,"#Coronavirus, #China, #US"
#US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 out… https://t.co/O4XHRBbI4e,globaltimesnews,"Beijing, China",17,7,1635471,139023,2020-03-01 11:17:11,True,,"#US, #educator, #December, #Wuhan, #COVID19"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",SERAG0059,Qom,0,61,1871,5012,2020-03-01 11:17:07,False,,"#COVID19, #China, #US"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",Berkayyeldan,"Tarsus, Türkiye",0,61,17,2410,2020-03-01 11:15:50,False,,"#COVID19, #China, #US"
RT @Iran_NewsRoom: Offer of assistance to Iran in fighting ag #coronavirus by #US that has caused pressure on Iranian Ppl through its econo…,Omza61763605,,0,17,158,8469,2020-03-01 11:13:08,False,,"#coronavirus, #US"
"RT @Ali_F_Alizada: On these recent days filled by negative news on #coronavirus, signing #US-#Taliban peace deal has really impacted positi…",komallsalman,"Islamabad, Pakistan",0,19,9019,126575,2020-03-01 11:12:58,False,,"#coronavirus, #US, #Taliban"
"RT @COVID_19_News: #COVID19 test in #China is less than $17, medicare covers all, patient pays $0. #US patients must pay $1,400 for test, o…",pxtseryu,in a very nice location thank you for asking,0,61,16,2473,2020-03-01 11:12:15,False,,"#COVID19, #China, #US"
"RT @Ali_F_Alizada: On these recent days filled by negative news on #coronavirus, signing #US-#Taliban peace deal has really impacted positi…",KhurramDehwar,,0,19,524,1318,2020-03-01 11:11:40,False,,"#coronavirus, #US, #Taliban"
