tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @jt_osaki: Gut-wrenching cry for help from a drug store clerk in #Japan who says they're tried of apologizing to customer after customer…,JamieTengan415,Tokyo,0,9,837,38359,2020-03-01 12:12:21,False,,#Japan
RT @jt_osaki: Gut-wrenching cry for help from a drug store clerk in #Japan who says they're tried of apologizing to customer after customer…,TKYSK8R,"NYC, TKY, AMS, LON",0,9,2098,345774,2020-03-01 12:10:08,False,,#Japan
RT @jt_osaki: Gut-wrenching cry for help from a drug store clerk in #Japan who says they're tried of apologizing to customer after customer…,MayLoon5,Japan,0,9,342,74900,2020-03-01 12:06:13,False,,#Japan
2/27 Her condition got worse 2/29 🏥consults with health center and #COVID19 confirmed News said 39 HCWs stay 🏠. fol… https://t.co/E1UecZFdNI,makoto_au_japon,#Genève #Geneva 🇨🇭 or #Japan,0,0,2350,84701,2020-03-01 12:05:28,False,,#COVID19
"RT @11GroupLtd: Well, the new situation right now.  #coronavirus #China #Italy #covid19 #Wuhanoutbreak #chinanews #virus #Corona #news #jap…",dionmacartney12,,0,46,1,2,2020-03-01 12:04:05,False,,"#coronavirus, #China, #Italy, #covid19, #Wuhanoutbreak, #chinanews, #virus, #Corona, #news"
RT @jt_osaki: Gut-wrenching cry for help from a drug store clerk in #Japan who says they're tried of apologizing to customer after customer…,drhappyknuckles,Tokyo,0,9,2062,8586,2020-03-01 12:03:14,False,,#Japan
RT @NHKWORLD_News: The total number of confirmed infections with the new #coronavirus in #Japan stands at 947 as of 10:30 a.m. Sunday. They…,willingbleeder,USA,0,94,180,17431,2020-03-01 12:02:56,False,,"#coronavirus, #Japan"
What do you think about coronavirus? I Interviewed Multinational people. #japan #corona #coronavirus #osaka #tokyo… https://t.co/rLrwrkscgB,JLE2020official,Japan,0,0,5,26,2020-03-01 12:02:39,False,,"#japan, #corona, #coronavirus, #osaka, #tokyo"
RT @jt_osaki: Gut-wrenching cry for help from a drug store clerk in #Japan who says they're tried of apologizing to customer after customer…,darius_roberti,Not Japan,0,9,1592,428943,2020-03-01 12:01:48,False,,#Japan
RT @CassieMitchele: The panic buying in #Japan continues... all the rice and most of the ramen is sold out at my good sized supermarket. Th…,n_loves_yk,Japan,0,1,536,13380,2020-03-01 12:00:53,False,,#Japan
RT @jt_osaki: Gut-wrenching cry for help from a drug store clerk in #Japan who says they're tried of apologizing to customer after customer…,Brian_Ashcraft,From Texas. Osaka since 2001.,0,9,19483,16998,2020-03-01 11:59:54,True,,#Japan
"RT @CEDRdigital: #Coronavirus UPDATE Feb 29 9PM EST The current GLOBAL statistics - Confirmed cases in: -86,979 total in🌎 -79,824 Mainland…",edgeoforever,City on the Edge of forever,0,10,3467,435534,2020-03-01 11:57:00,False,,#Coronavirus
RT @jt_osaki: Gut-wrenching cry for help from a drug store clerk in #Japan who says they're tried of apologizing to customer after customer…,hangry_stories,日本 東京/Tokyo ,0,9,2044,90400,2020-03-01 11:56:54,False,,#Japan
#Japan #COVID19 case: #Nagoya city official https://t.co/XX1iKeFLcW via MHLW 70s Japanese inpatient. She is on a ve… https://t.co/SUBLGDilUY,makoto_au_japon,#Genève #Geneva 🇨🇭 or #Japan,0,0,2350,84701,2020-03-01 11:56:11,False,,"#Japan, #COVID19, #Nagoya"
