tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
81 countries restricting entry from S. #Korea over #coronavirus fears   #SEOUL March 1 More than 80 #countries are… https://t.co/ZyfPswrvF7,alba_dalai,PlanetEarth,0,0,14116,23450,2020-03-01 12:13:29,False,,"#Korea, #coronavirus, #SEOUL, #countries"
"RT @11GroupLtd: Well, the new situation right now.  #coronavirus #China #Italy #covid19 #Wuhanoutbreak #chinanews #virus #Corona #news #jap…",dionmacartney12,,0,46,1,2,2020-03-01 12:04:05,False,,"#coronavirus, #China, #Italy, #covid19, #Wuhanoutbreak, #chinanews, #virus, #Corona, #news"
RT @chidambara09: #Friendly #kissing poses #coronavirus  #dilemma in #Europe https://t.co/EdhmMGV0Ny via @washtimes   by  cOLLeeN   #bigdat…,FmFrancoise,France  Finistère Quimper,0,4,9743,169570,2020-03-01 12:01:12,False,,"#Friendly, #kissing, #coronavirus, #dilemma, #Europe"
RT @chidambara09: #Friendly #kissing poses #coronavirus  #dilemma in #Europe https://t.co/EdhmMGV0Ny via @washtimes   by  cOLLeeN   #bigdat…,GentooBot,The Cloud,0,4,875,72042,2020-03-01 11:58:32,False,,"#Friendly, #kissing, #coronavirus, #dilemma, #Europe"
RT @chidambara09: #Friendly #kissing poses #coronavirus  #dilemma in #Europe https://t.co/EdhmMGV0Ny via @washtimes   by  cOLLeeN   #bigdat…,LinuxDreams,digitalocean,0,4,1310,96263,2020-03-01 11:58:29,False,,"#Friendly, #kissing, #coronavirus, #dilemma, #Europe"
RT @chidambara09: #Friendly #kissing poses #coronavirus  #dilemma in #Europe https://t.co/EdhmMGV0Ny via @washtimes   by  cOLLeeN   #bigdat…,LlnuxBot,Raspberry Pi,0,4,1260,146212,2020-03-01 11:57:16,False,,"#Friendly, #kissing, #coronavirus, #dilemma, #Europe"
"RT @HallyuWebsite: #Coronavirus #NorthKorea #Korea  Guys, this is amazing.  North Korea has an awesome #COVID19 video.  You all have to wat…",curlybo2,,0,7,95,24856,2020-03-01 11:57:14,False,,"#Coronavirus, #NorthKorea, #Korea, #COVID19"
#Friendly #kissing poses #coronavirus  #dilemma in #Europe https://t.co/EdhmMGV0Ny via @washtimes   by  cOLLeeN… https://t.co/lkZ8qXRQ6r,chidambara09,Mysore  and  BERLIN,0,4,6269,920407,2020-03-01 11:56:22,False,,"#Friendly, #kissing, #coronavirus, #dilemma, #Europe"
RT @StefVanDerWiz: @spectatorindex What Awaits Us? It's Time! Follow Me! #CoronaVirus #WHO #Italy #Korea #USA #China #Sweden #Iran #Fear #W…,StefVanDerWiz,"Rhinebeck, NY",0,3,280,27605,2020-03-01 11:52:31,False,,"#CoronaVirus, #WHO, #Italy, #Korea, #USA, #China, #Sweden, #Iran, #Fear"
"RT @yyoo11122: #Coronavirus upgrades #risk level of spread: ""Very high"" WHO: 28 feb 2020 Coronavirus risk of spread &amp; impact now 'very #hig…",roscyprus,"Sheffield, England",0,4,342,2222,2020-03-01 11:51:01,False,,"#Coronavirus, #risk"
RT @RobertKemble: Stepped outside for the first time since Wednesday to buy milk. This was the first thing I saw over the road. Not great.…,AlyssaCrisp5,"Texas, USA",0,8,60,1224,2020-03-01 11:49:00,False,,
RT @W7VOA: Reported #coronavirus “reinfection” case in #Korea. https://t.co/KdaxVZuTtX,AltemusFrances,,0,19,4497,98879,2020-03-01 11:46:40,False,,"#coronavirus, #Korea"
South Korea Observes 813 New Coronavirus Cases in a Single Day https://t.co/ORHZx59NoF via @epochtimes #Korea… https://t.co/TFaCP7TYp4,DSkoumbourdis,,1,0,12228,1687,2020-03-01 11:40:27,False,,#Korea
