timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 03:46:06,"@nCoVSurviving Hiding #coronavirus may be punishable by death, China court says  https://t.co/j9jYwPHFAT  #COVID19 #SARSCoV2 #outbreak #Wuhan  #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #CDC #US #NYC",K_B79,"['coronavirus', 'COVID19', 'SARSCoV2', 'outbreak', 'Wuhan', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'CDC', 'US', 'NYC']",2630
2020-02-20 03:36:10,We need a new marriage vow now...😅  #Coronavirus #COVID19 #China #HongKong #MarriageStory #Poem #poetrycommunity #poetry https://t.co/x7OIrhHXlC,HYWong31733319,"['Coronavirus', 'COVID19', 'China', 'HongKong', 'MarriageStory', 'Poem', 'poetrycommunity', 'poetry']",6
2020-02-20 03:31:30,This woman’s call for help should be heard around the world. This is what happens under socialist/communist regimes. I pray for her. #Wuhan #COVIDー19 #coronavirus #politics #china #fuckchina #freethepeople #hongkong https://t.co/WA60UJcjo9,OfficialLRTM,"['Wuhan', 'COVIDー19', 'coronavirus', 'politics', 'china', 'fuckchina', 'freethepeople', 'hongkong']",8
2020-02-20 03:31:26,Only way to get authentic #WuhanCoronavirus spread/casualty ratio is by analysing nmbrs coming fm #SouthKorea #Hongkong #Singapore #Japan etc. Not to forget #DiamondPrincess #Westerdam too. Reliance on #China's nmbrs is fooling ppl. That's wat @WHO @UN doing so far. #coronavirus,CaptAKJ,"['WuhanCoronavirus', 'SouthKorea', 'Hongkong', 'Singapore', 'Japan', 'DiamondPrincess', 'Westerdam', 'China', 'coronavirus']",537
2020-02-20 03:29:48,"#Coronavirus #UK travel advice: Foreign Office guidelines for #Thailand, #HongKong, #China, #Japan and beyond   @theipaper  https://t.co/8RaTF4gC37",GlobalNewsTH,"['Coronavirus', 'UK', 'Thailand', 'HongKong', 'China', 'Japan']",5531
2020-02-20 03:13:40,Singtao owner that was banned to come to NY! He made these 2 pages just to tell people what Carrie Lam did to HK people! #HongKong. #coronavirus #HKGov #StayStrongHK #supporthk #antielab https://t.co/lkvdtti4gj,Tammy14123942,"['HongKong', 'coronavirus', 'HKGov', 'StayStrongHK', 'supporthk', 'antielab']",25
2020-02-20 03:09:00,"Meanwhile, 102 #HongKong passengers onboard #DiamondPrincess arrived #HanedaAirport in #Tokyo, they took the govt-chartered flight with 8 health officials back home.  #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina",Sreyrot79159121,"['HongKong', 'DiamondPrincess', 'HanedaAirport', 'Tokyo', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus', 'CoronavirusOutbreak', 'Wuhan', 'coronaviruschina']",1535
2020-02-20 03:02:58,"106 of the 364 Hongkongers who were stuck on the quarantined Diamond Princess cruise in Japan for more than two weeks finally arrived back in the city this morning, and were sent straight to a quarantine facility in Fo Tan for 14 days. #coronavirus #hongkong #quarantine https://t.co/JY6aT71ozI",eyepressnews,"['coronavirus', 'hongkong', 'quarantine']",6372
2020-02-20 03:00:07,"Good day, everyone!  Here’s a very good doggie.   #HongKong  #KeepSafe😷 #coronavirus https://t.co/1A1ri0rE65",StMajestyk,"['HongKong', 'KeepSafe', 'coronavirus']",102
2020-02-20 03:00:00,Hong Kong reports second coronavirus death as it draws plans to fly stranded residents back from virus-stricken cruise ship in Japan.....  #HongKong #Coronavirus #China #Wuhan #COVID19 #CoronavirusOutbreak https://t.co/4z3iouKOWt,TPE_connect,"['HongKong', 'Coronavirus', 'China', 'Wuhan', 'COVID19', 'CoronavirusOutbreak']",617
2020-02-20 02:53:05,"Some #HongKong passengers onboard #DiamondPrincess cruise are eager to get on the charter flight; some contracted the #Coronavirus are now isolated in #Japan’s hospital, worrying their families who left onboard the ship.  #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus",Sreyrot79159121,"['HongKong', 'DiamondPrincess', 'Coronavirus', 'Japan', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus']",1535
2020-02-20 02:51:07,"#Cambodia Ministry of Health said as of today (Thursday) 1286 #Westerdam passengers tested #Coronavirus #Covid_19  NEGATIVE, 20 days after the ship left #HongKong",Chhengniem,"['Cambodia', 'Westerdam', 'Coronavirus', 'Covid_19', 'HongKong']",1040
2020-02-20 02:36:10,Trains be ghost these days👻  #ThisIsHongKong #coronavirus  #TravelPhotography #travel #StreetPhotography #HongKong #iphoneography #photojournalism #streetphotographer #iphone11 https://t.co/xC5YKGCzi4,bmactravelogues,"['ThisIsHongKong', 'coronavirus', 'TravelPhotography', 'travel', 'StreetPhotography', 'HongKong', 'iphoneography', 'photojournalism', 'streetphotographer', 'iphone11']",29
2020-02-20 02:21:05,"More than 100 #HongKong residents who were quarantined on the Diamond Princess cruise in #Japan for over two weeks landed on Thursday morning in the Asian financial hub, where they will face a further 14 days of quarantine.  #coronavirus https://t.co/3lR6FvHguc",Apex_WW,"['HongKong', 'Japan', 'coronavirus']",2124
2020-02-20 02:14:03,"And over a hundred joined a rally at #LeiChengUkEstate, #CheungShaWan yesterday, residents also angry about #HongKong govt assign designated outpatient clinic for #Coronavirus patients in residential area. #COVID #COVID19 #China #wuhan #冠状病毒",Mina32134295,"['LeiChengUkEstate', 'CheungShaWan', 'HongKong', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒']",501
2020-02-20 02:07:48,"#HongKong govt planned to set up quarantine facilities for #Coronavirus, 3 of them located in #SaiKung. Residents in the district had a rally in town centre yesterday against govt’s reckless decision, said the facilities just a block away from residential area.",Mina32134295,"['HongKong', 'Coronavirus', 'SaiKung']",501
2020-02-20 01:58:12,"Here comes #HongKong police college joined the #CCP propaganda army, to “encourage #Coronavirus epidemic control in #Wuhan”, gosh they spoke mandarin....  @StandNewsHK  #香港警察學院加入9叫武漢加油 #仲要講國語🤢 https://t.co/yMQ1uN9ruv",nikki_miumiu,"['HongKong', 'CCP', 'Coronavirus', 'Wuhan', '香港警察學院加入9叫武漢加油', '仲要講國語']",9774
2020-02-20 01:54:21,"One new confirmed case of #Coronavirus added in #HongKong, the 54-yr-old male with no travel  record have seen the doc for 6 times in 9 days, hospital once failed to diagnose him.  Health officials sanitised the building where he lives in #TaiKooShing after diagnosed.",Mina32134295,"['Coronavirus', 'HongKong', 'TaiKooShing']",501
2020-02-20 01:26:47,#HongKong first Filipino domestic worker infected with #coronavirus ‘in good spirits’ https://t.co/oIGf7qANwz,BrianRhoadsHK,"['HongKong', 'coronavirus']",5515
2020-02-20 01:05:03,#HongKong: The Immigration Department (ImmD) has announced it will continue to limit services this week in response to the #coronavirus. Read more: https://t.co/RCI7qmYszr #immigration #globalmobility,BAL_Immigration,"['HongKong', 'coronavirus', 'immigration', 'globalmobility']",4519
2020-02-20 01:02:00,"Asian countries anxious over virus, want China flight ban: new poll https://t.co/xI52Mfuomy via @scmpnews #japan #coronavirus #china #hongkong",karldotcom,"['japan', 'coronavirus', 'china', 'hongkong']",920
2020-02-20 01:00:58,Nightmare cruise finally over for 106 Hong Kong passengers https://t.co/mJrTpBWkZh via @scmpnews #hongkong #coronavirus,karldotcom,"['hongkong', 'coronavirus']",920
2020-02-20 01:00:00,Hong Kong reports second coronavirus death as it draws plans to fly stranded residents back from virus-stricken cruise ship in Japan....  #HongKong #Coronavirus #China #Wuhan #COVID19 #CoronavirusOutbreak https://t.co/4z3iov2ql3,TPE_connect,"['HongKong', 'Coronavirus', 'China', 'Wuhan', 'COVID19', 'CoronavirusOutbreak']",617
2020-02-20 00:59:41,"Qantas and Jetstar cut Asia flights, including to Hong Kong, Singapore https://t.co/EQalNP865d via @scmpnews #hongkong #coronavirus #singapore",karldotcom,"['hongkong', 'coronavirus', 'singapore']",920
2020-02-20 00:23:41,"At #Yokohama #Japan, #HongKong arranged a flight and buses by the tax we paid, to evacuate HongKongers on #DiamondPrincess  cruise. And #China consulate took this chance for its propaganda. Rubbish country, absolutely rubbish. #Coronavirus #WuHan  #WuHanPneumonia #ChinaVirus https://t.co/eiCNrEVQ1F",WickyWong3,"['Yokohama', 'Japan', 'HongKong', 'DiamondPrincess', 'China', 'Coronavirus', 'WuHan', 'WuHanPneumonia', 'ChinaVirus']",7
2020-02-20 00:21:18,"Qantas confirms it will cut flights to mainland #China, #HongKong and #Singapore as #coronavirus ...   #Qantas #flights from #Sydney to #Shanghai will remain #suspended until at least the end of May as the coronavirus claims more lives.  https://t.co/SDgxHEkH10 via @MailOnline",alba_dalai,"['China', 'HongKong', 'Singapore', 'coronavirus', 'Qantas', 'flights', 'Sydney', 'Shanghai', 'suspended']",14112
2020-02-20 00:14:40,"@PeterSchiff @CNBCFastMoney What I can’t believe is @agnicoeagle huge drop and management never addressed it. Also, with gold prices going up, #coronavirus, one would think $AEM should have strongly rebounded back. #cnbc #hongkong #HKEX #gold",herdfightsback,"['coronavirus', 'cnbc', 'hongkong', 'HKEX', 'gold']",6
2020-02-20 00:02:14,#Coronavirus causes postponement of #HongKong Sports Stars Awards https://t.co/bDYfe76USI,insidethegames,"['Coronavirus', 'HongKong']",29377
2020-02-20 00:00:00,Grim data from global shipping in wake of #coronavirus • #HongKong port activity drops sharply • #Singapore absorbing some of Hong Kong’s losses on shipping front • #LosAngeles port activity at lowest level since height of US-China trade war (via @economics) https://t.co/B3fdPSHM6G,AgatheDemarais,"['coronavirus', 'HongKong', 'Singapore', 'LosAngeles']",2478
2020-02-19 23:53:31,"#HKSAR #CHICOM #ReginaIp's #coronavirus dog &amp; pony show sounds as ""legit"" as when BJ had #CCP #unitedfront connected taxi associations in #HongKong file 4 court injuctions during #Umbrella and 2 purge pro-#democracy lawmakers from the #LegCo. https://t.co/aN6lSzmUF4",DanGarrett97,"['HKSAR', 'CHICOM', 'ReginaIp', 'coronavirus', 'CCP', 'unitedfront', 'HongKong', 'Umbrella', 'democracy', 'LegCo']",5683
2020-02-19 23:50:27,We really need the healthy people in #PRC to firecracker the Communist Party in #China.  Because the world has had enough.  #FreeHongKong #HongKong #Taiwan #Tibet #FreeTibet #Xinjiang #Wuhan #Coronavirus #COVID19 #Huawei https://t.co/EjRGDf5uBJ,lucas_and_mew,"['PRC', 'China', 'FreeHongKong', 'HongKong', 'Taiwan', 'Tibet', 'FreeTibet', 'Xinjiang', 'Wuhan', 'Coronavirus', 'COVID19', 'Huawei']",96
2020-02-19 23:45:13,"Some #HongKong passengers onboard #DiamondPrincess cruise are eager to get on the charter flight; some contracted the #Coronavirus are now isolated in #Japan’s hospital, worrying their families who left onboard the ship.  #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus",Mina32134295,"['HongKong', 'DiamondPrincess', 'Coronavirus', 'Japan', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus']",501
2020-02-19 23:37:20,.@BorisJohnson listen.  You are a racist for relying on #Huawei for #5G in the UK.  What the fuck happened to #Nokia and #Ericsson?!  #BorisTheRacist #China #Wuhan #HongKong #FreeHongKong #WuhanCoronavius #COVID19 #coronavirus #ncov19 #Tibet #Xinjiang #Taiwan https://t.co/dLzRzOf4KG,lucas_and_mew,"['Huawei', '5G', 'Nokia', 'Ericsson', 'BorisTheRacist', 'China', 'Wuhan', 'HongKong', 'FreeHongKong', 'WuhanCoronavius', 'COVID19', 'coronavirus', 'ncov19', 'Tibet', 'Xinjiang', 'Taiwan']",96
2020-02-19 23:32:49,#Coronavirus: #HongKong #tourismsector taking ‘bigger hit’ than during #Sars https://t.co/R9OYog6b8z | via @scmpnews by @Denise_Tsang,IvanhoeMd,"['Coronavirus', 'HongKong', 'tourismsector', 'Sars']",449
2020-02-19 23:31:40,#Coronavirus: massive HK$30 billion relief package revealed as #HongKong government plans to bail out struggling industries and fund the fight against deadly bug https://t.co/6NJ7Hn4vmr https://t.co/QJEhXkuUPm,BienPerez,"['Coronavirus', 'HongKong']",1219
