timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 03:46:53,@sugabelly No... they died in the hospital. They were tested positive on the cruise and were sent to the hospital in japan....... #coronavirus #wuhancoronavirus,manucanuck,"['coronavirus', 'wuhancoronavirus']",556
2020-02-20 03:45:56,The manufacturer of #WuhanCoronavirus is #CCPCHINA   The leakage of the #WuhanCoronavirus is #CCPChina   The spread of #WuhanCoronavirus is #CCPCHINA   The party who hidden the seriousness of #WuhanCoronavirus is #CCPCHINA https://t.co/glvubymA7b,JoannNg2,"['WuhanCoronavirus', 'CCPCHINA', 'WuhanCoronavirus', 'CCPChina', 'WuhanCoronavirus', 'CCPCHINA', 'WuhanCoronavirus', 'CCPCHINA']",30
2020-02-20 03:45:49,China's issue of Exit-Entry Permit btw Hong Kong &amp; Shenzhen during the #coronavirus epidemic reveals that Hong Kong gov't is just a puppet gov't which doesn't have say to turn down such dangerous decision. #WuhanCoronavirus https://t.co/tvihTG19z0 https://t.co/9Hgr0DGsVq,happy_bogummy,"['coronavirus', 'WuhanCoronavirus']",770
2020-02-20 03:44:45,"@BBCWorld All Chinese must introspect (the)mvs while the dictatorship, #CCP oppress  free press &amp; speech &amp; silence dissents by arbitrary arrests &amp; brutality,  Did they try to fight against it?  Recent #WuhanCoronavirus outbreak globally is a result of truth concealing &amp; all ppl r suffering https://t.co/9oOOqkeo4L",csarsark,"['CCP', 'WuhanCoronavirus']",1070
2020-02-20 03:44:29,"February 19, 2020 10:13 PM EST Real-time mapping of the #WuhanCoronavirus (2019-nCoV) Global Cases (Confirmed Cases and Total Deaths) https://t.co/oqeBcFG6H9 … #nCoV #COVID19 (An increase of 526 cases and 110 more deaths since 2/18/20 9:35 PM, or 24 hours ago) https://t.co/Sodl99Abqb",bettycjung,"['WuhanCoronavirus', 'nCoV', 'COVID19']",617
2020-02-20 03:42:47,@Brit_in_China @joshuawongcf @TIME CCP segregated people by ordering lockdowns in Wuhan&amp;cities in Hubei in an attempt to stop the #WuhanCoronavirus from spreading. Hong Kong people demanded to close the border for the similar reasons. Experts in the medical/science fields who had experiences with SARS support this,the_maru_,['WuhanCoronavirus'],27
2020-02-20 03:40:45,"China is dealing with both a public health crisis and a public relations crisis. Censors are doing double time trying to control discussion of the topic, including stamping out outlandish rumors  #COVID2019 #WuhanCoronavirus #China #Censorship   https://t.co/YfeYDbWO8f",yesitsmarjorie,"['COVID2019', 'WuhanCoronavirus', 'China', 'Censorship']",2
2020-02-20 03:38:21,@HenryHimmler1 Desperate situations demand desperate measures. Now compare this with the war of words bet #US #China not so long ago.  #WuhanCoronavirus #Coronavirus #Trade,CaptAKJ,"['US', 'China', 'WuhanCoronavirus', 'Coronavirus', 'Trade']",537
2020-02-20 03:37:31,China is deploying test robots to disinfect the streets: #AlexJones #coronaviruschina #WuhanCoronavirus https://t.co/QKifPWqRn9,Real_Tall_News,"['AlexJones', 'coronaviruschina', 'WuhanCoronavirus']",239
2020-02-20 03:36:36,#Nanning a sampling of #china aviation   #coronavirus #ChinaCoronaVirus #Corona #china #WuhanCoronavirus #coronaviruschina #WuhanOutbreak  #WuhanPneumonia  #Wuhan #CoronaVirusOutbreak #CCP #ncov2020 #CoronaVirusFacts #COVID19 #VirusCorona #outbreak #virusoutbreak https://t.co/ALsaY5xBeJ,josephthavaraja,"['Nanning', 'china', 'coronavirus', 'ChinaCoronaVirus', 'Corona', 'china', 'WuhanCoronavirus', 'coronaviruschina', 'WuhanOutbreak', 'WuhanPneumonia', 'Wuhan', 'CoronaVirusOutbreak', 'CCP', 'ncov2020', 'CoronaVirusFacts', 'COVID19', 'VirusCorona', 'outbreak', 'virusoutbreak']",99
