timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-19 17:24:26,"Some good news on the #coronavirus front, with explanation from members of @IDSAinfo: https://t.co/jn3bFiTDtQ via @phillyinquirer",TomAvril1,['coronavirus'],2088
2020-02-19 17:24:06,@DavidMcNeill3 the lunatics are running the asylum...  #COVID19 #coronavirus #coronavirusuk https://t.co/9Bbc6FyDUy,Quamasparagi,"['COVID19', 'coronavirus', 'coronavirusuk']",286
2020-02-19 17:24:03,How can you reduce the risk of #coronavirus or other infectious diseases in the workplace? These 8 techniques are key: https://t.co/J5hEkoSrTG,AragonResearch1,['coronavirus'],25151
2020-02-19 17:24:00,Every 'life' has its day !!! Situation of China right now !!  #coronavírus #corona #life https://t.co/RGQ2X7QyQm,iamgunvant,"['coronavírus', 'corona', 'life']",59
2020-02-19 17:23:52,"#coronavirus just had a report pop up on my phone, the two Iranians who tested positive earlier today have died",GinaKaos,['coronavirus'],3
2020-02-19 17:23:41,"China Expels 3 WSJ Reporters Over ""Racist"" Opinion Piece   Beijing is learning from it's closest ideological allies: American SJWs.  https://t.co/a9fUpZKXqI  #BreakingNews #Coronavirus #CoronavirusOutbreak #China #Collapse #COVID19 #USA",SecretNews,"['BreakingNews', 'Coronavirus', 'CoronavirusOutbreak', 'China', 'Collapse', 'COVID19', 'USA']",1388
2020-02-19 17:23:40,"New paper quantifying the apparent success in China of using quarantines, travel bans, and other measures to prevent exponential growth of #coronavirus cases. #riskmanagement #investing #RIA #CFA #CFP #FRM #corpgov #nonexec  https://t.co/pGBEbhqxAT",IndexLlc,"['coronavirus', 'riskmanagement', 'investing', 'RIA', 'CFA', 'CFP', 'FRM', 'corpgov', 'nonexec']",41
2020-02-19 17:23:25,"Food for Thought: Who said, “Never let a good crisis go to waste”? So, is #coronavirus not a good crisis? No real action on either side of the aisle. Why not from the left? Russia BS failed them, and their candidates stink! #Election2020 #conspiracy #DeepState @tracybeanz https://t.co/Gi8ZppEEaM",CoiffureDom,"['coronavirus', 'Election2020', 'conspiracy', 'DeepState']",176
2020-02-19 17:23:25,"The @AFTunion has passed a resolution stating that the AFT supports measures that meaningfully limit the spread of emerging disease but not those that foster profiling and discrimination on the basis of race, ethnicity or national origin. #Coronavirus https://t.co/D8tSLR06RB",CFTunion,['Coronavirus'],2363
2020-02-19 17:23:24,Senior Doctor in #Wuhan Outbreak Dies from #Coronavirus | The Scientist Magazine® #COVIDー19 #SARSCoV2  https://t.co/62l9EhJ7Zv,TheOriginalBoto,"['Wuhan', 'Coronavirus', 'COVIDー19', 'SARSCoV2']",574
2020-02-19 17:23:19,@LucasFoxNews MBS butchers journalist is no problem.  #China expels three correspondents is intolerable.   #coronavirus,ChavezGeist,"['China', 'coronavirus']",165
2020-02-19 17:23:18,And so it begins in the USA...Officials: 746 people in #Washington being supervised due to #coronavirus outbreak | KVAL  https://t.co/lYNsfOiBJv,blessing_ranch,"['Washington', 'coronavirus']",180
2020-02-19 17:23:17,"in #China, the government runs #healthcare. as a result, there are no independent opinions and public voices about what is happening with the #CoronaVirus.  There are more negatives to government run healthcare than just costs and services.",sbkaye,"['China', 'healthcare', 'CoronaVirus']",453
2020-02-19 17:23:01,"“What makes this new virus so damaging is you’re losing lung function, and that puts a strain on every organ in your body,” UTMB's @TheMenacheryLab tells @Carolynyjohnson  How the #coronavirus can kill people https://t.co/KcUI0VMEk0",utmbnews,['coronavirus'],2088
