timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-19 17:22:57,Wuhan Coronavirus Continues to Spread Globally - New Updates  https://t.co/fsTXGDKhAP  New case in US Iran reports ifirst cases Hong Kong reports 2nd death Large increases of cases in Japan &amp; South Korea   #wuhancoronavirus #COVID19 #health #prepper #preppers #preppertalk,DystopianSurv,"['wuhancoronavirus', 'COVID19', 'health', 'prepper', 'preppers', 'preppertalk']",574
2020-02-19 17:22:28,"Omg! #china government sponsored for the shuttle for #Hongkongers on diamond princess cruise transport from the pier to the airport at tokyo, but they stick a banner “Go! We go back home!” for promotion!! 🤮 #HongKong government paid for the plane indeed! #WuhanCoronavirus https://t.co/YWC905qYl3",DawninDark,"['china', 'Hongkongers', 'HongKong', 'WuhanCoronavirus']",484
2020-02-19 17:22:24,"Chinese media reports mobile furnaces have been shipped to the center of the #COVIDー19 outbreak.  Sources raise questions over whether the incinerators are for animals &amp; human waste, or human remains. #Coronavirus #CoronavirusOutbreak #WuhanCoronavirus  https://t.co/yRqX6kXnU2",Ninety7Bravo,"['COVIDー19', 'Coronavirus', 'CoronavirusOutbreak', 'WuhanCoronavirus']",811
2020-02-19 17:21:11,"#Russia closes borders w/ #China, Geng Shuang: We respect their decision. Not a peep from this world bully huh?   Didn't they protest loudly for every other country that has closed border? IS THAT RACIST?🙄   #CCP_is_terrorist #WuhanCoronavirus  #coronavirus https://t.co/iA7432Zv7N",thelonelypigwig,"['Russia', 'China', 'CCP_is_terrorist', 'WuhanCoronavirus', 'coronavirus']",419
2020-02-19 17:20:52,"@jenniferatntd If Information raise public awareness of #WuhanCoronavirus induced #WuhanPneumonia+informing people to enhance personal and public hygiene. Who care about misinformation?!! It is the most dangerous when the public is uninformed. That was what happen in China, ppls are uninformed!",mamapapalong,"['WuhanCoronavirus', 'WuhanPneumonia']",193
2020-02-19 17:19:28,All 406 Wuhan evacuees left for home from ITBP quarantine centre #ITBP #Wuhan #coronavavirus #coronavirusindia #ChinaVirus #ChinaCoronaVirus #VirusCorona #COVID19 #NCOV19 #WuhanCoronavirus #WuhanCoronavirusOutbreak #virusCoronaChina  https://t.co/03o6R8oyQn,pennewstweet,"['ITBP', 'Wuhan', 'coronavavirus', 'coronavirusindia', 'ChinaVirus', 'ChinaCoronaVirus', 'VirusCorona', 'COVID19', 'NCOV19', 'WuhanCoronavirus', 'WuhanCoronavirusOutbreak', 'virusCoronaChina']",2559
2020-02-19 17:10:22,"A coach has been sent to pick up #HongKongers from Yokohama after their quarantine on Diamond Princess. “Come, let’s go home!” The simplified Chinese is not a common text type in HK.  (Photo: Facebook)  #武漢肺炎 #nCoV2019 #WuhanCoronavirus #WuhanOutbreak https://t.co/pfDhRfZwYB",JayLam_HK,"['HongKongers', '武漢肺炎', 'nCoV2019', 'WuhanCoronavirus', 'WuhanOutbreak']",234
2020-02-19 17:05:28,"Ok, patients detained in #wuhan hospital start filming. I am concerning their mental health indeed #WuhanCoronavirus #WuhanPneumonia #COVID_2019 https://t.co/MDSr42R8Er",DawninDark,"['wuhan', 'WuhanCoronavirus', 'WuhanPneumonia', 'COVID_2019']",484
2020-02-19 17:03:52,CHECK THIS OUT❗️❗️❗️ @VictoriasSecret came up with a mask to protect you from the #coronavavirus #WuhanCoronavirus #StaySafe #ahued #quieromibolillo https://t.co/xDkWAF1JQH,ahued_mauricio,"['coronavavirus', 'WuhanCoronavirus', 'StaySafe', 'ahued', 'quieromibolillo']",54
2020-02-19 16:59:56,@HawleyMO @NBA #CCP works harder on censorship and suppression of free speech than actually fighting against the #WuhanCoronavirus.. and that’s exactly what they did when they arrested the people who “spread rumors” about the outbreak back in early January.  https://t.co/xZU7MgPCUm,Fatpigvanessa,"['CCP', 'WuhanCoronavirus']",310
