timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-19 11:02:42,Diamond Princess is COVID-19 mill. How I got in the ship and was removed... https://t.co/gR5lOw957O @YouTubeより #japan #coronavirus,tripnihon,"['japan', 'coronavirus']",70
2020-02-19 11:00:00,"Another 88 people from a cruise ship off #Japan have tested positive for the #coronavirus, authorities said, as those free of the disease hoped they were spending their last night on board before disembarking. https://t.co/QC4VRKhQiP",Saudi_Gazette,"['Japan', 'coronavirus']",84762
2020-02-19 11:00:00,Coronavirus Outbreak: Hundreds of passengers allowed to disembark cruise ship in Japan after 542 test positive. #Coronavirus #Japan #Yokohama #CoronavirusJapan #DiamondPrincess #COVID19 #CoronavirusOutbreak https://t.co/RgWKU5tqM2,TPE_connect,"['Coronavirus', 'Japan', 'Yokohama', 'CoronavirusJapan', 'DiamondPrincess', 'COVID19', 'CoronavirusOutbreak']",616
2020-02-19 10:50:44,Passengers disembark #coronavirus-affected Diamond Princess cruise ship in #Japan  https://t.co/vIWTDIvk0A,RockwellGlobal,"['coronavirus', 'Japan']",85526
2020-02-19 10:49:55,New Article  #DiamondPrincess #Japan Announces Cruise Ship From Hell Has 621 #Coronavirus Cases https://t.co/4DLBjX9szm,AndrewLankinen1,"['DiamondPrincess', 'Japan', 'Coronavirus']",429
2020-02-19 10:49:30,1 new death in #HongKong 20 new cases in #SouthKorea 3 new cases in #Japan 2 have recovered in #Malaysia (local)  #COVID19 latest: - 75227 cases - 2012 deaths - 14921 recovered - 2.7% fatality rate - 30 places  https://t.co/CAdnjmRQPi  #KeepMeSafe from #CoronaVirus #WuhanVirus https://t.co/hlQCErkvkz,KeepMeSafeApp,"['HongKong', 'SouthKorea', 'Japan', 'Malaysia', 'COVID19', 'KeepMeSafe', 'CoronaVirus', 'WuhanVirus']",3
2020-02-19 10:45:39,Foreign visitors to #Japan down for 4th straight month in Jan.  #coronavirus  https://t.co/DZArVniWlK,kyodo_english,"['Japan', 'coronavirus']",10279
2020-02-19 10:41:09,Too early to say whether #Coronavirus threatens #Olympics: #WHO - https://t.co/9lhOMKU5Io  #China #Japan https://t.co/bUIqQbOpjw,NewsIn_Asia,"['Coronavirus', 'Olympics', 'WHO', 'China', 'Japan']",584
2020-02-19 10:38:05,Italian Air Force Airbus ACJ319 115X IAM3194 heading Yokohama  to evacuate 35 nationals from cruise ship quarantined at #Japan port.  #Italy #coronavirus https://t.co/wx9fwIIGhc,GDarkconrad,"['Japan', 'Italy', 'coronavirus']",14584
2020-02-19 10:37:45,"79 new cases  #CORONAVIRUS on the #Diamond Princess cruise ship in #Japan. So far, a total of 621 infected people were found among 3,011 passengers and crew members tested (21% infection rate) out of 3,711 total people on the ship. https://t.co/IuiTU3GXs4",MarioIli7,"['CORONAVIRUS', 'Diamond', 'Japan']",32
2020-02-19 10:37:18,Nobody is spared. #COVID19 #SARSCoV2 #deaths #coronavirus #outbreak #Wuhan #coverup #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #Russia #Wisconsin #Hawaii #Taiwan #CDC #US #military #Iran https://t.co/fEsBtTv1Ft,nCoVSurviving,"['COVID19', 'SARSCoV2', 'deaths', 'coronavirus', 'outbreak', 'Wuhan', 'coverup', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'Russia', 'Wisconsin', 'Hawaii', 'Taiwan', 'CDC', 'US', 'military', 'Iran']",362
2020-02-19 10:36:57,"#TPEoorhh: Two more Indians on board a quarantined cruise ship off Japan have tested positive for coronavirus, taking the total toll to five #India #Japan #Coronavirus #Yokohama #DiamondPrincess #CoronavirusOutbreak #COVIDー19 #COVID https://t.co/fUfEYzt5ea",TPE_archive,"['TPEoorhh', 'India', 'Japan', 'Coronavirus', 'Yokohama', 'DiamondPrincess', 'CoronavirusOutbreak', 'COVIDー19', 'COVID']",46
2020-02-19 10:36:49,#Japan emperor #birthday festival cancelled due #coronavirus @fugu_24 @manaponchan1229 @AustriaInJapan   https://t.co/QjqTQtYY1r,BMLoidl,"['Japan', 'birthday', 'coronavirus']",1446
2020-02-19 10:36:37,"#HongKong reported a second death from the virus on Wednesday, while #SouthKorea confirmed 20 new cases. In #Japan, seven new infections were recorded Tuesday, bringing the total in the country to 68 outside the ship.  #Coronavirus #CoronaOutbreak #China #Wuhan",yogendrapal72,"['HongKong', 'SouthKorea', 'Japan', 'Coronavirus', 'CoronaOutbreak', 'China', 'Wuhan']",8636
2020-02-19 10:36:21,"World: How do we stop the number of #coronavirus #COVID19 cases increasing on the #DiamondPrincess ? #Japan: Let all the passengers go, then they are no longer on the ship!",SteveGPickering,"['coronavirus', 'COVID19', 'DiamondPrincess', 'Japan']",532
2020-02-19 10:32:34,"#British Ambassador to #Japan tweets,  evacuation details shortly. #coronavirus #COVID19 #UK https://t.co/TndFLc0MtU",RPOBB,"['British', 'Japan', 'coronavirus', 'COVID19', 'UK']",172
2020-02-19 10:31:39,"With stricken cruise ship, #Japan draws criticism over #coronavirus. More than 540 people on board have been infected - the most outside of China. https://t.co/wojyRzJcUi",MariaRamosUK,"['Japan', 'coronavirus']",5769
2020-02-19 10:30:13,"""No green zone. No red zone. Everywhere could have the virus, and everybody was not careful about it,"" Kentaro Iwata, an infection prevention specialist, said of the situation inside the Diamond Princess. #DiamondPrincess #Japan #COVID19 #coronavirus https://t.co/j6IrCvyGca",NAR,"['DiamondPrincess', 'Japan', 'COVID19', 'coronavirus']",169173
2020-02-19 10:26:20,"#Japan reports 5 new cases (mainland) of #Coronavirus, Taxi driver who transported #DiamondPrincess cruise ship passengers has testedpositive for Coronavirus. The patient is reportedly in critical condition",ASBreakingNews,"['Japan', 'Coronavirus', 'DiamondPrincess']",6634
2020-02-19 10:24:57,Large part of Japanese don't wear mask while #coronavirus  epidemic! They seem to think that they themselves naturally wear sweet mask( beautiful face)! Disgusting!! #Japan,JapanCalled,"['coronavirus', 'Japan']",104
2020-02-19 10:23:52,79 new cases of #covid #coronavirus on #DiamondPrincess in #Japan. Total at 621,ASBreakingNews,"['covid', 'coronavirus', 'DiamondPrincess', 'Japan']",6634
2020-02-19 10:19:32,#Coronavirus: Indian crew on board #DiamondPrincess requests for help #Japan #princessdiamond #coronaviruschina   Watch: https://t.co/BzFoGfi1X4 https://t.co/rp8Wph8Syc,BT_India,"['Coronavirus', 'DiamondPrincess', 'Japan', 'princessdiamond', 'coronaviruschina']",985478
2020-02-19 10:18:05,#CoronaVirus  : An additional 79 cases of coronavirus have been discovered aboard the Diamond Princess cruise ship in Japan. #Japan #DiamondPrincess  https://t.co/OpmaCtpmg5,TheDailyPioneer,"['CoronaVirus', 'Japan', 'DiamondPrincess']",19898
2020-02-19 10:17:51,#China #Coronavirus Update 02.19.20:  10:10 GMT: 1 new case in #Japan.  https://t.co/xEeGjqMPXu,NewsBlogged,"['China', 'Coronavirus', 'Japan']",1294
2020-02-19 10:17:00,"#Japan's prime minister urges people with cold-like symptoms to avoid work, school  #coronavirus #COVID19   https://t.co/RDGU5iwIWC",kyodo_english,"['Japan', 'coronavirus', 'COVID19']",10279
