timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-19 11:05:28,Thread by @suilee: 1. The Chinese Communist Party would like you to believe that they are getting the #coronavirus outbreak under control. But…  Have a read. #ChinaVirus #Wuhan https://t.co/7CwJNKuRhA,CurtisSChin,"['coronavirus', 'ChinaVirus', 'Wuhan']",10603
2020-02-19 11:05:18,@ajplus We do not know the accurate fatality rate as the death toll and infection figures published by the authorities are not a true representation of what is actually happening. #WuhanPneumonia #WuhanCoronavirus #wuhan #coronavirus #CoronaOutbreakvirus,BoazDorset,"['WuhanPneumonia', 'WuhanCoronavirus', 'wuhan', 'coronavirus', 'CoronaOutbreakvirus']",48
2020-02-19 11:02:49,@bravobravosunny We will never truly know the real death toll. #coronavirus #COVIDー19 #WuhanCoronavirus #wuhan,BoazDorset,"['coronavirus', 'COVIDー19', 'WuhanCoronavirus', 'wuhan']",48
2020-02-19 10:58:39,"#WUHAN #VIRUS  S. #Korea reports 5 more cases of #novel #coronavirus, total now at 51  One more #confirmed #coronavirus case reported in #Taiwan   https://t.co/uzb7ec2m9M",alba_dalai,"['WUHAN', 'VIRUS', 'Korea', 'novel', 'coronavirus', 'confirmed', 'coronavirus', 'Taiwan']",14102
2020-02-19 10:56:06,Wake up and smell the coffee. It's  just a flu.  #Wuhan #coronavirus #COVID19 https://t.co/fBgOWzN3OZ,Morihada,"['Wuhan', 'coronavirus', 'COVID19']",271
2020-02-19 10:51:08,"Coronavirus Outbreak Data Analysis Update: 02/18/2020 7:05 PM EST  Source Database: JHU CSSE, Worldometer #CoronaVirusOutbreak #CoronaVirus #CoronaVirusWuhan #WuhanOutbreak #wuhancoronavirus #wuhanpneumonia #covid19 #china #wuhan #ncov2019 #武汉肺炎 https://t.co/ivBNXw7dAu",antonsantos00,"['CoronaVirusOutbreak', 'CoronaVirus', 'CoronaVirusWuhan', 'WuhanOutbreak', 'wuhancoronavirus', 'wuhanpneumonia', 'covid19', 'china', 'wuhan', 'ncov2019', '武汉肺炎']",116
2020-02-19 10:45:09,35 people evacuated amid #coronavirus outbreak from #Wuhan return to Andhra Pradesh after quarantine ends.  #Sakal #SakalNews #SakalMedia #ViralIndia #ViralNews   https://t.co/rZgZuquHiN https://t.co/WWJVPXEbHS,SakalMediaNews,"['coronavirus', 'Wuhan', 'Sakal', 'SakalNews', 'SakalMedia', 'ViralIndia', 'ViralNews']",111952
2020-02-19 10:45:06,35 people evacuated amid #coronavirus outbreak from #Wuhan return to Andhra Pradesh after quarantine ends.  #Sakal #SakalNews #SakalTimes #ViralIndia #ViralNews   https://t.co/vxEcwxKDfY https://t.co/RxD5LTI3WO,sakaltimes,"['coronavirus', 'Wuhan', 'Sakal', 'SakalNews', 'SakalTimes', 'ViralIndia', 'ViralNews']",18613
2020-02-19 10:40:38,We’re up to 621 cases of #coronavirus on the #DiamondPrincess. A great example of how a highly infectious disease spreads in a confined space. Also why diseases like #flu spreads among military barracks and college dorms.   #COVID19  #SARSCoV2  #wuhan,RealPoxdoc,"['coronavirus', 'DiamondPrincess', 'flu', 'COVID19', 'SARSCoV2', 'wuhan']",299
2020-02-19 10:39:01,"Hong Kong reports robbery, shortage and panic buying of toilet rolls amid coronavirus scare #HongKong #Coronavirus #China #Wuhan #COVID19 #CoronavirusOutbreak #ToiletPaper https://t.co/IYk1dBRHYH",ThatSindhiCM,"['HongKong', 'Coronavirus', 'China', 'Wuhan', 'COVID19', 'CoronavirusOutbreak', 'ToiletPaper']",256
2020-02-19 10:38:47,Book predicted Wuhan coronavirus 40 years ago #Coronavirus #Wuhan #China #COVID #CoronavirusOutbreak #CoronavirusChina #WuhanCoronavirus #COVID19 https://t.co/L6TnrhSpqg,ThatSindhiCM,"['Coronavirus', 'Wuhan', 'China', 'COVID', 'CoronavirusOutbreak', 'CoronavirusChina', 'WuhanCoronavirus', 'COVID19']",256
2020-02-19 10:37:57,"It’s not about @WHO so much as its dirty chief, @DrTedros, who covered up the facts on #coronavirus in #Wuhan at the expense of people’s lives. #Tedros is owned by #China, because his country, #Ethiopia, is heavily indebted with #Chinese money. WHO is a corrupt organization! https://t.co/SBFPOJ1iwU",SHO_Mats,"['coronavirus', 'Wuhan', 'Tedros', 'China', 'Ethiopia', 'Chinese']",237
2020-02-19 10:37:18,Nobody is spared. #COVID19 #SARSCoV2 #deaths #coronavirus #outbreak #Wuhan #coverup #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #Russia #Wisconsin #Hawaii #Taiwan #CDC #US #military #Iran https://t.co/fEsBtTv1Ft,nCoVSurviving,"['COVID19', 'SARSCoV2', 'deaths', 'coronavirus', 'outbreak', 'Wuhan', 'coverup', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'Russia', 'Wisconsin', 'Hawaii', 'Taiwan', 'CDC', 'US', 'military', 'Iran']",362
2020-02-19 10:36:37,"#HongKong reported a second death from the virus on Wednesday, while #SouthKorea confirmed 20 new cases. In #Japan, seven new infections were recorded Tuesday, bringing the total in the country to 68 outside the ship.  #Coronavirus #CoronaOutbreak #China #Wuhan",yogendrapal72,"['HongKong', 'SouthKorea', 'Japan', 'Coronavirus', 'CoronaOutbreak', 'China', 'Wuhan']",8636
2020-02-19 10:36:10,"14 dead, 250 hospitalized in Pakistan of 'Mysterious Lung Illness', could it be Coronavirus? https://t.co/w7gOXr9ydd via @EUTimesNET #Coronavirus #COVID-19 #Pakistan #Wuhan #Pneumonia",EUTimesNET,"['Coronavirus', 'COVID', 'Pakistan', 'Wuhan', 'Pneumonia']",1079
2020-02-19 10:34:51,"The novel coronavirus has now killed more than 2,000 people, all but six of them in mainland China. It has infected more than 75,000 people, with over 1,000 cases outside mainland China.  #Coronavirus #CoronaOutbreak #coronaviruschina #China #Wuhan",yogendrapal72,"['Coronavirus', 'CoronaOutbreak', 'coronaviruschina', 'China', 'Wuhan']",8636
2020-02-19 10:34:38,Proud @SchneiderElec #China supported the construction of #Huoshenshan &amp; #Leishenshan hospitals in #Wuhan to provide secure #power to those fighting  #coronavirus #COVID19. #SchneiderElectric #LifeIsOn @SchneiderUK via @globaltimesnews https://t.co/YnMjloJKn2 https://t.co/vSVh1CFCQJ,MikeHughesSE,"['China', 'Huoshenshan', 'Leishenshan', 'Wuhan', 'power', 'coronavirus', 'COVID19', 'SchneiderElectric', 'LifeIsOn']",67
