timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-21 04:00:20,Uncertainty over #Coronavirus puts selling pressure on #US #hog markets | ThePigSite  Visit https://t.co/LqwovrDPgk for more news and subscribe to our free newsletter!  https://t.co/YFzUiCsS01,INTOUCHINTEL,"['Coronavirus', 'US', 'hog']",249
2020-02-21 03:58:27,Outlook for #coronavirus to spread in the #US https://t.co/a1dvQmdezb,chovy,"['coronavirus', 'US']",114
2020-02-21 03:44:16,"#WallStreet eases, led by tech decline on mounting fears #coronavirus could spread  https://t.co/9XstoVaRPx  #WorldMarket #US https://t.co/IUSUPcGgGA",InvGurInd,"['WallStreet', 'coronavirus', 'WorldMarket', 'US']",15448
2020-02-21 03:40:00,Coronavirus Outbreak: San Diego hospital mistakenly discharged coronavirus patient.... || #US #California #SanDiego #China #UnitedStates #Coronavirus #COVID #COVID19 #CoronavirusOutbreak #WuhanCoronavirus #Corona https://t.co/oZLkFwL7Wx,TPE_connect,"['US', 'California', 'SanDiego', 'China', 'UnitedStates', 'Coronavirus', 'COVID', 'COVID19', 'CoronavirusOutbreak', 'WuhanCoronavirus', 'Corona']",617
2020-02-21 03:28:04,Any additional info on the #US #coronavirus confirmed patient in Humboldt?,V2019N,"['US', 'coronavirus']",21453
2020-02-21 03:16:18,"#RacistAttacksAgainstAsians on the rise in the #US due to people being idiots. Very ironic considering that #CoronaVirus was patented in the US &amp; #China was probably used as an experiment lab or worse, I am thinking #SteveBannon kinda worse Just my opinion https://t.co/236jD4YH5z",doctorgfitness,"['RacistAttacksAgainstAsians', 'US', 'CoronaVirus', 'China', 'SteveBannon']",3249
2020-02-21 02:57:57,"Why Does #US Have So Few Confirmed #Coronavirus Cases? ""...#US only testing those who recently arrived from China or are close contacts w/ confirmed patients.   #publichealth authorities need to be prepared for wider outbreak."" @ScottGottliebMD @llborio   https://t.co/UC0yJLGfIQ",V2019N,"['US', 'Coronavirus', 'US', 'publichealth']",21453
2020-02-21 02:41:30,#US scientists have completed a #coronavirus #vaccine??   https://t.co/cGxkr1Fn06 via @MailOnline,TheSoupOfLife,"['US', 'coronavirus', 'vaccine']",293
2020-02-21 02:40:02,"Even after a phase one #tradedeal, the #US is picking up the stick against #China over trade and tech. The move could risk phase two #tradetalks and the #GlobalEconomy as China won't give ground despite #coronavirus: analysts  https://t.co/GVMrR6Sqjf https://t.co/fP57Ead4eu",globaltimesnews,"['tradedeal', 'US', 'China', 'tradetalks', 'GlobalEconomy', 'coronavirus']",1628356
2020-02-21 02:21:11,"#US #NE 11 out of 13 people held at @unmc  tested positive for #coronavirus, according to @CDCgov   All 13 former passengers of the #DiamondPrincess evacuated to US Monday.  “Most aren’t showing symptoms of the disease; several others exhibiting minor symptoms."" -@washingtonpost",V2019N,"['US', 'NE', 'coronavirus', 'DiamondPrincess']",21453
2020-02-21 02:20:02,"Chinese consumers expressed outrage toward #US #ECommerce behemoth @Amazon for selling products featuring the slogan "" #Coronavirus made in China"", esp during such a difficult time as China is fighting against #COVID19 that has claimed over 2,000 lives. https://t.co/S7kvzcCMKt https://t.co/30NDYeuDSX",globaltimesnews,"['US', 'ECommerce', 'Coronavirus', 'COVID19']",1628356
2020-02-21 02:03:36,#US #COVID19 Update Feb 16 9PM EST -  30* confirmed #COVID-19 cases in 7 states - All cases stable and quarantined - 3 patients fully recovered - 42 states waiting on 52 #coronavirus test results - US Citizens under Mandatory Quarantine: 900+ 2/7  Top 5 #CoronavirusUSA articles https://t.co/WjCtT8X2zs,CEDRdigital,"['US', 'COVID19', 'COVID', 'coronavirus', 'CoronavirusUSA']",6742
2020-02-21 01:41:44,"#Humboldt county #California has confirmed its first #coronavirus case. It is starting to ramp up in #America. Will #DonaldTrump close schools to keep kids safe? Now is the moment, before the spread... #COVID19 #WakeUpAmerica #US #POTUS @SolomonYue #Canada #Corona https://t.co/eN7CTdmyxx",AngieBlu7,"['Humboldt', 'California', 'coronavirus', 'America', 'DonaldTrump', 'COVID19', 'WakeUpAmerica', 'US', 'POTUS', 'Canada', 'Corona']",89
2020-02-21 01:28:50,#US #StateDepartment flew #coronavirus-infected Americans to the US against #CDC advice. Because no one connected to #trump believes in #science. Stop endangering Americans. #NotMyPresident #ThrowThemAllOut #BlueTsunami2020  https://t.co/eEW8n76JAO,goldngater,"['US', 'StateDepartment', 'coronavirus', 'CDC', 'trump', 'science', 'NotMyPresident', 'ThrowThemAllOut', 'BlueTsunami2020']",7602
2020-02-21 01:27:12,"#US President #DonaldTrump is confident that #China is ""trying very hard"" to handle the #coronavirus outbreak, he said in a television interview with #Fox. “I think the numbers are going to get progressively better as we go along.” (File pic) https://t.co/ZZene61zFc",EDNewsChina,"['US', 'DonaldTrump', 'China', 'coronavirus', 'Fox']",5135
2020-02-21 01:25:29,"Number 30 Or 7,501 In The United States !!! #Coronavirus Or #COVID19 Or #SARSCoV2 #Trump2020 #MAGA #KAG #Wuhan #China #CCP #Americans Get Prepare Now ! #US #USA https://t.co/x5CJG7VvMO",alexxx1232013,"['Coronavirus', 'COVID19', 'SARSCoV2', 'Trump2020', 'MAGA', 'KAG', 'Wuhan', 'China', 'CCP', 'Americans', 'US', 'USA']",378
2020-02-21 01:03:00,"Hey! The #corporations made money on the Just In Time Inventory System ( #JIT, ) outsourcing, illegal immigration, and closing 40,000 plants in the #US!   How dare you complain comrade?#coronavirus #crisis #Rx #COVID19 https://t.co/tifmQQvngU",z1y2x3,"['corporations', 'JIT', 'US', 'coronavirus', 'crisis', 'Rx', 'COVID19']",1795
2020-02-21 00:55:02,#US hospitals brace for #coronavirus outbreak to become global #pandemic  https://t.co/LmQtmJDcv4,tpapatolis,"['US', 'coronavirus', 'pandemic']",19401
