timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-21 04:00:50,"@Gforceatlas @erotao As of two hours ago Four more newly confirmed #Coronavirus cases added in #HongKong, one of them is a 48-yr-old police officer who stationed at #NorthPoint. Another one is a 58-yr-old taxi driver, who have been sick for 2 weeks but still working https://t.co/d3PeCNwo7B",AgentApplebutt2,"['Coronavirus', 'HongKong', 'NorthPoint']",6318
2020-02-21 04:00:44,Shipments are happening! #breatheclean #coronavirus #hongkong #o2Curve https://t.co/BuHTAwpWu9,O2Canada,"['breatheclean', 'coronavirus', 'hongkong', 'o2Curve']",983
2020-02-21 03:57:08,"The sense of unease from the #coronavirus /  #COVID2019  has been surrounding everyone. Still, encouraged by many loving acts how we look after each others in this difficult time 💪we'll make it through!    #HongKong  #ShareTheLove #FridayMotivation https://t.co/mK4ocllXCI",_SarahNT,"['coronavirus', 'COVID2019', 'HongKong', 'ShareTheLove', 'FridayMotivation']",163
2020-02-21 03:54:07,"#hk #hongkong  #China's population increasingly believes that Beijing is no longer telling it the truth and is willing to sacrifice the population just so some factories can resume production,  S Korean #Coronavirus Cases Explode After ""Super Spreader""... https://t.co/ozqmBnS0lN",michaelallenmar,"['hk', 'hongkong', 'China', 'Coronavirus']",17269
2020-02-21 03:50:16,"My new blog post is so special to me!! Click the link below to check it out now. I’m sharing about our love for Hong Kong and China, final words from Dr. Li Wen Liang, and more. #coronavirus #blogpost #China #HongKong  https://t.co/KmeDeFH3ZS https://t.co/PljuZrDU6f",JenNewsham,"['coronavirus', 'blogpost', 'China', 'HongKong']",460
2020-02-21 03:48:37,#HKPolice #HongKong #coronavirus #coronaviruschina #CoronavirusOutbreak #WuhanCoronavirus #WuhanPneumonia #WuhanCoronavirusOutbreak Source: https://t.co/kSdifyIRgh  https://t.co/M66ng9dygK  https://t.co/XYFAUmzR4I,Langley32514573,"['HKPolice', 'HongKong', 'coronavirus', 'coronaviruschina', 'CoronavirusOutbreak', 'WuhanCoronavirus', 'WuhanPneumonia', 'WuhanCoronavirusOutbreak']",993
2020-02-21 03:46:47,"#Parknshop, a local supermarket own by the richest man of #HongKong has launches an anti #coronavirus &amp; panic buying package. 2 bags of 8kg rice + 20 rolls of toilet paper + 30 pics of instant noodles for $380 HKD. #COVID19 #StandWithHongKong https://t.co/MvUVPvMC4p",tlwk9,"['Parknshop', 'HongKong', 'coronavirus', 'COVID19', 'StandWithHongKong']",5
2020-02-21 03:42:31,#BREAKING #HongKong #Coronavirus Outbreak https://t.co/PHvWkul6Pt,iflickerman,"['BREAKING', 'HongKong', 'Coronavirus']",213
2020-02-21 03:20:55,"Virus woes, #Alibaba's gain. Read all about it here: https://t.co/oRQn7YKLL5  #shares #stockstowatch #HangSeng #HongKong #ecommerce #shareprice #covid19 #coronavirus #China #virus #Asianstocks #stocks #stockmarket #cloud #mobile #earnings https://t.co/ZrMmZcFg1S",IgKelvino,"['Alibaba', 'shares', 'stockstowatch', 'HangSeng', 'HongKong', 'ecommerce', 'shareprice', 'covid19', 'coronavirus', 'China', 'virus', 'Asianstocks', 'stocks', 'stockmarket', 'cloud', 'mobile', 'earnings']",48
2020-02-21 03:20:06,"#coronavirus Update:   My Worldwide Case Count  Just updated: New cases in #SouthKorea (45), #HongKong, #USA, #Australia, #Canada &amp; #Italy   889 new cases &amp; 114 new deaths in #China   Note: #China is likely downplaying the numbers  #WuhanCoronavirus  #CoronavirusOutbreak #COVID19 https://t.co/wVML9BHxsz",IndoPac_Info,"['coronavirus', 'SouthKorea', 'HongKong', 'USA', 'Australia', 'Canada', 'Italy', 'China', 'China', 'WuhanCoronavirus', 'CoronavirusOutbreak', 'COVID19']",23589
2020-02-21 03:13:24,CDC expands global travel alerts; coronavirus impact https://t.co/YgvyS9xSKY via @YouTube #coronavirus #japan #hongkong #CDC,karldotcom,"['coronavirus', 'japan', 'hongkong', 'CDC']",921
2020-02-21 03:12:49,How many people in #HongKong do you suppose that taxi driver infected with #coronavirus in two weeks worth of fares? They are all probably asymptomatic &amp; unknowingly spreading the virus  as we speak!! #COVID19 https://t.co/oVqLy9czps,SurvivalGirl1,"['HongKong', 'coronavirus', 'COVID19']",1714
2020-02-21 02:59:51,"Never mind. Nobody is taking you (or the #HongKong government) seriously, anyway.   Per #CUHK, only 16% of HK populace trusts the gov's info in relation to #coronavirus outbreak.  Mingpao: https://t.co/0zvENUPcAe https://t.co/xnmUKz1jLv https://t.co/q2mUdLPBAJ",nobitaviv,"['HongKong', 'CUHK', 'coronavirus']",422
2020-02-21 02:47:54,"#coronavirus scare: No Air India flights to #HongKong, #China till June 30 - Times of India https://t.co/uLYBm77AIx",nksingal,"['coronavirus', 'HongKong', 'China']",10421
2020-02-21 02:38:40,For #HongKong's Chief Secretary to say that the #CoronarvirusOutbreak is under control is simply preposterous. Community outbreaks of the Wuhan #coronavirus have only just begun.  #COVID19  #coronaviruschina  #WuhanCoronavirus https://t.co/UNImQhUu2p,DrKwokKaKi,"['HongKong', 'CoronarvirusOutbreak', 'coronavirus', 'COVID19', 'coronaviruschina', 'WuhanCoronavirus']",198
2020-02-21 02:37:21,"This is sad, America. You can do better. #coronavirus #HongKong #china https://t.co/7HRRjXkUat",gchahal,"['coronavirus', 'HongKong', 'china']",116906
2020-02-21 02:35:02,#HongKong’s government sleepwalks while #coronavirus hits #globalisation https://t.co/YZcTvil79R #CoronaVtj https://t.co/4y9r7NuioZ,techjunkiejh,"['HongKong', 'coronavirus', 'globalisation', 'CoronaVtj']",28974
2020-02-21 02:26:13,#Coronavirus check #HongKong night life scene taking a real hit and it makes me so sad 😢 https://t.co/DYt8qyMJzU,sravya_attaluri,"['Coronavirus', 'HongKong']",1
