timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-21 04:12:05,#WuhanCoronaVirus Testing Challenges continue in the United States  #FogOfWar   https://t.co/74QY9XRBom,AdaptToReality,"['WuhanCoronaVirus', 'FogOfWar']",2262
2020-02-21 04:10:00,"China Coronavirus Outbreak: Over 14,000 patients defeat deadly virus.... || #Coronavirus #Wuhan #China #COVID #CoronavirusOutbreak #CoronavirusChina #WuhanCoronavirus #COVID19 https://t.co/LdjpL3Y9ws",TPE_connect,"['Coronavirus', 'Wuhan', 'China', 'COVID', 'CoronavirusOutbreak', 'CoronavirusChina', 'WuhanCoronavirus', 'COVID19']",617
2020-02-21 04:09:00,CCP thugs scolding ppl for wearing shorts in the winter.  #CCP_is_terrorist #WuhanCoronavirus  #PoliceState https://t.co/oHZxzpYuyu,thelonelypigwig,"['CCP_is_terrorist', 'WuhanCoronavirus', 'PoliceState']",421
2020-02-21 04:05:55,Some official at a Wuhan hospital scolding a nurse for not washing the toilet. I'm sorry when did that become a nurse's job? And should that be priority right now?  #CCP_is_terrorist #WuhanCoronavirus #AbuseOfPower https://t.co/VPJUi4L6if,thelonelypigwig,"['CCP_is_terrorist', 'WuhanCoronavirus', 'AbuseOfPower']",421
2020-02-21 04:05:46,"@nikki_miumiu In #CCP's dictionary, somehow they think lying/bullying/bribing can solve just about any problem in real life, including #WuhanCoronavirus",ErenYea95446295,"['CCP', 'WuhanCoronavirus']",72
2020-02-21 04:04:39,"Even #WuhanCoronavirus did not outbreak in North Korea, the shut down of 🇨🇳 border threatens its survival: 94% import from 🇨🇳 &amp; 91% export to 🇨🇳 in 2017. https://t.co/gNc93vy7zd Coronavirus threatens North Korea chaos: Analysts  https://t.co/tamBjawIUq https://t.co/zU87n1uiGW",hiro_hamakawa,['WuhanCoronavirus'],3806
2020-02-21 04:00:41,#Coronavirus #COVID19 Update Follow my lists for news: CHINA https://t.co/T9GxlfPGNy HEALTH https://t.co/KALLwpJ0Eb SCIENCE REPORTING https://t.co/5ZoOf1tyvY ASIA 1 https://t.co/iklQe0PFa1 ASIA 2 https://t.co/aBzbazLlYV #SARSCoV2 #nCoV2019 #2019nCov #WuhanCoronavirus #WuhanVirus https://t.co/40Kw8F07kM,ninatypewriter,"['Coronavirus', 'COVID19', 'SARSCoV2', 'nCoV2019', '2019nCov', 'WuhanCoronavirus', 'WuhanVirus']",10718
2020-02-21 03:59:03,@aaronMCN It’s time for the #HKPolice to reflect why the whole city is celebrating when one of the #HKPoliceTerrorists got confirmed with #WuhanCoronavirus. Laughter and joy have been unseen for long even during Christmas and Lunar New Year.,Ertyu18499759,"['HKPolice', 'HKPoliceTerrorists', 'WuhanCoronavirus']",220
2020-02-21 03:58:38,"#Wuhan,be stronger.#China,be stronger.We can control the #coronavirus......#ChinaVirus #WuhanCoronavirus #coronaviruschina #CoronavirusOutbreak #WuhanCoronavirusOutbreak  #WuhanVirus #Coronavirus  https://t.co/muSPdverI0 来自 @https://www.gagahi.com",GaGaHi01,"['Wuhan', 'China', 'coronavirus', 'ChinaVirus', 'WuhanCoronavirus', 'coronaviruschina', 'CoronavirusOutbreak', 'WuhanCoronavirusOutbreak', 'WuhanVirus', 'Coronavirus']",149
2020-02-21 03:58:15,"@MailOnline There's no evidence pets would get #WuhanCoronavirus, keeping pets is safer than having lunch with friends🙄 https://t.co/tLeO2q59BV",shiroihamusan,['WuhanCoronavirus'],5781
