timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-22 21:00:33,"Information is key to dealing with any crisis, especially a disease such as #COVID19.  If you have any, share it far and share it wide.  https://t.co/bRZES7Nmi1  #coronavirus #virus",pnkust,"['COVID19', 'coronavirus', 'virus']",94
2020-02-22 21:00:27,Great livestream of a Dr. from the UK about #coronavirus #covid19 #corona #virus #WuhanCoronavirus   https://t.co/RYjvFO9SPr,MalthonNL,"['coronavirus', 'covid19', 'corona', 'virus', 'WuhanCoronavirus']",42
2020-02-22 21:00:22,"We are still talking about building 19 hospitals in the same city , #Wuhan a city of 8.9 mln   #Canada  🙄🙄🙄🙄  #COVID19 #SARSCoV2 #Coronavirus #nCoV2019 #pandemic #Epidemic",K_B79,"['Wuhan', 'Canada', 'COVID19', 'SARSCoV2', 'Coronavirus', 'nCoV2019', 'pandemic', 'Epidemic']",2645
2020-02-22 21:00:18,Microbiologists and virologists decline to state explicitly that #COVID19 is or is not a bioweapon. We should decline to fill that gap in their stead.  https://t.co/3JvyOk13jk  #coronavirus #China #Wuhan #virus https://t.co/NAS86E6keC,TheVoiceOfLibe3,"['COVID19', 'coronavirus', 'China', 'Wuhan', 'virus']",1414
2020-02-22 21:00:11,https://t.co/bI8jMo14rD #covid19 #coronavirus infection routes #study https://t.co/3kkIAXHVXN,CoronavirusPpe,"['covid19', 'coronavirus', 'study']",25
2020-02-22 21:00:10,"China's transport industry saw upbeat signs of work resumption, with firms in the sector and major construction projects reporting orderly operation amid the novel #coronavirus outbreak.  #covid19 #BackToWork https://t.co/Fmm21Zhh9i https://t.co/IP2ihjR2Cr",ChinaDaily,"['coronavirus', 'covid19', 'BackToWork']",4287538
2020-02-22 21:00:04,Check out this Amazon deal: Clorox 02176 500 ml Hand Sanitizing Spray Bottle (Case of 12) https://t.co/GlMzbj62wX  #ad #coronavirus #coronaoutbreak #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA #pandemic,mystylehfb,"['ad', 'coronavirus', 'coronaoutbreak', 'flu', 'corona', 'virus', 'CoronavirusOutbreak', 'coronaviruswuhan', '2019nCoV', 'COVID19', 'wuhan', 'china', 'outbreak', 'CoronavirusUSA', 'pandemic']",5698
2020-02-22 21:00:04,countries should act like a global pandemic because it is. #coronavirus #COVID19 https://t.co/57hqCyjqqL,Leitz4U,"['coronavirus', 'COVID19']",282
2020-02-22 21:00:03,"HERE Technologies has released the most interactive map of the #COVID19 virus to date, which allows you to track its spread. #Mapping #DataViz #BuiltWithHERE https://t.co/d6YoILLaW2",brysadeoliveira,"['COVID19', 'Mapping', 'DataViz', 'BuiltWithHERE']",17
2020-02-22 21:00:02,"Our ability to mobilize a meaningful response to #COVID19 is up against a president preoccupied with the stock market. Solid, science-based, recommendations could easily be delayed (or not taken) over concern they might hurt the ""greatest market ever"". https://t.co/28RgTflAnl",JohnPGavin,['COVID19'],1602
2020-02-22 21:00:02,Press conference in an hour on the transfer of confirmed #covid19 here to Anniston Alabama. https://t.co/5tVlsKMXwV,Brittan28625573,['covid19'],504
2020-02-22 21:00:01,With @EDCON_Official getting canceled because of #COVID19 can VR conferences become a thing? https://t.co/Y3rbgRRc7C,Fiskantes,['COVID19'],839
2020-02-22 21:00:00,Coronavirus Outbreak China: Man runs a marathon inside his apartment amidst lockdown... #Coronavirus #Wuhan #China #COVID #CoronavirusOutbreak #CoronavirusChina #Corona #WuhanCoronavirus #COVID19 https://t.co/hPGlqbc4jf,TPE_connect,"['Coronavirus', 'Wuhan', 'China', 'COVID', 'CoronavirusOutbreak', 'CoronavirusChina', 'Corona', 'WuhanCoronavirus', 'COVID19']",632
2020-02-22 20:59:48,Clear and constant communications needed to alleviate in #COVID19 #Iran and violence breaks out https://t.co/O9cfgMY6q8,alexanderwatso,"['COVID19', 'Iran']",854
2020-02-22 20:59:38,Thread #coronavirus #covid19 #china #health #viruses #globalisation #publichealth #publicsafety #21stc https://t.co/yaUgVk2jWD,KendallHarmon6,"['coronavirus', 'covid19', 'china', 'health', 'viruses', 'globalisation', 'publichealth', 'publicsafety', '21stc']",1534
2020-02-22 20:59:36,"@mmuk59 @IntelligentMum @S_A_Z_37 @DHSCgovuk I totally concur with you. I understand that the powers to be don’t want to cause a panic however, if it’s inevitable we do have time to take action and limit the risks of either contamination or prevention. Italy has published their own risks today. #COVID19",lorrie_e,['COVID19'],25148
2020-02-22 20:59:35,"2/""...should pay great attn to clarify &amp; requires that no subtraction is allowed for conf'ed cases. All subtractions must be added back.""  So, the true numbers of #COVID19 cases in Hubei are? Anybody?  https://t.co/wtHqfkU7TI",Laurie_Garrett,['COVID19'],52254
2020-02-22 20:59:27,"🇮🇹: #COVID19 update in Italy  -At least 62 cases confirmed across the country, with 2 fatalities -Major outbreaks in Lombardy (39 cases, 1 death) and Veneto (12 cases, 1 death) -Italy now suffering from the largest outbreak outside of Asia  #coronarvirusitalia https://t.co/yVWZwCjgpl",IF_Europe,"['COVID19', 'coronarvirusitalia']",4148
2020-02-22 20:59:15,Ha Ha Ha - you have to laugh.   #BreakingNews #COVID19 #COVIDー19 #covid-19 #coronavirus  @chrismartenson https://t.co/OFZi3XqQiO,Technology0412,"['BreakingNews', 'COVID19', 'COVIDー19', 'covid', 'coronavirus']",539
2020-02-22 20:59:14,Two big new findings. Isolation (growth in cell culture) of SARS-CoV-2 from stool (https://t.co/6WxeD2oLmK…) and from 2 asymptomatic people (https://t.co/uUyufdn8Um…). *Now*  evidence for more #COVID19 transmission routes.  Unknown how much either route contributes to spread https://t.co/icrjMA2dHT,CoronavirusPpe,['COVID19'],25
2020-02-22 20:59:08,When nurses fighting against #COVID19 outbreak at makeshift hospital Huoshenshan in #Wuhan took off their masks... #EverydayHero https://t.co/drDa74Zqcr https://t.co/DsTFhIg83N,freandyd4vid,"['COVID19', 'Wuhan', 'EverydayHero']",131
