timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-22 20:44:12,Children are not immune to #Coronavirus. There have not been many reported cases in children from #China. Appears it is really effecting children in #Iran 🥺 God be with us all!  #WakeUpAmerica #USA #America #US #Canada #COVID19 #Wuhan @CDCgov #Doctor #Nurse #coronavirusitalIa https://t.co/lJHWWbQEEj,AngieBlu7,"['Coronavirus', 'China', 'Iran', 'WakeUpAmerica', 'USA', 'America', 'US', 'Canada', 'COVID19', 'Wuhan', 'Doctor', 'Nurse', 'coronavirusitalIa']",91
2020-02-22 20:16:38,#US State Dept raise travel advisory for #HongKong to Level 2. #COVID19 https://t.co/m8TS7wykGQ,EdODriscoll,"['US', 'HongKong', 'COVID19']",1581
2020-02-22 20:04:30,We like to see @QPLNYC publicly apologizing Tibetans for hurting our feelings.   #UnitedStates #Education #AcademicFreedom #FreeTibet #US #NewYork #Victory #TYC #RTYC #RTYCNYNJ #SFT #ICT #China #CCP #CCPProganda #COVID19 #ChinaVirus #XiVirus #KarmaVirus https://t.co/yp19x7BRt0,TibetPeople,"['UnitedStates', 'Education', 'AcademicFreedom', 'FreeTibet', 'US', 'NewYork', 'Victory', 'TYC', 'RTYC', 'RTYCNYNJ', 'SFT', 'ICT', 'China', 'CCP', 'CCPProganda', 'COVID19', 'ChinaVirus', 'XiVirus', 'KarmaVirus']",3861
2020-02-22 19:51:09,"#US #CDC raised the travel alert for #Japan and #SouthKorea from ""level 1"" to ""level 2"" due to the local #COVID19 outbreaks. Level 2 alerts are aimed at people at risk of serious illness if they contract the #coronavirus. To Postpone travel if possible.",NrZero2,"['US', 'CDC', 'Japan', 'SouthKorea', 'COVID19', 'coronavirus']",15
2020-02-22 19:51:08,Attacks on people of #Asian appearance have become more frequent in several #US cities.The special attention of #American #racists is attracted to people who wear #medicalmasks Similar incidents are associated with #panic in the States over the spread of the #coronavirus #COVID19 https://t.co/ozo2RUgxph,karlson_ben,"['Asian', 'US', 'American', 'racists', 'medicalmasks', 'panic', 'coronavirus', 'COVID19']",1583
2020-02-22 19:44:16,They haven't mentioned the potential 50 at #Travis.   [I just hope they've found an appropriate hospital that has isolation/containment units]     #US virus cases climb to 35 with return of cruise passengers https://t.co/Y5nkmH5sgx  #covid19 #coronavirus #DiamondPrincess,Jasamsdestiny,"['Travis', 'US', 'covid19', 'coronavirus', 'DiamondPrincess']",2121
2020-02-22 18:03:49,"This is what the #Coronavirus sounds like. The sounds of loss, the sounds of pain......RIP🌹  #COVID19italia #USA #US #America #Canada #Wuhan #China #COVID19 #WuhanCoronavius #UnitedKingdom #California #Oregon #Washington #Spokane #Seattle #Wine #Doctor #Nurse https://t.co/BPEHybu7RO",AngieBlu7,"['Coronavirus', 'COVID19italia', 'USA', 'US', 'America', 'Canada', 'Wuhan', 'China', 'COVID19', 'WuhanCoronavius', 'UnitedKingdom', 'California', 'Oregon', 'Washington', 'Spokane', 'Seattle', 'Wine', 'Doctor', 'Nurse']",91
2020-02-22 17:24:23,1686 #Coronavirus #COVID19 cases outside of China (338 new cases +25%/24H ▲▲▲)  CFR = 1.1% ▲ Critical = 0.5%▼  Serious = 3.3% ▲ Recovered = 12.8% ▼  #SouthKorea: 433(3) ▲▲▲ #Japan: 133(1) ▲▲ #Australia: 21▲ #Italy: 55(2) ▲▲▲ #US: 35▲ #Iran: 28(5) ▲▲▲ https://t.co/y6vNdnYjSf,oli3be,"['Coronavirus', 'COVID19', 'SouthKorea', 'Japan', 'Australia', 'Italy', 'US', 'Iran']",668
2020-02-22 16:20:35,"Nebraska Medicinend UNMC, the only federal quarantine unit in the country? BIG PROBLEM for #US to deal #COVID19 with quarantine in event of a major #US #CoranaVirusOutbreak ?  numbers(34)out of US CDC  not adding up US State Dept making #CoronaVirus the decisions process ?",Pappa_Young,"['US', 'COVID19', 'US', 'CoranaVirusOutbreak', 'CoronaVirus']",21
2020-02-22 16:19:15,#COVID19 #BREAKING  The #US #WHO #China and others continue to lie to the public concerning the #coronavirus numbers....all of them. Do NOT believe these lies which are further spread by the #Media #MSM #BreakingNews  Your a fool if you do.,outlaw_renegade,"['COVID19', 'BREAKING', 'US', 'WHO', 'China', 'coronavirus', 'Media', 'MSM', 'BreakingNews']",63
2020-02-22 15:33:59,"This says it all. If there's no epidemiological testing then there can't be an #epidemic / #pandemic, can there. Thank you #US government. #COVID19 #SARSCoV2 #Quarantine #martiallaw https://t.co/YUHPt7IycD",jbwilsonii,"['epidemic', 'pandemic', 'US', 'COVID19', 'SARSCoV2', 'Quarantine', 'martiallaw']",8
2020-02-22 15:22:54,#US official said that thousands of Russians linked social media accounts have launched a coordinated effort to spread alarm about the new #coronavirus. #COVID19 #China #misinformation   ##RussianInterference https://t.co/r67rtLC8Gj,thevikaslohchab,"['US', 'coronavirus', 'COVID19', 'China', 'misinformation', 'RussianInterference']",90
2020-02-22 15:17:37,(Plz Retwt)👇Learn from China's mistakes! Close borders now! @JustinTrudeau @realDonaldTrump @CDCDirector @CPHO_Canada @PattyHajdu #covid #SARSCoV19 #covid19 #coronavirus #Coronavirustruth #cdnpoli #WuhanCoronavirus #POTUS #NEWS #BreakingNews #Covid_19 #COVIDー19 #CDC #Canada #US https://t.co/qgwmAWvlZk,trueDennisNedry,"['covid', 'SARSCoV19', 'covid19', 'coronavirus', 'Coronavirustruth', 'cdnpoli', 'WuhanCoronavirus', 'POTUS', 'NEWS', 'BreakingNews', 'Covid_19', 'COVIDー19', 'CDC', 'Canada', 'US']",94
