timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-22 20:50:00,Coronavirus scare forces Tokyo to postpones volunteer training for 2020 Olympics.. #Tokyo #Olympics #Japan #Coronavirus #Tokyo2020 #COVID #COVID2019 https://t.co/oYbrV8VdXW,TPE_connect,"['Tokyo', 'Olympics', 'Japan', 'Coronavirus', 'Tokyo2020', 'COVID', 'COVID2019']",632
2020-02-22 20:38:54,"#COVID19 #CoronavirusOutbreak 66 cases in Italy, 433 in #SouthKorea, 134 in #Japan, 89 in #Singapore, 35 in #USA, 28 in #Iran #coronavirus 😳😳 https://t.co/L539yy3ECt  #COVID19Korea #COVID19japan #coronavirussingapore #coronavirus #Covid19usa #COVID19italia #coronavirusitalIa",HenryTianus,"['COVID19', 'CoronavirusOutbreak', 'SouthKorea', 'Japan', 'Singapore', 'USA', 'Iran', 'coronavirus', 'COVID19Korea', 'COVID19japan', 'coronavirussingapore', 'coronavirus', 'Covid19usa', 'COVID19italia', 'coronavirusitalIa']",96
2020-02-22 20:36:20,"@Iromg @talkRADIO The number of #coronavirus cases among passengers evacuated from a Cruise Ship in #Japan has risen, with a 57-year old #Queensland woman testing positive yesterday evening. Seven cases have now been confirmed among the group of 164. #coronavirus #7NEWS https://t.co/1VhUnQAF4b",OAK77uk,"['coronavirus', 'Japan', 'Queensland', 'coronavirus', '7NEWS']",5465
2020-02-22 20:32:56,The #coronavirus is hard to contain. Here's why. https://t.co/jDCCgU1IOp #PANDEMIC  #China #France #Japan #wuhan #SouthKorea #Singapore #Thailand #Australia #breaking #breakingnews #HongKongProtests #Macau #India  #Italy #Iran  #USA  #TrumpVisitIndia,deadlyfodz,"['coronavirus', 'PANDEMIC', 'China', 'France', 'Japan', 'wuhan', 'SouthKorea', 'Singapore', 'Thailand', 'Australia', 'breaking', 'breakingnews', 'HongKongProtests', 'Macau', 'India', 'Italy', 'Iran', 'USA', 'TrumpVisitIndia']",126
2020-02-22 20:31:04,#JAPAN QUARANTINE OFFICER INFECTED... #COVID19 #SARSCoV2 #coronavirus #2019nCoV https://t.co/Sv9F1oq3rh,skekimi,"['JAPAN', 'COVID19', 'SARSCoV2', 'coronavirus', '2019nCoV']",424
2020-02-22 20:29:47,#Coronavirus outbreak edges closer to #pandemic https://t.co/uDvVRLeeqU #Coronavirus PANDEMIC  #China #France #Japan #wuhan #SouthKorea #Singapore #Thailand #Australia #breaking #breakingnews #HongKongProtests #Macau #Malaysia #Canada #Italy #Iran  #USA  #TrumpVisitIndia,deadlyfodz,"['Coronavirus', 'pandemic', 'Coronavirus', 'China', 'France', 'Japan', 'wuhan', 'SouthKorea', 'Singapore', 'Thailand', 'Australia', 'breaking', 'breakingnews', 'HongKongProtests', 'Macau', 'Malaysia', 'Canada', 'Italy', 'Iran', 'USA', 'TrumpVisitIndia']",126
2020-02-22 20:23:15,#Coronavirus PANDEMIC  #China #France #Japan #wuhan #SouthKorea #Singapore #Thailand #Australia #breaking #breakingnews #HongKongProtests #Macau #Malaysia #Canada #SriLanka #Germany #UAE #India #Philippines #Finland #UK   #Italy #Iran  #USA  #TrumpVisitIndia https://t.co/34OGgo6RJX,deadlyfodz,"['Coronavirus', 'China', 'France', 'Japan', 'wuhan', 'SouthKorea', 'Singapore', 'Thailand', 'Australia', 'breaking', 'breakingnews', 'HongKongProtests', 'Macau', 'Malaysia', 'Canada', 'SriLanka', 'Germany', 'UAE', 'India', 'Philippines', 'Finland', 'UK', 'Italy', 'Iran', 'USA', 'TrumpVisitIndia']",126
2020-02-22 20:21:50,"#Coronavirus update:  New cases in #italy and more than 80 new cases in #SouthKorea, and 1 new death in #Iran with 10 new cases and 24 new cases in #Japan",HospitalWuhan,"['Coronavirus', 'italy', 'SouthKorea', 'Iran', 'Japan']",66
2020-02-22 20:17:19,Thank you for the kindhearted message @QC36502363 I love the people of #China but not your government #CCP_is_terrorist Do you agree?  #coronavirus #Chinese #COVID2019 #SouthKorea #italy #japan #WuhanCoronavirus #WuhanLockDown #BioWeapon https://t.co/aFRNLThiAn,I_Doesnt_Care_U,"['China', 'CCP_is_terrorist', 'coronavirus', 'Chinese', 'COVID2019', 'SouthKorea', 'italy', 'japan', 'WuhanCoronavirus', 'WuhanLockDown', 'BioWeapon']",24
2020-02-22 20:15:49,The #Trump administration overruled the Centers for Disease Control and flew 14 #coronavirus infected passengers in a plane from #Japan back to the #US with more than 300 infected people. Passengers were misled and told that no #infected people would be aboard the plane...,AtheistAdam2,"['Trump', 'coronavirus', 'Japan', 'US', 'infected']",10671
2020-02-22 20:13:57,in the last 24 hours :#CORONAVIRUS  -South Korea reports 146 new cases in “ONE SINGLE DAY” raising their total to 346  -Virtually 10 Towns in #Italy on lockdown  -#Iran &amp; #Japan being hit very hard  ITS TIME THE WORLD HEALTH ORGANIZATION DECLARES THIS AS GLOBAL PANDEMIC.,5thVed,"['CORONAVIRUS', 'Italy', 'Iran', 'Japan']",600
2020-02-22 20:05:07,#Trump was 'furious' that 14 #Americans infected with #coronavirus boarded a plane back to the #US from #Japan ...  probably he knows the virus is looking for him  https://t.co/Q4xLWDfgSs via @MailOnline,alba_dalai,"['Trump', 'Americans', 'coronavirus', 'US', 'Japan']",14121
2020-02-22 20:05:04,Things that make you say WHAT THE F#$KING HELL REALLY? #JAPAN #DiamondPrincess #COVID19 #CoronavirusOutbreak #coronavirus #CoronaOutbreak https://t.co/v6ohlHaIhI,Duktiamat,"['JAPAN', 'DiamondPrincess', 'COVID19', 'CoronavirusOutbreak', 'coronavirus', 'CoronaOutbreak']",562
2020-02-22 20:00:00,"""Get my daughter back from Japan,"" father of woman isolated on virus-hit cruise ship appeals to PM Modi.. ||  #India #Japan #Coronavirus #Yokohama #DiamondPrincess #CoronavirusOutbreak #COVID19 #COVID https://t.co/Ax0VxPDpQ2",TPE_connect,"['India', 'Japan', 'Coronavirus', 'Yokohama', 'DiamondPrincess', 'CoronavirusOutbreak', 'COVID19', 'COVID']",632
