timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-22 21:00:31,"IS THIS THE END ?! 😷 ""Fears of a global #coronavirus pandemic as cases of reported infections surge"" #wuhan  https://t.co/wDVJc6KkzW",PRAISETRIUNEGOD,"['coronavirus', 'wuhan']",12222
2020-02-22 21:00:22,"We are still talking about building 19 hospitals in the same city , #Wuhan a city of 8.9 mln   #Canada  🙄🙄🙄🙄  #COVID19 #SARSCoV2 #Coronavirus #nCoV2019 #pandemic #Epidemic",K_B79,"['Wuhan', 'Canada', 'COVID19', 'SARSCoV2', 'Coronavirus', 'nCoV2019', 'pandemic', 'Epidemic']",2645
2020-02-22 21:00:18,Microbiologists and virologists decline to state explicitly that #COVID19 is or is not a bioweapon. We should decline to fill that gap in their stead.  https://t.co/3JvyOk13jk  #coronavirus #China #Wuhan #virus https://t.co/NAS86E6keC,TheVoiceOfLibe3,"['COVID19', 'coronavirus', 'China', 'Wuhan', 'virus']",1414
2020-02-22 21:00:04,Check out this Amazon deal: Clorox 02176 500 ml Hand Sanitizing Spray Bottle (Case of 12) https://t.co/GlMzbj62wX  #ad #coronavirus #coronaoutbreak #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA #pandemic,mystylehfb,"['ad', 'coronavirus', 'coronaoutbreak', 'flu', 'corona', 'virus', 'CoronavirusOutbreak', 'coronaviruswuhan', '2019nCoV', 'COVID19', 'wuhan', 'china', 'outbreak', 'CoronavirusUSA', 'pandemic']",5698
2020-02-22 21:00:00,Coronavirus Outbreak China: Man runs a marathon inside his apartment amidst lockdown... #Coronavirus #Wuhan #China #COVID #CoronavirusOutbreak #CoronavirusChina #Corona #WuhanCoronavirus #COVID19 https://t.co/hPGlqbc4jf,TPE_connect,"['Coronavirus', 'Wuhan', 'China', 'COVID', 'CoronavirusOutbreak', 'CoronavirusChina', 'Corona', 'WuhanCoronavirus', 'COVID19']",632
2020-02-22 20:59:03,"3M Rugged Comfort Half Facepiece Reusable Respirator 6502/49489, Medium https://t.co/cD2SdVzbUx #ad #coronavirus #coronaoutbreak #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA #pandemic",mystylehfb,"['ad', 'coronavirus', 'coronaoutbreak', 'flu', 'corona', 'virus', 'CoronavirusOutbreak', 'coronaviruswuhan', '2019nCoV', 'COVID19', 'wuhan', 'china', 'outbreak', 'CoronavirusUSA', 'pandemic']",5698
2020-02-22 20:58:14,"Germ-X Hand Sanitizer, Original, Pump Bottle, 30 Fluid Ounce (Pack of 4) https://t.co/JdJocuf1Uu #ad #coronavirus #coronaoutbreak #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA #pandemic",mystylehfb,"['ad', 'coronavirus', 'coronaoutbreak', 'flu', 'corona', 'virus', 'CoronavirusOutbreak', 'coronaviruswuhan', '2019nCoV', 'COVID19', 'wuhan', 'china', 'outbreak', 'CoronavirusUSA', 'pandemic']",5698
2020-02-22 20:57:47,"Alcohol Prep Pads, Medium 2-Ply-400 Wipes, Individually Wrapped,  70% v/v Isopropyl Alcohol https://t.co/ikmpVhkO6J #ad #coronavirus #coronaoutbreak #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA #pandemic",mystylehfb,"['ad', 'coronavirus', 'coronaoutbreak', 'flu', 'corona', 'virus', 'CoronavirusOutbreak', 'coronaviruswuhan', '2019nCoV', 'COVID19', 'wuhan', 'china', 'outbreak', 'CoronavirusUSA', 'pandemic']",5698
2020-02-22 20:53:54,"The supports from these lovelies R incredible🎁 in humanity. They are REAL ASSETS &amp;☀️of this🗺  Generosity means also showing KINDNESS thru mind, ♥️, speech &amp; attitude. It makes us WEALTHIER as a person.   #wuhan #china #wuhanjiayou #usa #uk #africa #canada #COVID19 #coronavirus https://t.co/hNEzkEQsRV",ArtNBook,"['wuhan', 'china', 'wuhanjiayou', 'usa', 'uk', 'africa', 'canada', 'COVID19', 'coronavirus']",122
2020-02-22 20:53:25,"Student from Shanghai 2day w/ doctor father:  ""It seems there’s a new development, teacher. They are telling doctors now that it is dormant for a few weeks, then sometimes kills the victim suddenly. They don’t even know they are sick before they drop dead.” #wuhan #coronavirus https://t.co/7NgLUf12GT",CavinGraves,"['wuhan', 'coronavirus']",118
