timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 16:19:07,Verizon latest sponsor to bow out of RSA Conference in SF amid coronavirus fears via @sfchronicle  https://t.co/sPQ3CeQEa5 #US #California #BayArea #SF #tech #telecom #coronavirus #Covid19 #2019nCoV #healthcare #medicine #science #research #travel #economy #RegionalSecurity #WHO,ChuckDalldorf,"['US', 'California', 'BayArea', 'SF', 'tech', 'telecom', 'coronavirus', 'Covid19', '2019nCoV', 'healthcare', 'medicine', 'science', 'research', 'travel', 'economy', 'RegionalSecurity', 'WHO']",4276
2020-02-23 15:37:17,US business levels fall sharply amid coronavirus via @BBCNews https://t.co/xAKdf9h9zU #US #coronavirus #Covid19 #2019nCoV #virus #health #healthcare #medicine #science #research #travel #travellers #economy #RegionalSecurity #WHO #markets,ChuckDalldorf,"['US', 'coronavirus', 'Covid19', '2019nCoV', 'virus', 'health', 'healthcare', 'medicine', 'science', 'research', 'travel', 'travellers', 'economy', 'RegionalSecurity', 'WHO', 'markets']",4276
2020-02-23 15:19:20,Coronavirus: Russia denies spreading US conspiracy on social media via @BBCNews  https://t.co/rlyogEW07n #Russia #China #US #coronavirus #Covid19 #2019nCoV #virus #health #healthcare #medicine #science #research #travel #travellers #economy #RegionalSecurity #WHO,ChuckDalldorf,"['Russia', 'China', 'US', 'coronavirus', 'Covid19', '2019nCoV', 'virus', 'health', 'healthcare', 'medicine', 'science', 'research', 'travel', 'travellers', 'economy', 'RegionalSecurity', 'WHO']",4276
2020-02-23 15:04:21,Coronavirus: Russia denies spreading US conspiracy on social media via @BBCNews  https://t.co/rlyogEW07n #Russia #China #US #coronavirus #Covid19 #2019nCoV #virus #health #healthcare #medicine #science #research #travel #economy #RegionalSecurity #WHO #diplomacy #politics,ChuckDalldorf,"['Russia', 'China', 'US', 'coronavirus', 'Covid19', '2019nCoV', 'virus', 'health', 'healthcare', 'medicine', 'science', 'research', 'travel', 'economy', 'RegionalSecurity', 'WHO', 'diplomacy', 'politics']",4276
2020-02-23 14:45:19,So should the #US. At least until #COVID19 blows over. https://t.co/Poh8ld6d7O,PaladinRoof,"['US', 'COVID19']",266
2020-02-23 14:27:25,@nytimes Quite surprised to see the surge of #covid19 cases in #italy but happy to see the gov is taking it very seriously. Would the lockdowns happen in the #US?,tom_carpino,"['covid19', 'italy', 'US']",27
2020-02-23 13:34:48,How are #US #libraries getting ready to deal with #COVID19? What about public libraries in #NewYorkCity? What’s done to ensure uninterrupted service?  Where can public go to read about institution specific preparations? @NYPL @BKLYNlibrary @QPLNYC #coronavirus https://t.co/jrcOtJU1xA,m_seden,"['US', 'libraries', 'COVID19', 'NewYorkCity', 'coronavirus']",23
2020-02-23 10:38:10,"@CheekyMark1917 @Bobby44562471 @captainsacks @Lang______ @daiyuyi1 @Dreamershuo @JOJOJOnoJOE9021 @jaijairry @lightnight2012 @SophiaBarra1 @macputraism #China &amp; its dictator #XiJinping is isolated, we must quarantine all Chinese untill quash this #China's #COVID19 #Pandemic. #CCP is losing, not #US or #WesternAlliance https://t.co/eWLGCI6GoY #FreeTibet #FreeHK #Xivirus #ChinaVirus #WHO https://t.co/NRWje6j2On",TibetPeople,"['China', 'XiJinping', 'China', 'COVID19', 'Pandemic', 'CCP', 'US', 'WesternAlliance', 'FreeTibet', 'FreeHK', 'Xivirus', 'ChinaVirus', 'WHO']",3866
2020-02-23 10:25:23,"@SalmanNizami_ 5% GDP would be good this year, with #China V #US  and #COVID19 on World stage, now #UK in Post Brexit stage looking for strong trading partner and new points based immigration policy that's going to favour #India",Dontdo1Hitesh,"['China', 'US', 'COVID19', 'UK', 'India']",3
2020-02-23 09:39:05,"Latest developments of the #CoronavirusOutbreak: - South Korea on highest alert level - #China cases rise to at least 76,000 - #US raises travel advisories for #Japan and #SouthKorea - Japanese cruise passenger tests positive #COVID19  #Coronavirus #Wuhan #COVID #CoronavirusNews https://t.co/Kf2ngbBLEK",PawlowskiMario,"['CoronavirusOutbreak', 'China', 'US', 'Japan', 'SouthKorea', 'COVID19', 'Coronavirus', 'Wuhan', 'COVID', 'CoronavirusNews']",6665
2020-02-23 09:37:11,BBC News - #Coronavirus: #Russia denies spreading #US conspiracy on #socialmedia https://t.co/GUATOfn23O #COVID19,davi326,"['Coronavirus', 'Russia', 'US', 'socialmedia', 'COVID19']",2743
2020-02-23 09:30:00,"Two charter flights carrying hundreds of #US citizens evacuated from #DiamondPrincess cruise, one plane touched down at Travis Air Force Base in #California and the other landed in #Texas. At least 14 of them tested positive for #Coronavirus. #COVID #COVID19 #China #wuhan",Esmerda9,"['US', 'DiamondPrincess', 'California', 'Texas', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan']",1128
2020-02-23 08:19:01,"#China loses 5,000 tonnes of daily #airfreight capacity, says #DSVPanalpina #Coronavirus #airlines #COVID19 #China #Huntsville #US #Shanghai #charterflights #IATA #airports #globaltrade #supplychain #logistics #WHO #aircargo #airfreightnews #financialnews https://t.co/asRGyQ8eUU https://t.co/MVb5JI3Jiz",ThelmaEtim1,"['China', 'airfreight', 'DSVPanalpina', 'Coronavirus', 'airlines', 'COVID19', 'China', 'Huntsville', 'US', 'Shanghai', 'charterflights', 'IATA', 'airports', 'globaltrade', 'supplychain', 'logistics', 'WHO', 'aircargo', 'airfreightnews', 'financialnews']",987
2020-02-23 08:18:07,"#China loses 5,000 tonnes of daily #airfreight capacity, says #DSVPanalpina #Coronavirus #airlines #COVID19 #China #Huntsville #US #Shanghai #charterflights #IATA #airports #globaltrade #supplychain #logistics #WHO #aircargo #airfreightnews #financialnews https://t.co/OyDtktMX9V https://t.co/L7DGxw2edS",AirCargoEye,"['China', 'airfreight', 'DSVPanalpina', 'Coronavirus', 'airlines', 'COVID19', 'China', 'Huntsville', 'US', 'Shanghai', 'charterflights', 'IATA', 'airports', 'globaltrade', 'supplychain', 'logistics', 'WHO', 'aircargo', 'airfreightnews', 'financialnews']",1037
2020-02-23 06:35:29,#CORONAVIRUS #COVID19:#Investors looking for angle on coronavirus crisis have naturally landed upon online #education sector in the hopes that tens of millions of quarantined school kids will turn such providers https://t.co/im8TmYm0Yz #edtech #China #US #startup https://t.co/4NxNXdmpep,moueller1961,"['CORONAVIRUS', 'COVID19', 'Investors', 'education', 'edtech', 'China', 'US', 'startup']",2409
2020-02-23 05:11:16,There is sooo much going on in this tweet. They weren't even allowed to say the virus name. #COVID19 #SARSCoV2 #deaths #coronavirus #outbreak #Wuhan #coverup #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #HongKong #2019nCoV #Taiwan #CDC #US https://t.co/ascsX6o2MS,PndmcSrvvrsUSA,"['COVID19', 'SARSCoV2', 'deaths', 'coronavirus', 'outbreak', 'Wuhan', 'coverup', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'HongKong', '2019nCoV', 'Taiwan', 'CDC', 'US']",556
2020-02-23 04:50:02,@BNODesk @lookner @CEDRdigital @CDCDirector  Why can’t the #US get tests that work from the #WHO to test for #SARSCoV2 #COVID19 #COVID19USA?   https://t.co/ALRAEummWw,dorisberriz,"['US', 'WHO', 'SARSCoV2', 'COVID19', 'COVID19USA']",29
