timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 20:59:14,"#,#BREAKING  #Austria suspends train commute to #Italy over #coronavirus risks. #covid19 https://t.co/VCFbvHOMAq",newsfreak1984,"['BREAKING', 'Austria', 'Italy', 'coronavirus', 'covid19']",648
2020-02-23 20:59:07,The end of open borders: #Austria is refusing to allow a train from #Italy to enter the country on fears of #COVID19 infection.  Free movement within the #EU is a prime reason it exists.  Not any more. The contradictions of the EU are laid bare.  https://t.co/0ZtZrIV4rL  #news,TheVoiceOfLibe3,"['Austria', 'Italy', 'COVID19', 'EU', 'news']",1424
2020-02-23 20:58:39,#NEW: #Austria has denied entry to a train coming from #Italy on suspicion that two travelers might be infected with the #coronavirus.  via Reuters   #COVID19,Apex_WW,"['NEW', 'Austria', 'Italy', 'coronavirus', 'COVID19']",2328
2020-02-23 20:58:22,"#Coronavirus: Cases of reported #infections jump in #SouthKorea, #Iran and #Italy  https://t.co/k4sxuCnNR9 #COVID19",PriceHealthcare,"['Coronavirus', 'infections', 'SouthKorea', 'Iran', 'Italy', 'COVID19']",1805
2020-02-23 20:55:37,#Austria suspends train commute to #Italy over #coronavirus risks. #covid19,YanniKouts,"['Austria', 'Italy', 'coronavirus', 'covid19']",70315
2020-02-23 20:54:39,"#Coronavirus: Cases of reported #infections jump in #SouthKorea, #Iran and #Italy  https://t.co/gBayoFSKJH #COVID19",jandis_price,"['Coronavirus', 'infections', 'SouthKorea', 'Iran', 'Italy', 'COVID19']",8665
2020-02-23 20:52:30,The number of people infected with COVID-19 has jumped above 130 in Italy and three people have died in the past 48 hours  #coronavirus #2019nCoV #COVID19 #SARSCoV2 #Italy https://t.co/JVE6yWhJKS,ryanfiredragon,"['coronavirus', '2019nCoV', 'COVID19', 'SARSCoV2', 'Italy']",730
2020-02-23 20:46:22,"#Italian officials have cut short the #Venice Carnival as they try to control the worst outbreak of the #coronavirus in #Europe. The highest number of #COVID19 cases in Europe is in #Italy, with 152. Three people have died. #Milan #Rome https://t.co/4yhzu1pdaz",Super_Said,"['Italian', 'Venice', 'coronavirus', 'Europe', 'COVID19', 'Italy', 'Milan', 'Rome']",10119
2020-02-23 20:37:49,#Ninjavirus🦠 Update for #Italy🇮🇹: • 155 infected • 26 ICU • 3 three deaths  Military bases and barracks are being prepared for the isolation of suspected coronavirus cases. #CoronaVirus #CoViD19 #CoViD19Italy https://t.co/uLcC87bdKX,zensurkritik,"['Ninjavirus', 'Italy', 'CoronaVirus', 'CoViD19', 'CoViD19Italy']",308
2020-02-23 20:25:29,#coronavirus Latest update! 155 infected and 3 deaths in #Italy   See live stats for Italy on https://t.co/8xBVw6BMkw  #CoronavirusOutbreak #corona #CoronaVirusitaly #COVID19italia #covid19italy #covid19,EpidemicStats,"['coronavirus', 'Italy', 'CoronavirusOutbreak', 'corona', 'CoronaVirusitaly', 'COVID19italia', 'covid19italy', 'covid19']",14
