title_text,Time_stamp,source
Apple 'tip of the iceberg' when it comes to coronavirus tech impact: Ives - CNBC,2020-02-18T21:11:40Z,cnbc
European stocks set to slide as Apple warns on coronavirus revenue hit,2020-02-18T06:01:04Z,cnbc
"What to watch today: Dow to fall, Bloomberg qualifies for next debate, Apple's warning",2020-02-18T10:31:21Z,cnbc
"Gottlieb: Japan is 'on the cusp' of coronavirus epidemic, could indicate pandemic is nearing",2020-02-18T14:43:56Z,cnbc
"Market forecasts rely on an 'increasingly toxic cocktail' of promises, economist says",2020-02-18T11:47:42Z,cnbc
"Cramer says he thought Apple would be down more on the coronavirus warning, would not buy yet",2020-02-18T13:37:52Z,cnbc
Here's what every major analyst had to say about Apple's big coronavirus warning,2020-02-18T10:50:53Z,cnbc
"Kelly Evans: Apple warns, Japan weakens",2020-02-18T16:17:51Z,cnbc
These four challenges threaten Germany's role as defacto EU leader,2020-02-18T13:53:28Z,cnbc
"'Chernobyl-like' response by China means 'worst is yet to come' for coronavirus, Raymond James says",2020-02-18T14:46:00Z,cnbc
Here's what happened to the stock market on Tuesday,2020-02-18T21:08:00Z,cnbc
Federal Reserve's Robert Kaplan sees no changes in interest rates this year,2020-02-18T16:01:00Z,cnbc
"Bank stocks were the 'worst performers' after Apple's coronavirus warning, Jim Cramer says",2020-02-18T23:53:09Z,cnbc
Cramer's lightning round: 'I'm willing to stay side-by-side with Sony',2020-02-18T23:50:26Z,cnbc
"Stock market live updates: Dow futures drop 140, All eyes on Apple and suppliers",2020-02-18T13:17:05Z,cnbc
Leon Cooperman says Bernie Sanders is a bigger threat to the stock market than the coronavirus,2020-02-18T17:21:40Z,cnbc
On Apple's revenue warning—Jim Cramer and others weigh in,2020-02-18T17:12:02Z,cnbc
Coronoavirus scare leads fund managers to slash China growth outlook,2020-02-18T14:04:49Z,cnbc
"Stocks making the biggest moves midday: Apple, Legg Mason, Virgin Galactic, Tesla and more",2020-02-18T17:25:36Z,cnbc
Here's how one trader is hedging against selling pressure in the market,2020-02-18T21:31:33Z,cnbc
"European stocks seen higher as investors monitor coronavirus spread, economic data",2020-02-19T06:13:11Z,cnbc
"Citi sees gold topping $2,000 in next 12 to 24 months",2020-02-19T13:35:55Z,cnbc
"What to watch today: Dow to rise, Dems debate, cruise passengers end quarantine",2020-02-19T10:13:56Z,cnbc
"Stocks making the biggest moves midday: Virgin Galactic, Tesla, Groupon, Blue Apron & more",2020-02-19T16:59:00Z,cnbc
"Everything Jim Cramer said about the stock market on 'Mad Money,' including Apple hits banks, coronavirus stocks",2020-02-19T00:19:09Z,cnbc
Jim Cramer reveals top four stock picks amid coronavirus uncertainty,2020-02-19T00:17:26Z,cnbc
"Stock market live updates: Dow futures rise, Tesla jumps, Virgin Galactic spikes",2020-02-19T13:55:58Z,cnbc
"Coronavirus live updates: Virus hits small business owners, Iran says two test positive for virus",2020-02-19T14:02:23Z,cnbc
5 things to know before the stock market opens Wednesday,2020-02-19T13:19:23Z,cnbc
Investors may be overreaching as market hits new highs amid coronavirus outbreak,2020-02-19T18:56:01Z,cnbc
"Fed officials feel rates are likely to stay where they are, minutes show",2020-02-19T19:05:23Z,cnbc
"US housing starts fall, while building permits near a 13-year high",2020-02-19T13:33:44Z,cnbc
Top stocks to play a potential casino comeback as Macao reopens,2020-02-19T17:41:06Z,cnbc
"Hide out in this tech play while Apple, chip stocks fall on coronavirus weakness: Trader",2020-02-19T12:15:00Z,cnbc
"China is 'confident' of averting a leadership crisis, historian says",2020-02-19T07:16:00Z,cnbc
Fed calls the coronavirus a 'new risk to global growth outlook',2020-02-19T19:22:00Z,cnbc
"Coronavirus spread in Malaysia is 'no cause for panic,' health minister says",2020-02-19T05:07:00Z,cnbc
Weekly mortgage applications take a hit as mortgage rates tick up,2020-02-19T12:00:00Z,cnbc
"Jobless claims, Democratic debate reaction, earnings: 3 things to watch in the market on Thursday",2020-02-19T20:15:00Z,cnbc
"Stocks making the biggest moves in the premarket: Dish Network, Garmin, Tesla, Uber & more",2020-02-19T12:44:00Z,cnbc
European stocks headed for lower open despite coronavirus slowdown in China,2020-02-20T04:54:34Z,cnbc
US futures point to slightly higher open after new record highs on Wall Street,2020-02-20T06:38:38Z,cnbc
Beyond the S&P 500 — strategist says these foreign markets could offer major returns,2020-02-20T12:03:40Z,cnbc
"What to watch today: Stock futures little changed, Roger Stone's sentencing, L Brands to go private",2020-02-20T10:25:04Z,cnbc
"Coronavirus live updates: Air France tallies 'brutal' impact, shipping giant Maersk warns investors",2020-02-20T12:38:00Z,cnbc
"What's moving the market right now: Dow futures off 43 points, Morgan Stanley to buy E-Trade",2020-02-20T13:11:00Z,cnbc
Gold surges to 7-year high as investors seek safety trade,2020-02-20T16:01:00Z,cnbc
US weekly jobless claims rise modestly,2020-02-20T13:30:00Z,cnbc
5 things to know before the stock market opens Thursday,2020-02-20T11:54:00Z,cnbc
Here are the Chinese industries likely to be hit hardest by the coronavirus outbreak,2020-02-20T06:22:00Z,cnbc
Fed Vice Chair Clarida throws cold water on traders pricing in a rate cut,2020-02-20T13:41:00Z,cnbc
Everbridge CEO says firm had 'breakout quarter' for critical event response,2020-02-20T00:10:35Z,cnbc
Facebook pulls out of Game Developers Conference due to coronavirus concerns,2020-02-20T21:19:49Z,cnbc
Watch: World Health Organization holds press conference on the coronavirus outbreak,2020-02-20T14:48:28Z,cnbc
White House report takes aim at Obama while boasting about Trump's economic record,2020-02-20T05:12:01Z,cnbc
Amazon tells sellers it will take down listings for products that claim to kill coronavirus,2020-02-20T23:20:00Z,cnbc
Coronavirus to cost airlines more than $29 billion in revenue this year,2020-02-20T21:38:00Z,cnbc
Here's what happened to the stock market on Thursday,2020-02-20T21:09:00Z,cnbc
Gold just cleared a seven-year high—here's what could be ahead for the precious metal,2020-02-20T12:40:00Z,cnbc
Twitter is testing new ways to fight misinformation with a points system and bright labels,2020-02-20T19:30:00Z,cnbc
Here's what happened to the stock market on Friday,2020-02-21T20:08:45Z,cnbc
Treasury yields move lower as coronavirus concerns grow,2020-02-21T06:25:12Z,cnbc
European stocks set for muted open as coronavirus spreads,2020-02-21T05:50:45Z,cnbc
US futures point to sharply lower open on Wall Street,2020-02-21T06:07:59Z,cnbc
"What to watch today: Dow to drop, Dems spending totals and big Buffett weekend",2020-02-21T12:07:45Z,cnbc
Kelly Evans: I don't know much about solar...,2020-02-21T16:23:01Z,cnbc
"Expectations for a rate cut will fade as coronavirus fear eases, Fed's James Bullard says",2020-02-21T12:40:00Z,cnbc
"Stocks making the biggest moves in the premarket: Deere, Coca-Cola, Chewy, First Solar & more",2020-02-21T12:43:00Z,cnbc
"Only three US states can test for coronavirus, says public lab group",2020-02-21T18:04:45Z,cnbc
WHO officials say coronavirus outbreak in Iran is 'very worrisome',2020-02-21T15:59:44Z,cnbc
Watch: World Health Organization holds press conference on the coronavirus outbreak,2020-02-21T14:48:37Z,cnbc
Larry Kudlow says falling bond yields don't reflect the US economy's 'fundamentals',2020-02-21T15:08:03Z,cnbc
US existing home sales fall in January,2020-02-21T15:06:31Z,cnbc
White House plans 5G summit with global tech leaders as battle with Huawei continues,2020-02-21T18:09:13Z,cnbc
"Fed's Bostic says 'we won't have to do anything' on rates, despite market expectations",2020-02-21T14:25:40Z,cnbc
What's moving the market right now: Dow futures dip 60 points,2020-02-21T13:02:00Z,cnbc
"Coronavirus live updates: Coca-Cola takes an earnings hit, Iran confirms more cases",2020-02-21T13:06:00Z,cnbc
"Singapore has the financial buffer to help the economy if virus outbreak drags on, minister says",2020-02-21T04:21:00Z,cnbc
China's passenger car sales tumble 92% in first half of February due to virus outbreak,2020-02-21T04:39:00Z,cnbc
Ping An says the coronavirus will impact China's economy but has also been 'helpful' for business,2020-02-21T07:05:00Z,cnbc
Do you need to disinfect your phone to stay healthy? Because it's ruining your screen,2020-02-22T14:01:01Z,cnbc
"Coronavirus live updates: China reports 109 more deaths as total cases cross 76,000",2020-02-22T01:22:00Z,cnbc
"Coronavirus live updates: IMF lowers global growth forecast, warns of 'more dire scenarios'",2020-02-22T15:07:00Z,cnbc
"Everything Jim Cramer said about the stock market on 'Mad Money,' including looming earnings, social media stocks",2020-02-22T00:18:04Z,cnbc
China's central bank vows more steps to support virus-hit economy,2020-02-22T04:41:00Z,cnbc
"These stocks have been hit by coronavirus fears, but analysts still say buy",2020-02-22T12:07:46Z,cnbc
"New coronavirus cases in Iran, Italy fuel concerns the disease cannot be contained",2020-02-22T14:01:00Z,cnbc
"China brings in seven cruise ships to house Wuhan medical workers, state media reports",2020-02-22T07:21:21Z,cnbc
"Coronavirus outbreak, economic ills dim luster of Japan's Olympic year",2020-02-22T04:35:47Z,cnbc
Tokyo postpones training for Olympics volunteers over virus fears,2020-02-22T03:05:32Z,cnbc
Malaysia says American coronavirus case from Westerdam cruise ship now tests negative for virus,2020-02-22T07:58:57Z,cnbc
Here's how to tell a bear market is coming,2020-02-22T12:06:36Z,cnbc
Investors need to wake up and face the warning signs in the global economy,2020-02-22T12:01:01Z,cnbc
"Coronavirus updates: Turkey closes Iran border due to outbreak, South Korea confirms sixth death",2020-02-23T14:36:00Z,cnbc
"Economic impact of coronavirus will be clearer in 'three or four weeks,' Mnuchin says",2020-02-23T09:49:37Z,cnbc
Treasury Secretary Mnuchin says slowing growth won't harm Trump's re-election bid,2020-02-23T10:24:37Z,cnbc
Why the coronavirus outbreak could throw tech stocks into a bear market,2020-02-23T22:01:00Z,cnbc
"Coronavirus updates: China's Hubei reports 630 new cases, 96 additional deaths",2020-02-23T00:14:00Z,cnbc
Select Serie A Soccer matches among fixtures cancelled in Italy after coronavirus outbreak,2020-02-23T08:19:58Z,cnbc
South Korea stocks on watch as country raises coronavirus alert to 'highest level',2020-02-23T23:37:53Z,cnbc
Coronavirus live updates: South Korea on high alert after total cases top 600,2020-02-23T23:53:48Z,cnbc
France has seen a 30% to 40% fall in tourists following the coronavirus outbreak: Finance minister,2020-02-23T08:56:30Z,cnbc
Coronavirus highlights the $35 billion vaccine market. Here are the key players,2020-02-23T13:46:01Z,cnbc
Kelly Evans: A coronavirus sucker punch,2020-02-24T15:11:22Z,cnbc
Here are the best places to hide out during big market sell-offs,2020-02-24T12:14:25Z,cnbc
European stocks set to open sharply lower on fears coronavirus is spreading in Italy,2020-02-24T04:50:59Z,cnbc
Here's why the coronavirus market sell-off is happening now,2020-02-24T21:00:57Z,cnbc
These Dow stocks hold up the most during rough times for the market,2020-02-24T14:00:32Z,cnbc
"What to watch today: Dow to plunge but Buffett sees buying opportunity, and Sanders to win Nevada",2020-02-24T12:29:46Z,cnbc
"If you invested $1,000 in American Express 10 years ago, here's how much you'd have now",2020-02-24T15:30:34Z,cnbc
"Coronavirus update, earnings, consumer confidence: 3 things to watch for in the markets on Tuesday",2020-02-24T21:28:00Z,cnbc
"Italian stocks set to plummet as coronavirus shuts down towns, schools and soccer matches",2020-02-24T07:34:00Z,cnbc
Blackstone's Byron Wien says Monday's sell-off is not the start of a bear market,2020-02-24T16:45:00Z,cnbc
Investor Howard Marks says investors are 'not discriminating' between stocks as market sells off,2020-02-24T18:58:00Z,cnbc
Citi says fear of coronavirus in South Korea spreading 'at a much faster rate' than the virus itself,2020-02-24T03:55:00Z,cnbc
Warren Buffett says he talked to his 'science advisor' Bill Gates about the coronavirus,2020-02-24T13:04:32Z,cnbc
Jim Cramer reveals stand-out sectors after the market tanks on coronavirus outbreak,2020-02-24T23:46:54Z,cnbc
"Jim Cramer says groups of stocks are 'too toxic to touch' after Dow tanks 1,000 points",2020-02-24T23:45:57Z,cnbc
"Five things investors must consider after major coronavirus-induced sell-off, according to Jim Cramer",2020-02-24T23:48:00Z,cnbc
North Korea reportedly quarantines 380 foreigners in bid to prevent coronavirus outbreak,2020-02-24T07:59:32Z,cnbc
