title_text,Time_stamp,source
Some overseas buyers of China metal products stop accepting deliveries due to virus: trade group,2020-02-18T03:01:27Z,reuters
China regulator says coronavirus impact on industries to show in Feb.,2020-02-18T02:44:03Z,reuters
New French health minister: 'Credible risk' of coronavirus pandemic,2020-02-18T07:46:54Z,reuters
UK working to organize flight for British nationals on cruise ship with coronavirus,2020-02-18T03:58:07Z,reuters
Japan to start trials using HIV treatment for coronavirus: Suga,2020-02-18T01:43:36Z,reuters
Taiwan to evacuate citizens from coronavirus-hit ship in Japan,2020-02-18T09:59:45Z,reuters
Malaysian Belt and Road project tells some staff to work from home in China's Wuhan,2020-02-18T11:31:26Z,reuters
"Coronavirus could be knockout blow for Hong Kong's once-thriving tourism, retail sectors",2020-02-18T00:49:15Z,reuters
Singapore Airlines to reduce flights across network due to virus impact,2020-02-18T03:26:56Z,reuters
'Don't be kidnapped by China': Taiwan tells WHO in bid for separate virus tally,2020-02-18T07:25:16Z,reuters
'Don't be kidnapped by China': Taiwan tells WHO in bid for separate virus tally,2020-02-18T07:32:27Z,reuters
China's Hubei province reports 132 new coronavirus deaths on Feb. 18,2020-02-18T23:03:01Z,reuters
Samsung offers phone delivery service for test use to ride out coronavirus impact,2020-02-18T03:27:16Z,reuters
South Korea's president calls for 'all possible measures' to help virus-hit economy,2020-02-18T02:34:05Z,reuters
Hong Kong increases funds to tackle coronavirus outbreak to $3.6 billion,2020-02-18T02:18:32Z,reuters
Filipina becomes first helper to contract coronavirus in Hong Kong,2020-02-18T09:42:57Z,reuters
"Hospital director dies in China's Wuhan, epicenter of coronavirus outbreak",2020-02-18T04:15:08Z,reuters
Russia suspends Chinese citizens from entry to Russia from Feb. 20,2020-02-18T18:00:49Z,reuters
"Shanghai says students won't return to school now, online learning to start March 2",2020-02-18T06:42:35Z,reuters
One Russian on cruise ship confirmed to have coronavirus: embassy,2020-02-18T13:54:35Z,reuters
Hong Kong records second coronavirus death: hospital spokeswoman,2020-02-19T02:24:36Z,reuters
"What, us worry? 80-year-old U.S. couple smiles through virus quarantine",2020-02-19T15:08:40Z,reuters
Swiss postpone global patient safety summit amid coronavirus outbreak,2020-02-19T14:13:49Z,reuters
China to take over HNA as coronavirus hits business: Bloomberg,2020-02-19T16:45:29Z,reuters
WHO says 'no indications' of coronavirus cases in North Korea,2020-02-19T01:54:59Z,reuters
Chinese cities seek blood donations as coronavirus crimps supplies: China Daily,2020-02-19T01:20:48Z,reuters
Japan government conducts emergency survey on banks amid China virus outbreak,2020-02-19T07:34:27Z,reuters
