title_text,Time_stamp,source
Global markets shudder as Apple’s warning deepens coronavirus fallout - The Washington Post,2020-02-18T21:58:00Z,the-washington-post
Bolton says his account of Trump foreign policy risks being ‘suppressed’ by the White House - The Washington Post,2020-02-18T01:56:00Z,the-washington-post
The coronavirus is about to hit Africa. Here are the big challenges.,2020-02-18T12:45:42Z,the-washington-post
"The Finance 202: Coronavirus drives new wedge between U.S., China economies",2020-02-18T12:23:58Z,the-washington-post
Coronavirus China live updates,2020-02-18T07:04:17Z,the-washington-post
"UN secretary-general tells AP new coronavirus outbreak ""not out of control"" but a ""very dangerous situation.""",2020-02-18T11:34:16Z,the-washington-post
How coronavirus is worsening U.S.-China tensions,2020-02-18T05:00:00Z,the-washington-post
Dissident artist known as 'China's Banksy' takes aim at Beijing — from Australia,2020-02-18T14:59:44Z,the-washington-post
Germany sends more medical aid to China to fight virus,2020-02-18T13:58:31Z,the-washington-post
UN chief: New virus outbreak is 'a very dangerous situation',2020-02-18T11:41:13Z,the-washington-post
AP Interview: UN chief says new virus poses 'enormous' risks,2020-02-18T13:14:37Z,the-washington-post
How the coronavirus can kill people - The Washington Post,2020-02-19T12:00:00Z,the-washington-post
Watch this woman play the violin in the middle of brain surgery - The Washington Post,2020-02-19T19:36:00Z,the-washington-post
Live updates: China strikes upbeat note on coronavirus as businesses reopen; Hong Kong reports second death - The Washington Post,2020-02-19T06:55:00Z,the-washington-post
The Health 202: Drugmakers are developing a coronavirus vaccine. That’s a sign the disease will be around a long time.,2020-02-19T12:50:54Z,the-washington-post
"Iran's semi-official ISNA news agency says authorities have confirmed 2 cases of the new coronavirus, the first in Iran",2020-02-19T10:36:17Z,the-washington-post
Iran reports its first 2 cases of the new coronavirus,2020-02-19T10:43:12Z,the-washington-post
"Japan's coronavirus response on cruise ship 'completely inadequate,' says health expert",2020-02-19T17:00:23Z,the-washington-post
China escalates campaign against foreign journalists,2020-02-19T20:45:52Z,the-washington-post
China expels three Wall Street Journal reporters over opinion article written by academic,2020-02-19T08:37:38Z,the-washington-post
Mexican national arrested in Florida on accusation of spying for Russia,2020-02-19T22:33:36Z,the-washington-post
How to slow epidemics like COVID-19,2020-02-19T23:40:02Z,the-washington-post
White House economists predict growth won’t hit Trump’s 3 percent target unless big changes occur - The Washington Post,2020-02-20T05:01:00Z,the-washington-post
World's top shipper expects virus outbreak to hurt earnings,2020-02-20T10:46:00Z,the-washington-post
Qantas cuts flights to Asia amid virus outbreak,2020-02-20T03:48:23Z,the-washington-post
Iran announces 3 new cases of coronavirus after 2 deaths,2020-02-20T11:34:22Z,the-washington-post
Confusion mounts over China's counting methods as coronavirus numbers swing wildly,2020-02-20T21:08:10Z,the-washington-post
Live updates: Coronavirus cases surge in South Korea as mayor tells residents to stay indoors,2020-02-20T07:16:00Z,the-washington-post
Hong Kong volunteers make homemade masks to combat virus,2020-02-20T13:07:08Z,the-washington-post
Australian evacuees from virus-hit ship begin 2nd quarantine,2020-02-20T08:20:21Z,the-washington-post
"China could purchase much less U.S. farm product than thought, new USDA estimate suggests",2020-02-20T22:43:14Z,the-washington-post
Diamond Princess: State Department flew coronavirus-infected Americans to the US against CDC advice,2020-02-20T19:31:25Z,the-washington-post
Business Highlights - Washington Post,2020-02-21T22:32:00Z,the-washington-post
Live updates: Coronavirus outbreak in China prisons raises alarm; South Korea feared as new hot spot - The Washington Post,2020-02-21T06:43:00Z,the-washington-post
When competence is not the goal,2020-02-21T19:26:22Z,the-washington-post
