title_text,Time_stamp,source
Intel joins Sony and Amazon withdrawals from Mobile World Congress due to coronavirus risk,2020-02-11T06:35:38Z,the-verge
"To fight the coronavirus, labs are printing new viral DNA",2020-02-11T15:00:00Z,the-verge
Samsung’s Galaxy Z Flip phone needs to do way better than past foldables,2020-02-11T12:00:00Z,the-verge
Why platforms aren’t taking down deceptive political videos,2020-02-11T11:00:00Z,the-verge
The illness caused by the new coronavirus gets a new name: COVID-19,2020-02-11T17:21:57Z,the-verge
Trump administration wants to cut funding from public health preparedness programs,2020-02-11T16:30:39Z,the-verge
Amazon’s PR campaigns keep blowing up in the company’s face,2020-02-12T11:00:00Z,the-verge
The world’s biggest phone show has been canceled due to coronavirus concerns,2020-02-12T18:41:32Z,the-verge
"Census searches on Twitter will direct users to official links, but probably won’t stop any hoaxes",2020-02-12T17:34:26Z,the-verge
Coronavirus data from outside the outbreak epicenter is just as valuable as from the inside,2020-02-12T14:23:00Z,the-verge
Xiaomi’s Mi 10 flagship 5G phones launch in China,2020-02-13T12:10:20Z,the-verge
Snap is testing a big new redesign,2020-02-13T01:02:11Z,the-verge
"Apple will reopen its five Beijing stores on February 14th, with limited hours",2020-02-13T20:04:53Z,the-verge
Roku predicts half of US households with a TV will cut the cord by 2024,2020-02-13T23:01:05Z,the-verge
The biggest threat to MWC is tech companies realizing they don’t need it,2020-02-13T12:00:00Z,the-verge
Trump’s impeachment is over — but what about the podcasts?,2020-02-14T14:00:00Z,the-verge
Coronavirus cancellations show evidence-based decisions are rare during epidemics,2020-02-14T20:47:24Z,the-verge
Blizzard moves previously canceled Overwatch League games from China to Korea,2020-02-14T22:58:11Z,the-verge
Facebook cancels global marketing conference due to the coronavirus outbreak,2020-02-15T00:04:57Z,the-verge
Go read this report on how the coronavirus is pushing Chinese concerts online,2020-02-17T20:02:47Z,the-verge
Apple warns revenue will be lower than expected because of coronavirus impact,2020-02-17T21:26:58Z,the-verge
"Leaked images show TCL prototype phone with expandable, slide-out display",2020-02-17T15:56:56Z,the-verge
Jaguar Land Rover unveils ‘autonomy ready’ electric shuttle concept,2020-02-18T18:11:35Z,the-verge
Nintendo announces first new Switch Lite color since launch,2020-02-18T09:23:26Z,the-verge
Coronavirus impact on tech industry predicted in new report,2020-02-18T09:07:21Z,the-verge
"Foldable phones can’t catch a break, mainly because they keep breaking",2020-02-19T12:00:00Z,the-verge
Sony is skipping Pax East convention over coronavirus concerns,2020-02-19T18:35:08Z,the-verge
Coronavirus-contaminated cruise ships mirror the global crisis,2020-02-20T15:25:25Z,the-verge
Some African countries at risk for the new coronavirus aren’t prepared,2020-02-20T18:34:57Z,the-verge
Twitter’s upcoming manipulated media policy may include labels for ‘harmfully misleading’ tweets,2020-02-20T21:29:13Z,the-verge
AMD graphics cards are allegedly overheating because the screws are too loose,2020-02-20T01:47:08Z,the-verge
Bloomberg’s debate performance shows that Facebook ads will only get you so far,2020-02-21T11:00:00Z,the-verge
Coronavirus email hoax led to violent protests in Ukraine,2020-02-22T00:47:11Z,the-verge
Labs in the US will start looking for the new coronavirus this week,2020-02-24T16:00:10Z,the-verge
China reportedly using WeChat and Twitter to find and silence people sharing coronavirus information,2020-02-24T22:17:39Z,the-verge
Overwatch League games in South Korea canceled amid coronavirus concerns,2020-02-24T14:04:30Z,the-verge
Apple’s over-ear headphones could be launching soon,2020-02-24T10:36:15Z,the-verge
CDC flu pandemic plans hint at the playbook for a new coronavirus outbreak,2020-02-25T17:36:37Z,the-verge
The Bloomberg campaign’s social media stunts keep backfiring,2020-02-25T11:00:00Z,the-verge
Qualcomm reveals a headset design for its latest VR chips,2020-02-25T18:00:00Z,the-verge
Amazon warns sellers against price gouging face masks amid coronavirus concerns,2020-02-25T20:47:52Z,the-verge
Trump’s reckless coronavirus statements put the entire US at risk,2020-02-25T19:31:57Z,the-verge
‘Facebook: The Inside Story’ author Steven Levy on how the company compares to Apple and Google,2020-02-26T11:00:00Z,the-verge
Fujifilm X-T4 announced with in-body image stabilization and flip-out screen,2020-02-26T05:00:00Z,the-verge
An experimental treatment for the new coronavirus is being tested in the US,2020-02-26T16:44:17Z,the-verge
Microsoft says Windows and Surface businesses will miss expectations due to coronavirus,2020-02-26T22:41:48Z,the-verge
GDC ‘moving forward as planned’ as developers pull out over coronavirus concerns,2020-02-26T20:53:06Z,the-verge
Facebook confirms ban on misleading coronavirus ads,2020-02-26T10:22:23Z,the-verge
Firefox is showing the way back to a world that’s private by default,2020-02-26T12:00:00Z,the-verge
Tim Cook says Apple is reopening factories as China gets ‘coronavirus under control’,2020-02-27T20:53:38Z,the-verge
Coronavirus merch is somehow worse than I expected,2020-02-27T16:14:22Z,the-verge
Facebook cancels F8 developer conference due to coronavirus concerns,2020-02-27T18:14:00Z,the-verge
Health secretary Alex Azar won’t promise that a coronavirus vaccine would be affordable,2020-02-27T16:53:59Z,the-verge
A Californian has contracted coronavirus from an unknown source,2020-02-27T01:23:58Z,the-verge
This CDC infographic lets you know if your facial hair won’t work with a mask,2020-02-27T00:22:29Z,the-verge
Plague Inc. pulled from the App Store in China amid coronavirus outbreak,2020-02-27T17:53:18Z,the-verge
"Samsung S20 camera issues, the coronavirus gets serious for tech and the US, and more",2020-02-27T12:00:00Z,the-verge
"Mike Pence, who enabled an HIV outbreak in Indiana, will lead US coronavirus response",2020-02-27T00:29:47Z,the-verge
Facebook once built a phone that could only be used by right-handed people,2020-02-27T11:00:00Z,the-verge
It’s hard to care about other people’s feelings online,2020-02-27T19:05:27Z,the-verge
Nio inks a $1.4 billion bailout as coronavirus sinks sales,2020-02-27T18:10:01Z,the-verge
First look at 8K HDR sport streaming coming to the UK this summer,2020-02-28T15:16:24Z,the-verge
Why we can’t blame social networks for our polarized politics,2020-02-28T11:00:00Z,the-verge
United Airlines suspends routes to Japan amid rising coronavirus fears,2020-02-28T16:16:16Z,the-verge
Google and Amazon limit employees’ travel because of coronavirus fears,2020-02-28T20:25:58Z,the-verge
It’s going to take a lot longer to make a COVID-19 vaccine than a treatment,2020-02-28T14:35:39Z,the-verge
Another coronavirus case of unknown origin identified in California,2020-02-28T23:43:30Z,the-verge
Dear Apple: don’t let a trackpad turn the iPad into a Mac,2020-02-28T12:00:00Z,the-verge
