title_text,Time_stamp,source
Democrats crash coronavirus press event on 'SNL',2020-03-01T08:44:36Z,cnn
Tapper presses Pence on Don Jr.'s coronavirus rhetoric,2020-03-01T14:45:12Z,cnn
Korean religious group's director denies responsibility for coronavirus infections,2020-03-01T06:45:53Z,cnn
Opinion: Trump meets a new enemy,2020-03-01T13:11:14Z,cnn
Stelter: This can be just as damaging as the coronavirus,2020-03-01T18:04:42Z,cnn
Trump is expected to visit the CDC this week,2020-03-01T17:39:17Z,cnn
"What's March Madness with no fans? A good way to prevent coronavirus, one group says",2020-03-01T17:16:03Z,cnn
Opinion: Joe Biden gets his 'comeback kid' moment,2020-03-01T02:43:55Z,cnn
Trump says additional American coronavirus cases 'likely' as US confirms first death,2020-03-01T06:10:12Z,cnn
NASA images show drop in China's pollution after virus shutdown,2020-03-01T18:17:00Z,cnn
Italy reports a 50% spike in coronavirus cases as death toll hits 34,2020-03-01T21:11:20Z,cnn
Netanyahu is fighting for power like his freedom depends on it -- and it might,2020-03-01T05:03:54Z,cnn
Biden: What in God's name was Trump talking about?,2020-03-01T16:12:31Z,cnn
Trump announces new coronavirus screening procedures for travelers to US,2020-03-01T14:09:50Z,cnn
First death in the US as coronavirus continues to spread worldwide,2020-03-01T01:59:57Z,cnn
'SNL' spoofs Mike Pence's new role leading coronavirus response,2020-03-01T05:32:04Z,cnn
Washington state investigating possible coronavirus outbreak at a nursing facility,2020-03-01T05:55:14Z,cnn
"First coronavirus death in the US may be one of a growing number of cases from an unknown source, official says",2020-03-01T08:59:58Z,cnn
Police departments put out fake warnings about coronavirus contaminated drugs,2020-03-01T10:46:08Z,cnn
"Pence says 15,000 additional testing kits in the mail for coronavirus",2020-03-01T15:29:55Z,cnn
School officials speak out after student gets virus,2020-03-02T22:56:51Z,cnn
Some attractions and events go dark amid coronavirus outbreak,2020-03-02T20:17:18Z,cnn
Task force health expert contradicts Trump about coronavirus vaccine timing,2020-03-02T23:55:48Z,cnn
"New cases of the virus were announced in Oregon, Rhode Island, Washington state, and Florida, bringing the US total to 89, as a second death was confirmed",2020-03-02T07:17:30Z,cnn
"Masks may actually increase your risk, surgeon general warns",2020-03-02T12:38:22Z,cnn
"Global coronavirus death toll tops 3,000",2020-03-02T02:25:46Z,cnn
Tourist in Milan: Who cares about coronavirus?,2020-03-02T10:55:10Z,cnn
China wrote off inconvenient truths about coronavirus as fake news. Now it is struggling with disinformation,2020-03-02T01:44:43Z,cnn
See what it's like at a drive-through testing centre in Korea,2020-03-02T12:42:42Z,cnn
"In past 10 days, 37 countries have had their first cases",2020-03-02T05:30:22Z,cnn
How Chinese business are adjusting to outbreak,2020-03-02T02:19:06Z,cnn
Two dozen new cases of coronavirus were reported in the US over the weekend,2020-03-02T12:47:48Z,cnn
Coronavirus is plunging the global economy into its worst crisis since 2009,2020-03-02T16:42:25Z,cnn
US cancels major military exercise with Israel due to coronavirus,2020-03-02T16:34:23Z,cnn
"Your coronavirus questions, answered",2020-03-02T18:16:20Z,cnn
China's factories just had a historically terrible month because of the coronavirus,2020-03-02T04:59:41Z,cnn
Dow rises 150 points as it looks to snap 7-day losing streak,2020-03-02T14:48:41Z,cnn
Florida governor announces two cases of novel coronavirus in the state,2020-03-02T16:06:46Z,cnn
Premier League 'monitoring' coronavirus situation ahead of weekend's fixtures,2020-03-02T15:03:33Z,cnn
Dow futures drop as coronavirus fears continue,2020-03-02T00:00:47Z,cnn
Up and down: Stock market has no idea how to react to cut,2020-03-03T15:28:01Z,cnn
US officials want more traveler information from airlines to aid coronavirus response,2020-03-03T02:23:38Z,cnn
See health official quickly correct Trump at roundtable chat,2020-03-03T00:27:21Z,cnn
The future: Here is how 3 other infectious outbreaks ended,2020-03-03T10:23:09Z,cnn
US Navy to self-quarantine ships in Europe,2020-03-03T22:57:39Z,cnn
"Led by a notorious germaphobe, the West Wing braces for coronavirus",2020-03-03T22:31:27Z,cnn
"The virus has killed six people in Washington state, according to health officials. More than 3,000 have died globally from the outbreak.",2020-03-03T02:08:19Z,cnn
"WHO chief warns 'we are in unchartered territory' as number of coronavirus cases worldwide passes 90,000 - CNN - Gooruf",2020-03-03T07:02:06Z,cnn
Chinese student assaulted in 'racist' coronavirus attack in London,2020-03-03T18:44:54Z,cnn
How coronavirus is affecting China's largest travel company,2020-03-03T10:46:40Z,cnn
The bizarre ways that coronavirus is changing etiquette,2020-03-03T16:32:11Z,cnn
Religious group faces homicide probe for coronavirus links,2020-03-03T07:18:54Z,cnn
What airlines are doing to sanitize planes,2020-03-03T13:45:39Z,cnn
Global markets are hoping for G7 action over the coronavirus. They could be disappointed,2020-03-03T11:39:01Z,cnn
WHO chief warns 'we are in unchartered territory',2020-03-03T05:09:58Z,cnn
Japan cancels cherry blossom festivals over virus fears,2020-03-03T03:27:49Z,cnn
A nursing home Washington state is at the center of the US coronavirus outbreak,2020-03-03T11:47:40Z,cnn
Opinion: Our flawed health system isn't up to this challenge,2020-03-03T02:28:57Z,cnn
Tug-of-war: Texas and federal officials spar over containing virus,2020-03-03T07:14:10Z,cnn
DNC and RNC officials monitoring how coronavirus could impact summer conventions,2020-03-03T21:54:49Z,cnn
SXSW will go on despite coronavirus concerns,2020-03-04T17:07:55Z,cnn
Coronavirus is hitting the travel industry hard,2020-03-04T16:26:59Z,cnn
"Iran to temporarily free 54,000 prisoners as coronavirus spreads",2020-03-04T10:42:32Z,cnn
OPEC under pressure as coronavirus hits oil demand,2020-03-04T20:36:55Z,cnn
What you should know about wearing a face mask,2020-03-04T20:00:57Z,cnn
Late night comedians mock US coronavirus response,2020-03-04T06:51:47Z,cnn
China's economy could shrink for the first time in decades because of the coronavirus,2020-03-04T12:17:59Z,cnn
Pence: 'Any American can be tested' for coronavirus,2020-03-04T03:45:30Z,cnn
Coronavirus tests Trump's credibility gap,2020-03-04T15:34:10Z,cnn
"Coronavirus myths and misinformation, debunked",2020-03-04T06:15:18Z,cnn
The Fed might have to cut interest rates all the way to zero,2020-03-04T13:51:36Z,cnn
"Iran coronavirus cases soar past 2,300",2020-03-04T02:09:00Z,cnn
Send us your questions about coronavirus,2020-03-04T17:47:36Z,cnn
United cutting US flights because of coronavirus,2020-03-04T21:01:59Z,cnn
What actually happens during a coronavirus test?,2020-03-04T18:33:57Z,cnn
Coronavirus test: How and when you should be tested,2020-03-04T05:07:13Z,cnn
How countries around the world are responding to the coronavirus outbreak,2020-03-04T10:58:07Z,cnn
Stay calm and wash your hands: Obama urges Americans to take common sense precautions against coronavirus,2020-03-04T19:33:19Z,cnn
"Queen Elizabeth wears gloves at ceremony, sparking coronavirus speculation",2020-03-04T09:25:33Z,cnn
Prince William jokes that he and Kate are spreading coronavirus,2020-03-04T17:13:59Z,cnn
Gupta on Trump's claim: Here's the real information,2020-03-05T15:14:06Z,cnn
Australian paper prints blank pages to help tackle toilet paper shortage,2020-03-05T14:10:45Z,cnn
Confusion and delays appear to persist in testing Americans for coronavirus,2020-03-05T22:30:49Z,cnn
Why the last man standing on the coronavirus cruise ship never gave up,2020-03-05T13:34:03Z,cnn
Rome marathon canceled over coronavirus fears,2020-03-05T18:47:25Z,cnn
Inside the WHO's fight to stop false information about coronavirus from spreading,2020-03-05T13:15:45Z,cnn
Here's a list of disinfectants you can use against coronavirus,2020-03-05T22:47:03Z,cnn
Iranian leader: Other countries are hiding coronavirus spread,2020-03-05T10:29:40Z,cnn
Trump makes spurious coronavirus claims in irresponsible Fox News interview,2020-03-05T17:10:29Z,cnn
Coronavirus will probably affect you. How you can prepare,2020-03-05T12:19:53Z,cnn
Japan's infection rate could be 'tip of the iceberg',2020-03-05T14:23:27Z,cnn
Dow set to tumble 600 points,2020-03-05T12:15:09Z,cnn
Here's a list of disinfectants you can use against coronavirus,2020-03-05T20:27:05Z,cnn
DHS denies 241 people entry at US ports and airports,2020-03-05T23:03:28Z,cnn
"Aviation industry feeling 'gut punch' from coronavirus, executives say",2020-03-05T22:42:33Z,cnn
Multiple US military branches screening recruits for coronavirus amid mounting concern,2020-03-05T01:09:26Z,cnn
Analysis: Democrats fear a 2016 repeat in 2020,2020-03-05T01:08:19Z,cnn
The end of Bloomberg: How the most expensive primary campaign in history failed to launch,2020-03-05T02:22:47Z,cnn
"Testing for coronavirus is expanded to patients who have a doctor's order, CDC says - CNN",2020-03-05T11:33:00Z,cnn
Americans reveal what life in coronavirus quarantine is really like,2020-03-05T18:33:38Z,cnn
Analysis: Trump's dangerous freelancing on coronavirus,2020-03-06T16:11:15Z,cnn
"The annual tech, film and music event draws thousands of people to Austin and generates millions of dollars",2020-03-06T22:01:49Z,cnn
He tested positive for the coronavirus. Hear how he feels now,2020-03-06T04:41:52Z,cnn
Federal help for battered US travel industry being weighed,2020-03-06T21:48:08Z,cnn
Gupta on Trump's coronavirus claim: Clearly not the case,2020-03-06T15:01:22Z,cnn
"WHO warns governments 'this is not a drill' as coronavirus infections near 100,000 worldwide",2020-03-06T05:00:22Z,cnn
The week in 34 photos,2020-03-06T03:30:58Z,cnn
Thousands of US residents have been asked by state governments to 'self-quarantine.' Here's what that looks like - CNN,2020-03-06T09:12:00Z,cnn
Cruise ship with thousands aboard in limbo off the California coast as it awaits coronavirus results - CNN,2020-03-06T07:59:00Z,cnn
"Coronavirus myths and misinformation, debunked",2020-03-06T00:11:34Z,cnn
Italian doctor: We work 'four or five days continuously',2020-03-06T12:43:59Z,cnn
How China's only Costco stays safe amid coronavirus fears,2020-03-06T04:19:45Z,cnn
Watch CNN's interview with Inter Milan's 28-year-old president,2020-03-06T10:35:18Z,cnn
"As coronavirus spreads, suppliers are rationing face masks",2020-03-06T15:56:30Z,cnn
Why isn't Europe better prepared for the coronavirus outbreak?,2020-03-06T14:59:28Z,cnn
Oil prices crash 8% as OPEC and Russia fall out over the coronavirus crisis,2020-03-06T17:51:49Z,cnn
Testing crunch exposes White House to fierce backlash,2020-03-06T05:04:05Z,cnn
How Trump fuels confusion about coronavirus,2020-03-06T14:48:00Z,cnn
Colorado reports first two cases of coronavirus,2020-03-06T02:14:29Z,cnn
Anderson Cooper sounds off on Trump's coronavirus claims,2020-03-06T02:45:16Z,cnn
Florida reports its first 2 coronavirus deaths,2020-03-07T13:08:06Z,cnn
How one man's epiphany on a Seoul mountain in 1955 laid the foundation for many religious sects in South Korea,2020-03-07T00:12:45Z,cnn
Cruise passengers not told about test results prior to Pence announcement,2020-03-07T01:10:19Z,cnn
Would you have to pay for a coronavirus test? It depends. - CNN,2020-03-07T02:33:56Z,cnn
Melania Trump defends work on White House tennis pavilion as coronavirus spreads - CNN,2020-03-07T16:55:00Z,cnn
Head of Italy's co-governing Democratic Party tests positive for coronavirus,2020-03-07T18:19:58Z,cnn
Trump's challenging week happens during one of Biden's best,2020-03-07T13:48:38Z,cnn
Concerned about coronavirus? See this patient's advice,2020-03-07T13:17:17Z,cnn
Wall Street had its wildest week in years,2020-03-07T13:11:10Z,cnn
"Starbucks employee diagnosed with the coronavirus in Seattle, company says",2020-03-07T05:32:05Z,cnn
A malfunction causes red wine to flow from faucets in an Italian town,2020-03-07T14:45:37Z,cnn
Dirty money: The case against using cash during the coronavirus outbreak,2020-03-07T14:34:04Z,cnn
More than 200 people test positive for coronavirus in the UK,2020-03-07T18:14:18Z,cnn
"US Navy sailor in Italy tests positive for coronavirus,",2020-03-07T13:27:56Z,cnn
Pro-Israel group confirms at least two DC conference attendees from New York tested positive for coronavirus,2020-03-07T03:42:41Z,cnn
Al Franken: 'Of course' I miss being in the Senate,2020-03-07T03:10:50Z,cnn
Thousands of meals meant for an Ohio sports festival will instead be sent to Nashville to feed first responders,2020-03-07T13:02:39Z,cnn
Head of Italy's co-governing Democratic Party tests positive for coronavirus,2020-03-07T17:46:52Z,cnn
