title_text,Time_stamp,source
Coronavirus cases in Germany jump to 117,2020-03-01T11:22:06Z,reuters
Czech Republic reports first cases of coronavirus,2020-03-01T15:26:26Z,reuters
Iran's Guards allocate facilities to tackle coronavirus outbreak,2020-03-01T11:05:19Z,reuters
"Lebanon reports three new coronavirus cases, bringing total to 10",2020-03-01T14:55:45Z,reuters
Bahrain confirms six new coronavirus cases: state news agency,2020-03-01T16:11:27Z,reuters
Paris' Louvre closes for staff meeting on coronavirus,2020-03-01T11:59:50Z,reuters
"No kissing please, we're Swiss, minister urges over coronavirus",2020-03-01T12:13:09Z,reuters
"Gatherings banned, travel restricted as coronavirus cases grow worldwide",2020-03-01T00:38:15Z,reuters
"Mainland China adds 573 coronavirus infections, eyes risks abroad",2020-03-01T11:30:08Z,reuters
Indian automakers say China coronavirus outbreak hitting parts supply,2020-03-01T12:49:09Z,reuters
Factbox: Latest on the spread of coronavirus around the world,2020-03-01T15:08:10Z,reuters
"South Korea reports 376 new coronavirus cases, total rises to 3,526: KCDC",2020-03-01T01:20:26Z,reuters
Nigeria identifies 100 who may have been exposed to coronavirus patient,2020-03-01T14:55:45Z,reuters
Abu Dhabi hotels allow some guests to leave after coronavirus scare,2020-03-01T11:27:38Z,reuters
Israel reports 10th case of coronavirus,2020-03-01T22:21:00Z,reuters
Iraq reports six new coronavirus cases: health ministry,2020-03-01T16:21:16Z,reuters
French coronavirus cases rise to 130: public health chief,2020-03-01T18:31:03Z,reuters
Egypt detects second case of new coronavirus: health ministry,2020-03-01T23:33:07Z,reuters
Some British embassy staff in Tehran evacuated due to coronavirus,2020-03-01T18:56:07Z,reuters
World economy conference with pope postponed due to coronavirus,2020-03-01T19:05:42Z,reuters
Indonesia confirms two coronavirus cases,2020-03-02T04:48:30Z,reuters
Saudi Arabia announces first case of coronavirus,2020-03-02T16:15:09Z,reuters
Morocco reports first coronavirus case: health ministry,2020-03-02T21:03:42Z,reuters
Tunisia confirms first coronavirus case: health minister,2020-03-02T15:30:58Z,reuters
Russian citizen who returned from Italy diagnosed with coronavirus: RIA cites ministry,2020-03-02T11:17:38Z,reuters
Pakistan's largest city shuts schools for two weeks over virus fears,2020-03-02T11:08:19Z,reuters
"South Korea reports 476 new coronavirus cases, total at 4,212",2020-03-02T02:11:05Z,reuters
Factbox: Latest on the spread of coronavirus around the world,2020-03-02T12:08:18Z,reuters
Vietnam Airlines to suspend flights to South Korea over coronavirus,2020-03-02T15:32:49Z,reuters
France says it now has 191 confirmed cases of coronavirus,2020-03-02T19:20:25Z,reuters
European Parliament suspends visits as precaution against coronavirus,2020-03-02T18:03:15Z,reuters
Coronavirus alert: Russian Cossacks told not to kiss icons,2020-03-02T18:15:02Z,reuters
"Thailand reports one new coronavirus case, total at 43 - health official",2020-03-02T04:48:30Z,reuters
"1501 infected, 66 dead from coronavirus in Iran: state TV",2020-03-02T10:38:23Z,reuters
