title_text,Time_stamp,source
New coronavirus deaths in Washington show why widespread testing matters,2020-03-02T21:28:27Z,the-verge
Maps show drastic drop in China’s air pollution after coronavirus quarantine,2020-03-02T17:00:53Z,the-verge
Stanford group wants to use your computer to help researchers study the coronavirus,2020-03-02T23:25:43Z,the-verge
Epic delays Fortnite tournaments until it fixes performance issues,2020-03-02T22:34:34Z,the-verge
Sharp will use a TV factory to mass-produce face masks,2020-03-02T04:40:50Z,the-verge
Uber and Lyft give drivers guidelines to help prevent coronavirus spread,2020-03-02T21:44:00Z,the-verge
How to make your own hand sanitizer,2020-03-02T19:33:37Z,the-verge
Second coronavirus death confirmed in Washington state,2020-03-02T02:57:47Z,the-verge
CDC drops coronavirus testing numbers from their website,2020-03-02T20:06:55Z,the-verge
Mike Bloomberg cosplays as president in coronavirus ad,2020-03-02T02:06:32Z,the-verge
Google and Microsoft just canceled two small conferences ahead of their major ones,2020-03-02T23:43:13Z,the-verge
Twitter pulls out of SXSW conference over coronavirus concerns,2020-03-02T15:22:04Z,the-verge
Valve shows off how you’ll fight and move in Half-Life: Alyx,2020-03-02T20:16:24Z,the-verge
Facebook restricts social visitors to its offices over coronavirus concerns,2020-03-02T20:39:49Z,the-verge
Nvidia’s GPU Technology Conference will now be online only due to coronavirus concerns,2020-03-02T18:17:39Z,the-verge
Facebook fact-checking is becoming a political cudgel,2020-03-03T22:10:24Z,the-verge
Foxconn expects to resume normal production by end of March,2020-03-03T08:28:00Z,the-verge
What Facebook could learn from Microsoft,2020-03-03T21:46:17Z,the-verge
Google cloned Apple’s 3D Touch for the Pixel using just software,2020-03-03T12:00:00Z,the-verge
"Google cancels I/O 2020, its biggest event of the year",2020-03-03T20:49:19Z,the-verge
The earliest known deaths from COVID-19 in the US went undetected for a week,2020-03-03T22:25:38Z,the-verge
Ford bans business travel after two employees test positive for COVID-19,2020-03-03T21:11:21Z,the-verge
Twitter is strongly encouraging all employees to work from home to prevent spreading coronavirus,2020-03-03T14:00:51Z,the-verge
"Panic buying of masks puts health care workers’ ‘lives at risk,’ WHO says",2020-03-03T22:57:44Z,the-verge
BMW’s electric i4 sedan finally shown off in concept form,2020-03-03T07:30:00Z,the-verge
How emergency declarations are helping governments respond to COVID-19,2020-03-03T17:34:44Z,the-verge
Facebook pulls out of the SXSW conference citing coronavirus concerns,2020-03-03T00:24:32Z,the-verge
Google and Microsoft are giving away enterprise conferencing tools due to coronavirus,2020-03-03T23:18:40Z,the-verge
"WeChat has been censoring keywords about coronavirus, study finds",2020-03-04T02:12:34Z,the-verge
Big tech’s coronavirus responses are getting serious,2020-03-04T12:00:00Z,the-verge
"YouTube is demonetizing videos about coronavirus, and creators are mad",2020-03-04T21:26:48Z,the-verge
Apple is experiencing a shortage of replacement iPhones due to coronavirus,2020-03-04T22:44:18Z,the-verge
Mike Bloomberg has suspended his presidential campaign,2020-03-04T15:23:21Z,the-verge
Microsoft allows employees to work from home amid coronavirus outbreak,2020-03-04T16:08:09Z,the-verge
Etsy has started cracking down on coronavirus merchandise,2020-03-04T23:22:20Z,the-verge
Google moves all job interviews to Hangouts ‘for the foreseeable future’ due to coronavirus,2020-03-04T18:16:55Z,the-verge
A germophobe’s guide to a clean phone,2020-03-04T17:57:07Z,the-verge
Effective communication is critical during emergencies like the COVID-19 outbreak,2020-03-04T17:45:15Z,the-verge
Amazon confirms Seattle employee is in quarantine with coronavirus,2020-03-04T02:28:01Z,the-verge
Pinterest now showing custom search results for coronavirus to combat misinformation,2020-03-04T02:04:16Z,the-verge
"No Time to Die, the latest James Bond film, delayed until November in response to coronavirus",2020-03-04T17:42:04Z,the-verge
Facebook is giving free ads to the World Health Organization to fight COVID-19 misinformation,2020-03-04T16:32:05Z,the-verge
