title_text,Time_stamp,source
Inside White House's frantic attempts to minimize crisis...,2020-03-01T01:34:37Z,the-washington-post
WEST COAST ON ALERT...,2020-03-01T01:34:37Z,the-washington-post
"Trump mocks Democratic rivals, engages in name calling in rallying conservatives",2020-03-01T00:15:06Z,the-washington-post
"Joe Biden wins South Carolina primary, potentially reshaping the Democratic race",2020-03-01T01:00:22Z,the-washington-post
"Perspective | Trump is pushing a dangerous, false spin on coronavirus - and the media is helping him spread it",2020-03-01T13:45:03Z,the-washington-post
Super Tuesday’s viral politics,2020-03-01T20:02:42Z,the-washington-post
Iran raises death toll from new coronavirus to 54 as number of infected cases jumps overnight to 978 people nationwide,2020-03-01T11:10:08Z,the-washington-post
"UK reports 12 new coronavirus cases, bringing tally to 35",2020-03-01T14:24:21Z,the-washington-post
Ecuador reports 1st new virus case; Mexico confirms 2 more,2020-03-01T00:46:46Z,the-washington-post
Coronavirus is fueling new protests in Hong Kong. Authorities aim to arrest their way out.,2020-03-01T08:00:00Z,the-washington-post
"Italy says its coronavirus infections jump 40% to 1,576 and deaths of infected people rise to 34",2020-03-01T17:32:20Z,the-washington-post
Qatar MotoGP race canceled because of virus outbreak,2020-03-01T20:10:58Z,the-washington-post
Live updates: First U.S. death confirmed along with possible new person-to-person infections; White House expands travel restrictions,2020-03-01T06:14:48Z,the-washington-post
"Serie A, soccer clubs clash in Italy amid coronavirus chaos",2020-03-01T16:32:33Z,the-washington-post
More chaos for Serie A after new decree on virus measures,2020-03-01T22:17:50Z,the-washington-post
"Iraq's PM-designate withdraws from post, prolonging deadlock",2020-03-01T22:19:40Z,the-washington-post
'Saturday Night Live' combines coronavirus and the Democratic debates in overstuffed cold open,2020-03-01T05:56:10Z,the-washington-post
"Alabama residents rejected plan to relocate quarantined coronavirus patients after rumors, poor planning",2020-03-01T15:54:28Z,the-washington-post
Recession fears grow as Wall Street investors brace for a wild week for stocks,2020-03-01T22:17:57Z,the-washington-post
How to think about travel as the coronavirus threat evolves - The Washington Post,2020-03-02T17:20:22Z,the-washington-post
