title_text,Time_stamp,source
Trump's Tweeting Out Some Wild Memes During This Coronavirus Outbreak,2020-03-02T16:49:20Z,vice-news
Trump Is Trying to Pull Millions off Insurance as Coronavirus Spreads,2020-03-02T20:21:01Z,vice-news
BREAKING: Some Shelves Are Empty,2020-03-02T18:15:22Z,vice-news
Coronavirus Crops Up in New York and New Hampshire After U.S. Officials Warn of ‘Inevitable’ Outbreak,2020-03-02T18:21:19Z,vice-news
QAnon Now Has Its Very Own Super PAC,2020-03-02T13:39:26Z,vice-news
How TikTok will save you from coronavirus,2020-03-02T12:07:52Z,vice-news
Givenchy AW20 is self-imposing a sartorial quarantine,2020-03-02T16:37:59Z,vice-news
We Regret to Inform You That These Coronavirus Songs Slap,2020-03-03T17:22:29Z,vice-news
How Funeral Directors Are Preparing for Coronavirus,2020-03-03T13:00:00Z,vice-news
Don’t Let Coronavirus Scare You Away From Public Transit,2020-03-03T13:00:00Z,vice-news
What to Do If You Think You Have Coronavirus,2020-03-03T17:57:34Z,vice-news
The Rich Will Win at Coronavirus Because Of Course They Will,2020-03-03T21:10:06Z,vice-news
"As an ER Doctor, I Need You to Know These Things About Coronavirus",2020-03-03T14:29:53Z,vice-news
"With GDC Cancelled, Groups Organize to Raise Funds for Developers",2020-03-03T15:00:00Z,vice-news
"""We Treat Our Stuffed Animal Like A Real Child. Is That Whackadoodle Stuff?""",2020-03-03T19:09:29Z,vice-news
China Just Outlawed Clickbait and Sensationalist Headlines,2020-03-03T14:49:54Z,vice-news
5 Songs Better Than 'Happy Birthday' to Sing During a Vigorous Hand Scrub,2020-03-03T21:04:30Z,vice-news
5 Grown Adults Admit All the Ways They Try to Get Out of Hand Washing,2020-03-03T20:22:13Z,vice-news
Scientists Need Your Help to Find Treatments for Coronavirus,2020-03-03T19:35:04Z,vice-news
There's No Way of Knowing How Many People Have Been Tested For Coronavirus in the U.S.,2020-03-03T16:28:26Z,vice-news
Panic Buying Isn't Helping Anything Except Packaged Food Brands,2020-03-03T22:29:45Z,vice-news
China Just Outlawed Clickbait and Sensationalist Headlines,2020-03-03T16:26:00Z,vice-news
"$1,200 'Hand Wash Coach' Device Exists Since We're All Bad at Hand Washing",2020-03-04T18:54:22Z,vice-news
There Are No Private Solutions to a Public Health Crisis,2020-03-04T13:00:00Z,vice-news
Seize the Coronavirus Moment and Abolish the Handshake Forever,2020-03-04T15:38:08Z,vice-news
A Chinese Doctor Injected Herself With an Untested Coronavirus Vaccine,2020-03-04T15:14:55Z,vice-news
Italian Government Angered by Comedy Sketch About Coronavirus-Infected Pizza,2020-03-04T22:29:58Z,vice-news
Coronavirus Attacks the Lungs. Here's What That Means for Smokers and Vapers,2020-03-04T17:40:00Z,vice-news
14 Expert Tips to Make Your Coronavirus Quarantine Kinda OK,2020-03-04T16:10:07Z,vice-news
Labs are Rushing to Make Their Own Coronavirus Tests After CDC's Screw-Up,2020-03-04T18:24:56Z,vice-news
Coronavirus Porn Is Going Viral on Pornhub,2020-03-04T13:31:34Z,vice-news
Iran's Answer to the Coronavirus Outbreak: Cut the Internet,2020-03-04T14:12:29Z,vice-news
Model Aweng Chuol is on a quest to belong,2020-03-04T09:00:00Z,vice-news
Coronavirus Porn Is Going Viral on Pornhub,2020-03-04T14:46:00Z,vice-news
This Website Yells at You Every Time You Touch Your Stupid Face,2020-03-05T22:38:27Z,vice-news
"If You Have Coronavirus Symptoms in Canada, Here's What You Should Do",2020-03-05T17:35:48Z,vice-news
Trump's Promise for 1 Million Coronavirus Tests This Week Is Already a Bust,2020-03-05T18:40:31Z,vice-news
"Sanders v. Biden Is About to Get Really, Really Ugly",2020-03-05T14:08:53Z,vice-news
How to Deal With Coronavirus If You Have OCD or Anxiety,2020-03-05T13:00:00Z,vice-news
Trump Just Made Up His Own Coronavirus Death Rate on Hannity,2020-03-05T12:50:53Z,vice-news
The Coast Guard Is Airlifting Coronavirus Test Kits to Another Cruise Ship,2020-03-05T19:02:07Z,vice-news
Coronavirus Killed Miami Ultra. What Other Festivals Will Follow?,2020-03-05T22:12:55Z,vice-news
"Tito's Had to Remind People That Vodka Is Not, in Fact, Hand Sanitizer",2020-03-05T21:07:45Z,vice-news
What are China's young people doing during coronavirus quarantine?,2020-03-05T04:04:09Z,vice-news
It's time to reacquaint ourselves with Naomi Campbell’s plane disinfectant routine,2020-03-05T11:43:25Z,vice-news
Coronavirus Porn Is Going Viral on Pornhub,2020-03-05T05:59:11Z,vice-news
Seattle Comic Con Just Got Postponed Because Coronavirus,2020-03-06T20:13:59Z,vice-news
Flight Attendants Fear for Their Jobs as Coronavirus Panic Takes Hold,2020-03-06T19:05:33Z,vice-news
"Hand Shakes, High-Fives Banned at ‘League of Legends’ Event, Due to Coronavirus",2020-03-06T18:23:53Z,vice-news
Here’s How West Coast Cities Are Trying to Protect the Homeless from Coronavirus,2020-03-06T17:22:14Z,vice-news
"I Just Got Back From a Coronavirus Hot Zone, and No One at JFK Seemed to Notice",2020-03-06T20:37:51Z,vice-news
"All Your Horny Little Coronavirus Questions, Answered",2020-03-06T20:55:57Z,vice-news
‘It's All Fake!’: Watch Wuhan Residents Shout Down a Top China Official During Coronavirus Visit,2020-03-06T16:34:09Z,vice-news
It Seems Not Even Coronavirus Can Stop St. Patrick’s Day,2020-03-06T16:36:31Z,vice-news
Coronavirus Will Hit American Hourly Workers Extra Hard,2020-03-06T19:18:04Z,vice-news
Chinese Internet Users Have Some Ingenious Ways Of Getting Around Coronavirus Censorship,2020-03-06T13:35:28Z,vice-news
A new report is investigating the environmental impact of NYFW,2020-03-06T15:28:25Z,vice-news
