title_text,Time_stamp,source
People Stranded on a Cruise Ship Over Coronavirus Fears Are Tweeting at Trump For Help: ‘Everybody Is Stuck’,2020-02-11T19:35:45Z,vice-news
Namilia and Pornhub celebrated female sexuality at NYFW,2020-02-11T22:00:37Z,vice-news
Here’s How China Is Silencing Coronavirus Critics in the U.S.,2020-02-12T17:36:10Z,vice-news
Coronavirus Cruise: The Worst Outbreak Outside China Is On a Ship Quarantined In Japan,2020-02-12T13:42:18Z,vice-news
"No One Asked These People to Ban Handshakes Due to Coronavirus, and Yet",2020-02-13T16:37:15Z,vice-news
Coronavirus Is Shutting Down So Many Factories That Oil Demand Is Tanking,2020-02-13T17:20:43Z,vice-news
Here’s How Scientists Think Coronavirus Spreads from Bats to Humans,2020-02-13T20:46:21Z,vice-news
"The Coronavirus Outbreak Just Got Much, Much Worse",2020-02-13T12:02:58Z,vice-news
"Coronavirus Has Reached London, and the Patient Took an Uber to Hospital",2020-02-13T13:27:28Z,vice-news
"Coronavirus Could Lead to a US Vape Shortage, Sources Say",2020-02-14T17:57:46Z,vice-news
Exhausted and Infected: Thousands of Chinese Doctors Are Risking Their Lives to Fight Coronavirus,2020-02-14T14:28:49Z,vice-news
LEAK: Secret Documents Show How China Targets Muslims for 'Re-Education' Camps — and Spies on Their Families,2020-02-17T15:59:58Z,vice-news
This $200 Laptop Is Like a Chromebook You Can Hack,2020-02-17T13:00:00Z,vice-news
14 Americans Evacuated From a Cruise Ship Have Now Tested Positive for Coronavirus,2020-02-17T15:11:42Z,vice-news
"Arson, Pepper Spray, and Arrests: Hong Kong Protesters Want to Close the Border With China Over Coronavirus",2020-02-18T19:36:08Z,vice-news
Shocking Videos Show Chinese Authorities Humiliating People For Not Wearing Masks,2020-02-18T13:43:38Z,vice-news
Burberry AW20 was a melting pot of twisted British archetypes,2020-02-18T13:26:52Z,vice-news
How Big of a Scam Are 'Coronavirus Protection Kits?',2020-02-19T12:00:00Z,vice-news
The Coronavirus Cruise Ship Was a Disease-Spreading Hellscape,2020-02-19T14:33:53Z,vice-news
China Just Kicked Out 3 Foreign Journalists For Negative Coronavirus Coverage,2020-02-19T13:08:52Z,vice-news
"Sony Cancels PAX East Appearance, Citing Coronavirus Concerns",2020-02-19T18:32:15Z,vice-news
"Arson, Pepper Spray and Arrests: Hong Kong Protesters Want to Close the Border With China Over Coronavirus",2020-02-19T09:48:41Z,vice-news
"Sony, Facebook Won’t Appear at Game Developers Conference Over Coronavirus Concerns",2020-02-20T21:46:03Z,vice-news
Hackers Are Using the Coronavirus Panic to Spread Malware,2020-02-20T12:57:14Z,vice-news
That Was the Longest We've Ever Trapped People on a Ship Because of a Virus,2020-02-21T15:38:58Z,vice-news
Coronavirus Is Coming for the Global Economy,2020-02-24T18:39:07Z,vice-news
What a Pandemic in America Might Look Like,2020-02-24T13:00:00Z,vice-news
Here's How China Is Hunting Down Coronavirus Critics,2020-02-24T15:55:45Z,vice-news
At Least 50 People Have Died From Coronavirus In One Town in Iran,2020-02-24T12:25:43Z,vice-news
"Boss AW20 was a rhapsody in tan, rust and blue",2020-02-24T12:07:57Z,vice-news
Coronavirus Is Now a Pandemic In All But Name,2020-02-25T13:33:47Z,vice-news
Seoul Fashion Week has been cancelled,2020-02-25T11:51:57Z,vice-news
Surprise! People Are Making Terrible TikToks About Coronavirus,2020-02-26T20:26:05Z,vice-news
The Coronavirus Is Starting to Hit The U.S. Military,2020-02-26T13:36:33Z,vice-news
Is Your Soul Patch Putting You At Risk During the Coronavirus Outbreak?,2020-02-26T22:15:39Z,vice-news
To Hell With Pickup Trucks,2020-02-26T19:00:00Z,vice-news
Marine Serre AW20 came straight out of a futurist wormhole,2020-02-26T10:02:56Z,vice-news
What Happens When Your Town Gets Put on Coronavirus Lockdown - VICE UK,2020-02-26T10:20:00Z,vice-news
"Coronavirus Merch Is Here, But Who's Buying It?",2020-02-27T19:46:25Z,vice-news
"Here’s What You, Personally, Should Do About Coronavirus",2020-02-27T19:37:25Z,vice-news
The Coronavirus Threat Just Got Real in Europe,2020-02-27T15:55:05Z,vice-news
"Microsoft, Epic Among Companies Dropping Out of GDC Amid Coronavirus Fears",2020-02-27T21:29:28Z,vice-news
Reddit Can’t Quarantine Coronavirus Misinformation,2020-02-27T19:07:40Z,vice-news
Lawmakers Fear Trump's Making Coronavirus Worse,2020-02-27T15:40:48Z,vice-news
Facebook Has Canceled Its Massive Developer Conference Because of Coronavirus,2020-02-27T18:38:01Z,vice-news
She Blew the Whistle on Pathogens That Escaped From a Government Lab. Now She’s Being Fired,2020-02-27T15:21:16Z,vice-news
The Dark Side of FOMO: Living Through a Coronavirus Outbreak in South Korea,2020-02-27T13:41:57Z,vice-news
Anti-Vaxxers Are Terrified the Government Will ‘Enforce’ a Vaccine for Coronavirus,2020-02-28T14:00:00Z,vice-news
A Chinese Citizen Journalist Covering Coronavirus Just Live-Streamed His Own Arrest,2020-02-28T16:17:38Z,vice-news
"If I Had Coronavirus I Would Simply Live, Laugh, and/or Love It Away",2020-02-28T19:40:01Z,vice-news
Tons of Artists Are Cancelling Shows Because of Coronavirus,2020-02-28T20:03:27Z,vice-news
Cops Are Falsely Warning That Meth Might Contain Coronavirus,2020-02-28T21:09:08Z,vice-news
Drivers Feel Abandoned by Uber and Lyft as Coronavirus Pandemic Emerges,2020-02-28T14:53:25Z,vice-news
"The White House Sent Officials to Greet Coronavirus Evacuees and Didn't Give Them Protective Gear, Whistleblower Says",2020-02-28T13:28:00Z,vice-news
An All-Oasis Club Night Is Coming to the U.K.,2020-02-28T19:13:40Z,vice-news
Corona Beer Continues to Suffer Because of Coronavirus Fears,2020-02-28T16:09:10Z,vice-news
Game Developers Conference Cancelled Due to Coronavirus Fears,2020-02-29T00:04:17Z,vice-news
