title_text,Time_stamp,source
Watch: Top CDC official holds press conference on the coronavirus outbreak,2020-02-11T14:03:36Z,cnbc
UK scientist working on a coronavirus vaccine says fast-tracking still means at least one year,2020-02-11T11:27:45Z,cnbc
Charts flash warning for this travel stock ahead of earnings,2020-02-11T16:22:47Z,cnbc
"Here's when to buy the coronavirus-related dip in cruise line stocks, Instinet says",2020-02-11T12:11:25Z,cnbc
"Here are Tuesday's biggest analyst calls of the day: Facebook, Nvidia, Boston Beer & more",2020-02-11T12:58:15Z,cnbc
Watch: World Health Organization provides an update on the coronavirus outbreak,2020-02-11T13:49:41Z,cnbc
US futures point to higher open on Wall Street with virus and earnings in focus,2020-02-11T06:32:13Z,cnbc
"These are the biggest tech winners and losers from the coronavirus risk, DA Davidson says",2020-02-11T12:55:00Z,cnbc
One biotech stock could be best bet in the race for curing coronavirus,2020-02-11T12:09:00Z,cnbc
5 things to know before the stock market opens Tuesday,2020-02-11T12:59:00Z,cnbc
Powell stresses that Fed is 'closely monitoring' coronavirus for hit to China and the world,2020-02-11T13:30:00Z,cnbc
Airbnb reportedly lost money last year as costs ballooned ahead of its planned public listing this year,2020-02-11T19:52:00Z,cnbc
"The virus is hitting China's movie theaters hard, and it's just one small part of the economy Beijing is scrambling to support",2020-02-11T05:48:08Z,cnbc
"Coronavirus outbreak could sink China's smartphone shipments by 30% in Q1, IDC says",2020-02-11T06:17:50Z,cnbc
"Coronavirus likely jumped from bats to an 'intermediate host' before infecting humans, WHO says",2020-02-11T18:16:32Z,cnbc
A coronavirus 'super spreader' was identified—what that means and what you need to know,2020-02-11T23:20:41Z,cnbc
Under Armour expects shipping delays and is taking a sales hit because of deadly coronavirus,2020-02-11T14:36:18Z,cnbc
"Stocks making the biggest moves in the premarket: Hasbro, Under Armour, Slack, Sprint & more",2020-02-11T12:53:32Z,cnbc
"Everything Jim Cramer said about the stock market on 'Mad Money,' including market rotation, Uber's road to profitability",2020-02-11T00:47:10Z,cnbc
'Maybe Nike is just too powerful' — Cramer sees no reason to own Under Armour stock,2020-02-11T16:14:12Z,cnbc
"'There's four reasons to be fundamentally bullish' despite coronavirus fears, says Canaccord's Tony Dwyer",2020-02-12T11:54:05Z,cnbc
US futures point to higher open after stocks hit fresh record highs,2020-02-12T06:19:17Z,cnbc
Carlyle's David Rubenstein says Bernie Sanders isn't a strong enough threat to unseat Donald Trump,2020-02-12T21:56:13Z,cnbc
Trader sees a comeback for Apple to all-time highs,2020-02-12T12:27:00Z,cnbc
5 things to know before the stock market opens Wednesday,2020-02-12T12:50:00Z,cnbc
Bank of America says buy Wynn and Las Vegas Sands because coronavirus cases are 'leveling out',2020-02-12T12:51:00Z,cnbc
"Bitcoin hits highest price this year, above $10,000, as Fed's Powell discusses cryptocurrencies",2020-02-12T09:48:00Z,cnbc
"Tuesday's session unveiled the market's 'coiled spring' stocks amid coronavirus outbreak, Jim Cramer says",2020-02-12T00:02:50Z,cnbc
"Everything Jim Cramer said about the stock market on 'Mad Money,' including coiled spring stocks, crude consolidation",2020-02-12T00:25:37Z,cnbc
CDC prepares for coronavirus 'to take a foothold in the US',2020-02-12T16:49:53Z,cnbc
"These are the best ways to avoid catching the coronavirus on airplanes, experts say",2020-02-12T11:29:58Z,cnbc
Here's what happened to the stock market on Wednesday,2020-02-12T21:08:01Z,cnbc
Boeing warns coronavirus could hurt first quarter aircraft deliveries,2020-02-12T16:24:40Z,cnbc
"WHO says new coronavirus cases in China have stabilized, but warns that could change",2020-02-12T19:04:54Z,cnbc
OPEC slashes oil demand outlook for 2020 as coronavirus outbreak stifles China,2020-02-12T12:05:42Z,cnbc
Carnival says earnings could take a big hit if it has to halt Asia operations for the coronavirus,2020-02-12T14:50:17Z,cnbc
Mini-mortgage refinance boom continues as coronavirus keeps rates low,2020-02-12T12:07:31Z,cnbc
Watch: World Health Organization provides an update on the coronavirus outbreak,2020-02-12T17:38:24Z,cnbc
Why the world economy will be facing China's coronavirus for a long time,2020-02-12T15:16:27Z,cnbc
"Amid coronavirus, this MIT study will make you always wash your hands at the airport",2020-02-12T18:26:58Z,cnbc
US futures point to lower open on Wall Street,2020-02-13T06:00:54Z,cnbc
Nvidia is about to report earnings. Here's where two traders stand on the stock,2020-02-13T19:20:37Z,cnbc
Here's what every major analyst expects from Nvidia's earnings report after the bell Thursday,2020-02-13T17:06:00Z,cnbc
Tesla acknowledges 'health epidemics' as new risk in financial filing amid coronavirus outbreak,2020-02-13T22:44:00Z,cnbc
"What to watch today: Dow to fall, coronavirus cases spike and budget deficit soars",2020-02-13T11:33:00Z,cnbc
"Retail sales, consumer sentiment, coronavirus update: 3 things to watch for Friday",2020-02-13T20:32:00Z,cnbc
US weekly jobless claims increase slightly,2020-02-13T13:30:00Z,cnbc
"Stocks making the biggest moves after hours: Roku, Nvidia, Expedia & more",2020-02-13T23:25:00Z,cnbc
"The coronavirus outbreak has made 'buy high and sell higher' a winning playbook, Jim Cramer says",2020-02-13T23:31:47Z,cnbc
"Carnival stock's rally is a sign 'this market is driven by hope,' Jim Cramer says",2020-02-13T00:29:10Z,cnbc
"Everything Jim Cramer said about the stock market on 'Mad Money,' including Carnival cruises rally, Shopify COO",2020-02-13T00:58:29Z,cnbc
Here's what happened to the stock market on Thursday,2020-02-13T21:18:46Z,cnbc
"Guggenheim's Scott Minerd sounds alarm about markets, says 'We are in the ludicrous season'",2020-02-13T22:04:25Z,cnbc
'We didn't have a goodbye kiss' — Couple separated on quarantined ship count the days to be reunited,2020-02-13T02:08:45Z,cnbc
Watch: World Health Organization holds press conference on the coronavirus outbreak,2020-02-13T14:46:10Z,cnbc
"Coronavirus live updates: Princess Cruises guests allowed to leave ship, cases soar above 60,300",2020-02-13T12:31:24Z,cnbc
"Jeremy Siegel: Dow 'without question' would be above 30,000 if not for coronavirus uncertainty",2020-02-13T16:02:47Z,cnbc
