text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @DrTaraO: 1,000,000+ sign the Blue House petition calling for the impeachment of #MoonJaein for poor handling of the #WuhanVirus (#COVID…",Mars ,0,12,497,6016,2020-02-27 09:15:36,False,,"#MoonJaein, #WuhanVirus"
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",Ultima Thule,0,410,2222,129359,2020-02-27 09:15:32,False,,
"RT @ABSCBNNews: The South Korean disease control chief said the church's services, where thousands of people sit on the floor, shoulder-to-…","ÜT: 14.6072445,120.9927708",0,2,897,85886,2020-02-27 09:15:28,False,,
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",Hong Kong,0,410,186,6924,2020-02-27 09:15:08,False,,
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,Singapore,0,47,245,49503,2020-02-27 09:15:02,False,,#COVID19
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,,0,47,124,111,2020-02-27 09:14:46,False,,#COVID19
"RT @PDChina: #SouthKorea confirmed 171 new #COVID19 cases as of 4 pm local time on Thursday, bringing the total number of infections to 1,7…","Medford, OR",0,17,274,13841,2020-02-27 09:14:30,False,,"#SouthKorea, #COVID19"
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,,0,47,660,155509,2020-02-27 09:14:27,False,,#COVID19
RT @viamediainfo: New #COVID19 cases in South Korea: 505 New #COVID19 cases in China: 433  China population: 1.4 billion  South Korea popul…,,0,4,384,4764,2020-02-27 09:14:03,False,,"#COVID19, #COVID19"
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",,0,410,579,659,2020-02-27 09:13:41,False,,
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",,0,410,5399,27325,2020-02-27 09:13:31,False,,
"RT @davidalim: Trump: ""We’re testing everyone we need to test, and we’re finding very little problem.""  The United States is barely testing…",,0,540,646,146181,2020-02-27 09:13:15,False,,
#COVID19 at South Korea has had #no mutation compared with COVID19 at foreign countries.   What a relief! 다행이다.  https://t.co/GZubTD4xCJ,,3,0,2545,13520,2020-02-27 09:13:08,False,,"#COVID19, #no"
RT @viamediainfo: New #COVID19 cases in South Korea: 505 New #COVID19 cases in China: 433  China population: 1.4 billion  South Korea popul…,"Bretagne, France",0,4,529,27204,2020-02-27 09:12:49,False,,"#COVID19, #COVID19"
"RT @Laurie_Garrett: Drone video shows long lines for masks in Daegu, South Korea -- all of these people would be better protected from #COV…",,0,318,1691,13538,2020-02-27 09:12:44,False,,
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",Planet Earth,0,410,404,4665,2020-02-27 09:12:37,False,,
DOH says partial travel ban imposed on South Korea not yet in effect as government agencies given 48 hours to fully… https://t.co/kpM5gYrAFq,Philippines,0,0,503,46952,2020-02-27 09:12:25,False,,
RT @PHancocksCNN: Daily cases are higher in South Korea (505) so far Thursday than they are in China (433). A sobering milestone. #coronavi…,Mumbai,0,2,2371,111573,2020-02-27 09:11:54,False,,
DOLE welcomes exemption of OFWs in the partial travel ban imposed on South Korea amid #COVID19 spread.… https://t.co/B8a3dyGq6Q,Philippines,0,0,503,46952,2020-02-27 09:11:52,False,,#COVID19
"RT @PDChina: #SouthKorea confirmed 171 new #COVID19 cases as of 4 pm local time on Thursday, bringing the total number of infections to 1,7…",Koh Samui Thailand,0,17,324,21505,2020-02-27 09:11:51,False,,"#SouthKorea, #COVID19"
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",,0,410,368,44607,2020-02-27 09:11:47,False,,
"RT @PDChina: #SouthKorea confirmed 171 new #COVID19 cases as of 4 pm local time on Thursday, bringing the total number of infections to 1,7…","Johnstone, Scotland",0,17,591,43757,2020-02-27 09:11:13,False,,"#SouthKorea, #COVID19"
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,Philippines 🇵🇭,0,47,119,44689,2020-02-27 09:11:06,False,,#COVID19
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,,0,47,666,40915,2020-02-27 09:10:50,False,,#COVID19
"Breaking News: Fiji bans travelers from Italy, Iran and parts of South Korea  #COVID19 #coronavirus #CoronavirusOutbreak",China,0,0,868,303,2020-02-27 09:10:39,False,,"#COVID19, #coronavirus, #CoronavirusOutbreak"
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,,0,47,699,24335,2020-02-27 09:10:03,False,,#COVID19
"The South Korean disease control chief said the church's services, where thousands of people sit on the floor, shou… https://t.co/J7ZPghgHTy","Manila, Philippines",11,2,6666522,754044,2020-02-27 09:10:00,True,,
#TaiwanForWHO ＃Japan ＃Korea ＃Italy #COVID19 #TaiwanCDC Live America president  https://t.co/2N7i8ogT4n,,0,0,16,2241,2020-02-27 09:09:50,False,,"#TaiwanForWHO, #Japan, #Korea, #Italy, #COVID19, #TaiwanCDC"
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,o sole mio ,0,47,346,73860,2020-02-27 09:09:44,False,,#COVID19
"🏴‍☠️ New deaths: 32 in China, 3 in Iran, 1 in S. Korea, #coronavirus #COVID19 #Wuhan #Epidemic #Stocks",Huwan,0,0,607,4888,2020-02-27 09:09:12,False,,"#coronavirus, #COVID19, #Wuhan, #Epidemic, #Stocks"
RT @ImStormyKnight: #COVID19 #coronavirus #nCoV2019  @lookner @mattymags33 @TruVenom China vs South Korea Confirmed Cases starting at simil…,N'importe où,0,2,878,122405,2020-02-27 09:08:45,False,,"#COVID19, #coronavirus, #nCoV2019"
"RT @PDChina: #SouthKorea confirmed 171 new #COVID19 cases as of 4 pm local time on Thursday, bringing the total number of infections to 1,7…","Seattle, WA",0,17,636,153701,2020-02-27 09:08:27,False,,"#SouthKorea, #COVID19"
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",,0,410,346,44007,2020-02-27 09:08:10,False,,
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,🇸🇬 // 아미 4기 • 5기 • 6기 ,0,47,350,63164,2020-02-27 09:07:39,False,,#COVID19
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",Beirut ,0,410,371,18640,2020-02-27 09:07:28,False,,
"RT @rhokilpatrick: China and the @WHO accused Taiwan of overreacting when they blocked arrivals from China. The results?  Korea: 1,595 #COV…",Hong Kong,0,410,382,41861,2020-02-27 09:07:20,False,,
"RT @PDChina: #SouthKorea confirmed 171 new #COVID19 cases as of 4 pm local time on Thursday, bringing the total number of infections to 1,7…",Planet in #extinction protocol,0,17,2204,284611,2020-02-27 09:07:20,False,,"#SouthKorea, #COVID19"
RT @ChannelNewsAsia: Here's how the number of confirmed #COVID19 cases in South Korea has risen over the past week https://t.co/9BEGWZeO9U…,,0,47,223,24016,2020-02-27 09:06:48,False,,#COVID19
"RT @disclosetv: BREAKING - South Korea reports 505 new #COVID19 cases, bringing the total number of coronavirus infections to 1,766: Yonhap…",,0,9,157,11638,2020-02-27 09:06:44,False,,#COVID19
