text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @AJEnglish: What happens if you catch the new coronavirus? https://t.co/78tLudxGGa | #COVID19 https://t.co/LEnm2ygTxb,,0,110,272,1902,2020-02-27 12:00:10,False,,#COVID19
"@BNODesk I expect Israel will see several other cases within the next week, the dailymail will be thrilled.… https://t.co/51Xv2lPlyf",,0,0,46,5065,2020-02-27 12:00:10,False,,
"US Colleges Race To Cancel Study Abroad Programs, Especially In Italy, Amid Covid-19 Spread https://t.co/vjOaralAIX… https://t.co/iPI8hwdRmd",Southeast EU,0,0,766,38644,2020-02-27 12:00:08,False,,
RT @JohnOberg: A wild animal market is the origin of the #coronavirus #Covid19. 🦠  Slaughtering &amp; eating these animals is both cruel and da…,,0,14,392,31790,2020-02-27 12:00:08,False,,"#coronavirus, #Covid19"
"#coronavirus South Korea has announced another 171 cases of the novel coronavirus, bringing the total to 505 in the… https://t.co/g2dJlOM0uv","New York, US & Delhi, India",0,0,3021,23264,2020-02-27 12:00:06,False,,#coronavirus
RT @Stevejonesblog: The effects of the Coronavirus on temple ritual practice—a report from Sichuan #coronavirus #2019nC0V #WuhanCoronavirus…,"Hamilton, Ontario",0,1,2621,24937,2020-02-27 12:00:06,False,,"#coronavirus, #2019nC0V, #WuhanCoronavirus"
RT @JohnOberg: A wild animal market is the origin of the #coronavirus #Covid19. 🦠  Slaughtering &amp; eating these animals is both cruel and da…,"Bloomington, Indiana USA",0,14,272,5376,2020-02-27 12:00:06,False,,"#coronavirus, #Covid19"
RT @Zigmanfreud: Trump tweet 3 months from now if #coronavirususa #coronavirus #COVID19 is gravely threatening his re-election chances...…,European Union,0,290,7542,140075,2020-02-27 12:00:06,False,,"#coronavirususa, #coronavirus, #COVID19"
"⚠️ Coronavirus Update ⚠️  🕛 2020-02-27 12:00 UTC  ☣️ 82,171 cases ❓ 2,358 suspected 💀 2,804 dead ✅ 33,129 recovered… https://t.co/36YAyDWWXY",UC San Diego,0,0,803,391,2020-02-27 12:00:06,False,,
"RT @globaltimesnews: #Japan will lose about 5.9 trillion yen ($53.5 billion) if the #2020TokyoOlympics are canceled, Toshihiro Nagahama, Ch…",Colombia,0,18,38,765,2020-02-27 12:00:06,False,,"#Japan, #2020TokyoOlympics"
"RT @WashUengineers: How can researchers better predict pandemics?   Expert Michael Vahey, assistant professor of @WashUBME, explains what i…","St. Louis, MO",0,2,3020,4451,2020-02-27 12:00:05,False,,
"RT @janisfrayer: In #Japan, a woman working as a tour bus guide in Osaka had made a full recovery from #COVID19. Then, she tested positive…",New York City,0,38,19825,86642,2020-02-27 12:00:05,False,,"#Japan, #COVID19"
"RT @NetworksManager: 75 new infections and 2 more dead in Italy. So far: 528 infected  14 dead  Don’t worry, folks just treat this like the…",France,0,2,4335,10683,2020-02-27 12:00:05,False,,
"#Κορονοϊό #Covid19 '#Greece reported two new cases of #coronavirus in the past 24 hours, bringing the total number… https://t.co/mLMt4qUmGm",,0,0,341,31527,2020-02-27 12:00:05,False,,"#Κορονοϊό, #Covid19, #Greece, #coronavirus"
Buxton in Derbyshire has become the latest #coronavirus ground zero after a parent was diagnosed following a trip a… https://t.co/xnEUCTOTKX,Новоро́ссия,0,0,1331,26014,2020-02-27 12:00:04,False,,#coronavirus
RT @JohnOberg: A wild animal market is the origin of the #coronavirus #Covid19. 🦠  Slaughtering &amp; eating these animals is both cruel and da…,,0,14,110,3973,2020-02-27 12:00:04,False,,"#coronavirus, #Covid19"
RT @RonaldKlain: I'd add one other point:  anyone who tells you we KNOW how many cases of #COVID19 we have in America is not being straight…,,0,279,1065,100126,2020-02-27 12:00:03,False,,#COVID19
"RT @PDChina: #SouthKorea confirmed 171 new #COVID19 cases as of 4 pm local time on Thursday, bringing the total number of infections to 1,7…","Mumbai, India",0,25,887,384157,2020-02-27 12:00:03,False,,"#SouthKorea, #COVID19"
RT @malaymail: Malaysia's handling of the Covid-19 outbreak has earned the country much praise and that speaks volumes on the dedication of…,,0,564,2029,51356,2020-02-27 12:00:02,False,,
"RT @disclosetv: BREAKING - Spain reports another #COVID19 case in Catalonia. A young woman from Tenerife, 22, who has traveled to northern…",Litvínov,0,6,540,113929,2020-02-27 12:00:01,False,,#COVID19
