text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"RT @TheKoreaHerald: South #Korea reports 334 new virus cases, total now at 1,595 #COVID19 #Corona #Coronavirus #CoronavirusOutbreak https:/…","ÜT: 0.503643,101.442368",0,162,1017,3843,2020-02-27 12:10:30,False,,"#Korea, #COVID19, #Corona, #Coronavirus, #CoronavirusOutbreak"
"The #UnitedStates and #SouthKorea have postponed a series of joint #military exercises ""until further notice,"" amid… https://t.co/03i2n72wdB",Turkey-Israel,0,0,1265,108205,2020-02-27 12:00:37,False,,"#UnitedStates, #SouthKorea, #military"
South #Korea #cult #China then #coronavirus explodes like #hell! #virus checks on sect members https://t.co/QLeBxzgq9K via @yahoosg,"New York, USA",0,0,90,358,2020-02-27 11:54:49,False,,"#Korea, #cult, #China, #coronavirus, #hell, #virus"
"South #Korea #cult #China then #coronavirus explodes like #hell! #virus checks on 200,000-plus sect members… https://t.co/6FbbSk512N","New York, USA",0,0,90,358,2020-02-27 11:54:05,False,,"#Korea, #cult, #China, #coronavirus, #hell, #virus"
Bank of #Korea chief warns of Q1 contraction due to #coronavirus https://t.co/zab9nSRnHq,Russia,0,0,10143,174373,2020-02-27 11:07:17,False,,"#Korea, #coronavirus"
#KOREA #STARTUP:..IMMUNE TO CORONAVIRUS.. Personal #mobility startups remain mostly unaffected by the ongoing… https://t.co/c4OQBQlRGW,,0,0,2413,65130,2020-02-27 11:05:41,False,,"#KOREA, #STARTUP, #mobility"
RT @BillyMallard: A @Reuters graphic on how the #coronavirus exploded in South #Korea’s churches and hospitals.  https://t.co/AmOceUThha,,0,0,113,18955,2020-02-27 10:58:02,False,,"#coronavirus, #Korea"
"RT @iwuzhigang: CORONAVIRUS CASES WORLDWIDE  #CHINA  78,631 #KOREA  1,766 #JAPAN  912 #ITALY  470 #IRAN  141 #SINGAPORE  93  #America  60 #…",Islamic Republic of Iran,0,3,12,934,2020-02-27 10:40:07,False,,"#CHINA, #KOREA, #JAPAN, #ITALY, #IRAN, #SINGAPORE, #America"
"RT @iwuzhigang: CORONAVIRUS CASES WORLDWIDE  #CHINA  78,631 #KOREA  1,766 #JAPAN  912 #ITALY  470 #IRAN  141 #SINGAPORE  93  #America  60 #…",中国香港,0,3,78,218,2020-02-27 10:37:25,False,,"#CHINA, #KOREA, #JAPAN, #ITALY, #IRAN, #SINGAPORE, #America"
"RT @iwuzhigang: CORONAVIRUS CASES WORLDWIDE  #CHINA  78,631 #KOREA  1,766 #JAPAN  912 #ITALY  470 #IRAN  141 #SINGAPORE  93  #America  60 #…",中华人民共和国,0,3,14,81,2020-02-27 10:36:09,False,,"#CHINA, #KOREA, #JAPAN, #ITALY, #IRAN, #SINGAPORE, #America"
