text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
What to do if you have a holiday booked to Italy amidst the #coronavirus outbreaks https://t.co/xKTif7sn2W https://t.co/CDAcmukayQ,UK,0,0,4111,14078,2020-02-27 18:00:01,True,,#coronavirus
"#OSINT, #RUMINT, and #Breaking News through Independent and Alternative Reporting.  Subscribe to my ""Storm Watch"" l… https://t.co/XRArACIDbm",Upstate New York,0,0,5129,128865,2020-02-27 18:00:01,False,,"#OSINT, #RUMINT, #Breaking"
The latest The castellammare Daily! https://t.co/1JfUmS3NiA #israelis #coronavirus,Castellammare del Golfo,0,0,5147,21203,2020-02-27 18:00:01,False,,"#israelis, #coronavirus"
China’s influence at the WHO — and the WHO’s susceptibility to being influenced by Beijing — are putting lives at r… https://t.co/GoLNjuTOhr,"Mountain View, CA, USA",0,0,13474,79933,2020-02-27 18:00:00,False,,
Live from NYC: @LeutholdGroup’s Doug Ramsey joined @MorningsMaria this morning to discuss how the markets were alre… https://t.co/QXmH4BLMwp,(414) 777-1880,0,0,395,3352,2020-02-27 18:00:00,False,,
"""House of Cures"" Senior official in Qom, central #Iran ""We consider this sacred shrine as the House of Cures."" Many… https://t.co/FChHuuU2TQ","Rhineland-Palatinate, Germany",0,0,200,43226,2020-02-27 18:00:00,False,,#Iran
Thirteen Iranian drivers have been put under observation as a precautionary measure in #Turkey’s Zonguldak after on… https://t.co/9wAfEbUPvo,"İstanbul, Türkiye",0,0,13446,3536,2020-02-27 18:00:00,False,,#Turkey
"A 9/11-era Omaha facility, an old Ebola drug, and the ubiquitous Dr. Fauci: Inside the first US novel #coronavirus… https://t.co/dIGjEblXhI",,0,0,2244,121048,2020-02-27 18:00:00,False,,#coronavirus
They just can't stop playing mahjong! https://t.co/CSAoCR1YAy #mahjong #coronavirus,Austria,0,0,83,7231,2020-02-27 18:00:00,False,,"#mahjong, #coronavirus"
"RT @TeamTrump: Vice President @Mike_Pence at #CPAC: President @realDonaldTrump has no higher priority than the health, safety, and well-bei…",,0,85,161,10436,2020-02-27 18:00:00,False,,#CPAC
"Coronavirus cannot be stopped with face masks alone, health experts warn #Coronavirus #CoronaVirusUpdates… https://t.co/sEgGkAO6R9",London,0,0,819589,719701,2020-02-27 18:00:00,True,,"#Coronavirus, #CoronaVirusUpdates"
"RT @ezracheungtoto: #BREAKING: Iran’s vice-president, Masoumeh Ebtekar, has been diagnosed with #coronavirus, state media have reported, as…","Berkeley, CA",0,28,220,9528,2020-02-27 18:00:00,False,,"#BREAKING, #coronavirus"
Coronavirus decimating sporting calendar https://t.co/yXEnmJitHx  #coronavirus #sport #business #Europe   What are… https://t.co/RrQnCHdnj0,London,0,0,12,383,2020-02-27 17:59:59,False,,"#coronavirus, #sport, #business, #Europe"
RT @HaticeDenizAVCI: most italian thing you’ll see 🤣🇮🇹🍝 “the pasta shelves are empty”  #coronavirus https://t.co/TnJLVwc8pL,California,0,378,11,26,2020-02-27 17:59:59,False,,#coronavirus
RT @va_shiva: #coronavirus will perhaps force YOU now to ask the IMPORTANT QUESTION:  What creates resilient &amp; strong immune systems? 1) Cl…,NJ,0,87,174,1529,2020-02-27 17:59:59,False,,#coronavirus
"RT @DrGJackBrown: Among his many, 'I'm not sures' &amp; HHS referrals, when asked by .@SenJohnKennedy re the mortality rate of #coronavirus, Ac…","California, USA",0,43,593,1501,2020-02-27 17:59:59,False,,#coronavirus
"RT @SpeakerPelosi: The U.S. Government must do more to address the spread of #coronavirus in a smart, strategic, and serious way. @SenSchum…",New York,0,1388,462,4544,2020-02-27 17:59:59,False,,#coronavirus
"RT @CGTNOfficial: All Chinese cities, both big and small, have taken stringent measures to protect their inhabitants from the novel #corona…",Haïti (Pétionville),0,36,71,5164,2020-02-27 17:59:59,False,,
Battle #Coronavirus Royal https://t.co/tlwjjKWYzh,"Frankfurt, Germany",0,0,336,29306,2020-02-27 17:59:59,False,,#Coronavirus
A chilling 40/year old book predicted a virus Wuhan to be used as a biological weapon. #coronavirus  https://t.co/W7K8CiOwQ1,Tower Hamlets,0,0,2562,11346,2020-02-27 17:59:59,False,,#coronavirus
Elderly? People lost to #Coronavirus #COVIDー19 https://t.co/Ik5sOnwPW0 h/t kiwibird,International Website,0,0,14460,93004,2020-02-27 17:59:59,False,,"#Coronavirus, #COVIDー19"
RT @SpeakerPelosi: The first step the Congress must make is to ensure the government has the resources needed to combat this deadly #corona…,,0,269,3,467,2020-02-27 17:59:59,False,,
Moved to thread level MODERATE for #coronavirus. The first community case in the US happened ~100 miles from here &amp;… https://t.co/7AupSfSagB,"San Francisco, California",0,0,20944,38490,2020-02-27 17:59:59,False,,#coronavirus
"RT @BlueGhost40_: Fox News contributor Jessica Tarlov:  “Mike Pence is not a scientist, he’s not a doctor, he’s not someone who believes re…",Minnesota,0,21,270,16132,2020-02-27 17:59:58,False,,
RT @AlinejadMasih: Dear World  Take a moment to put yourselves in the shoes of political prisoners in Iran's notoriously unsanitary &amp; overc…,,0,8,80,25695,2020-02-27 17:59:58,False,,
"RT @WHO: ""Are we ready to treat patients with severe or critical #COVID19?   Do our hospitals &amp; clinics have the right procedures to preven…",s_aguilera_positiveconnects@fb,0,108,1695,108247,2020-02-27 17:59:58,False,,#COVID19
