text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
"We Need to Immediately Find Housing, Shelter or Provide Fever Monitoring Services for Homeless People in California… https://t.co/mIYxj0pRbP",NJ NYC Philly AC Central NJ,0,0,2725,63955,2020-02-27 13:12:51,False,,
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5","Austin, Texas",0,14,3042,28072,2020-02-27 04:53:41,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",,0,14,556,41601,2020-02-27 02:49:09,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",Sweden,0,14,1981,104611,2020-02-27 02:48:59,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",,0,14,289,11342,2020-02-27 02:44:23,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5","Michigan, USA",0,14,9013,292027,2020-02-27 02:35:37,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",Florida,0,14,7851,235864,2020-02-27 02:34:33,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",,0,14,8615,401711,2020-02-27 02:28:04,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",TEXAS,0,14,10730,278024,2020-02-27 02:21:57,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",East of Midnight,0,14,16806,33462,2020-02-27 02:18:12,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",Anywhere the Journey Takes Me,0,14,2689,33481,2020-02-27 01:41:38,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",,0,14,175,10655,2020-02-27 01:29:58,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5","Wash,D.C.",0,14,3401,148555,2020-02-27 01:29:27,False,,"#LA, #coronavirus"
"RT @LisaDaftari: Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5","Mumbai, Maharashtra",0,14,108549,145542,2020-02-27 01:29:10,True,,"#LA, #coronavirus"
"Korean flight attendant who was in Israel, #LA tests positive for #coronavirus  https://t.co/H5KcGZdls5",,15,14,35623,41073,2020-02-27 01:26:08,True,,"#LA, #coronavirus"
"RT @RPAguirre: Hey #LA, and #California be careful out there w the #coronavirus and shizzz.   The chinese city where it started is on lockd…","Maryland, USA",0,1,216,19753,2020-02-26 22:18:06,False,,"#LA, #California, #coronavirus"
"Hey #LA, and #California be careful out there w the #coronavirus and shizzz.   The chinese city where it started is on lockdown.",Antarctica,2,1,2821,29515,2020-02-26 22:17:01,False,,"#LA, #California, #coronavirus"
Korean Air Flight Attendant Working LAX Flights Diagnosed With #la #Coronavirus https://t.co/il9DhWHW2O,Alaska,0,0,2,124,2020-02-26 21:47:26,False,,"#la, #Coronavirus"
