text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @SimplyInfoOrg: https://t.co/4SBn8oINCj: Coronavirus Ongoing Updates Live Blog #covid19 #coronavirus #US #japan #pandemic #fukushima htt…,"Maybe NYC, maybe PDX",0,1,897,28689,2020-02-27 18:03:12,False,,"#covid19, #coronavirus, #US, #japan, #pandemic, #fukushima"
"RT @janisfrayer: In #Japan, a woman working as a tour bus guide in Osaka had made a full recovery from #COVID19. Then, she tested positive…","Santiago, Chile",0,83,135,1068,2020-02-27 18:02:52,False,,"#Japan, #COVID19"
Sign it is worse in Japan than case counts indicate.  All schools closed for a month.  #Coronavirus #Japan https://t.co/0KMRP53eCs,,0,0,1106,1310,2020-02-27 18:02:26,False,,"#Coronavirus, #Japan"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,"Chennai, India",0,242,11,41,2020-02-27 18:00:51,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
"RT @janisfrayer: In #Japan, a woman working as a tour bus guide in Osaka had made a full recovery from #COVID19. Then, she tested positive…",Mexico,0,83,546,16275,2020-02-27 17:59:21,False,,"#Japan, #COVID19"
"RT @janisfrayer: #Japan's PM urged all elementary, middle &amp; high schools to close temporarily, saying a week or two is crucial to contain #…","Redmond, WA",0,10,508,52495,2020-02-27 17:58:38,False,,#Japan
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,India,0,242,272,24154,2020-02-27 17:58:29,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,,0,242,219,46722,2020-02-27 17:58:14,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
Schools across #Japan close amid #coronavirus outbreak https://t.co/G9NAvIN3mf https://t.co/CehUz2y1KZ,,0,1,392,987,2020-02-27 17:56:26,False,,"#Japan, #coronavirus"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,,0,242,0,10,2020-02-27 17:55:54,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
BBC News - #Coronavirus: #Japan to close all #schools to halt spread https://t.co/yThlpIDQbc,"Bologna, Emilia Romagna",0,0,355,4229,2020-02-27 17:52:57,False,,"#Coronavirus, #Japan, #schools"
"#coronavirus : #Japan Major #avex decided to postpone or cancel most artists events until April, including countles… https://t.co/W8O0gyjaza",日本 - Kansai,0,0,434,1931,2020-02-27 17:52:04,False,,"#coronavirus, #Japan, #avex"
#Coronavirus: #Japan to close all #schools to halt spread. https://t.co/9nxLnfFcxO,"Barcelona, Catalonia",0,1,9133,303691,2020-02-27 17:51:00,False,,"#Coronavirus, #Japan, #schools"
RT @ricci_davide77: #BREAKING  A woman working in #Japan has tested positive for the #coronavirus for a second time - the first case of rei…,London,0,1,895,6150,2020-02-27 17:50:07,False,,"#BREAKING, #Japan, #coronavirus"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,India,0,242,30,2106,2020-02-27 17:50:01,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
Japanese snow towns become coronavirus breeding grounds; raising fears of spike in cases and a shadow over Tokyo Ol… https://t.co/TaMmQEbjVZ,online,0,0,626,38164,2020-02-27 17:50:00,False,,
"RT @IndoPac_Info: #coronavirus Update: Case Count  New cases in 21 countries &amp; cruise ship in #Japan  First time cases in #Pakistan, #Denma…",,0,43,209,36982,2020-02-27 17:49:06,False,,"#coronavirus, #Japan, #Pakistan"
#Japan shuts all #schools to combat #coronavirus #SchoolsOut @FinancialTimes @MarketWatch @ReutersBiz @Reuters… https://t.co/nxi0w35dPF,"Chicago, IL",0,0,376,34930,2020-02-27 17:48:59,False,,"#Japan, #schools, #coronavirus, #SchoolsOut"
https://t.co/4SBn8oINCj: Coronavirus Ongoing Updates Live Blog #covid19 #coronavirus #US #japan #pandemic… https://t.co/aiT5NVRhVc,,1,1,628,2549,2020-02-27 17:46:06,False,,"#covid19, #coronavirus, #US, #japan, #pandemic"
#BREAKING  A woman working in #Japan has tested positive for the #coronavirus for a second time - the first case of… https://t.co/kjumIFCwQk,"Ponsacco, Pisa",1,1,2719,124863,2020-02-27 17:44:01,False,,"#BREAKING, #Japan, #coronavirus"
"RT @SaraCarterDC: #CORONAVIRUS UPDATES:  - 82,164 Infected,  - 2,801 Deaths Globally,  - 60 U.S. confirmed infected   #SouthKorea, #Italy a…","West Palm Beach, Florida",0,280,2898,342285,2020-02-27 17:43:58,False,,"#CORONAVIRUS, #SouthKorea, #Italy"
"RT @janisfrayer: In #Japan, a woman working as a tour bus guide in Osaka had made a full recovery from #COVID19. Then, she tested positive…","Alberta, Canada",0,83,669,6339,2020-02-27 17:42:01,False,,"#Japan, #COVID19"
RT @newventureman: BREAKING: #Japan closes all schools nationwide for at least a month to prevent spreading of #COVID19   https://t.co/fLgD…,Frankfurt am Main,0,51,343,17721,2020-02-27 17:41:41,False,,"#Japan, #COVID19"
RT @BeholdIsrael: #Japan's Prime Minister Abe asks schools across the country to be closed from Monday to prevent the spread of #coronaviru…,NC,0,48,104,23280,2020-02-27 17:41:39,False,,#Japan
#Coronavirus: #Japan to close all schools to halt spread https://t.co/DEwCWxhYTb,"Johor Bahru, Malaysia",0,0,1563,34009,2020-02-27 17:38:16,False,,"#Coronavirus, #Japan"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,I$lamic republic of China. 😹,0,242,1047,10770,2020-02-27 17:36:56,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
#Coronavirus : #Japan to close all schools to halt spread https://t.co/9LIUcFrQgX,"Dublin City, Ireland",0,0,549,3163,2020-02-27 17:36:47,False,,"#Coronavirus, #Japan"
"""Coronavirus: Japan to close all schools to halt spread"" https://t.co/oPgYIE8NGH #Japan #schools #coronavirus","British Columbia, Canada",0,0,4554,76538,2020-02-27 17:35:42,False,,"#Japan, #schools, #coronavirus"
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,"Maharashtra, India",0,242,2280,81838,2020-02-27 17:34:56,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
RT @COVID19Update: OMG 😯  A woman working in #Japan has tested positive for the #coronavirus for a second time -- the first case of reinfec…,,0,23,2192,156890,2020-02-27 17:33:45,False,,"#Japan, #coronavirus"
RT @TraderStef: @CrushTheStreet #coronavirus #COVID19 #Japan locking down.... https://t.co/TeK3H5kxOA,"British Columbia, Canada",0,2,1572,17960,2020-02-27 17:33:32,False,,"#coronavirus, #COVID19, #Japan"
"RT @OhmsLaw78: Top U.S. &amp; World Headlines Feb. 27, 2020: https://t.co/d72IvvZHZe #Coronavirus #CDC #Trump #HIV #Japan #MillerBeer Shooting…",,0,1,759,21136,2020-02-27 17:32:34,False,,"#Coronavirus, #CDC, #Trump, #HIV, #Japan, #MillerBeer"
"Top U.S. &amp; World Headlines Feb. 27, 2020: https://t.co/d72IvvZHZe #Coronavirus #CDC #Trump #HIV #Japan #MillerBeer… https://t.co/jATlpt1qRG","Iowa, USA",0,1,1005,37704,2020-02-27 17:29:50,False,,"#Coronavirus, #CDC, #Trump, #HIV, #Japan, #MillerBeer"
RT @SharkNewsWires: #Coronavirus Update : #Japan confirms first case of person being reinfected with with the virus.  https://t.co/PAH9tOu4…,"Irvine, CA",0,3,839,56424,2020-02-27 17:28:27,False,,"#Coronavirus, #Japan"
@CrushTheStreet #coronavirus #COVID19 #Japan locking down.... https://t.co/TeK3H5kxOA,Live Free or Die - New Hampshire,5,2,6238,51899,2020-02-27 17:27:40,False,,"#coronavirus, #COVID19, #Japan"
"#Japan's PM Abe says all public primary, junior high and high schools will be closed nationwide from March over… https://t.co/mUBQ2FJ8xH","Lagos, Nigeria",2,0,100,1377,2020-02-27 17:25:49,False,,#Japan
RT @adgpi: #CORONAVIRUS  #IndianArmy quarantine facility near #Manesar receives 114 #Indian &amp; five Foreign nationals who were on board #Dia…,,0,244,69,5459,2020-02-27 17:25:17,False,,"#CORONAVIRUS, #IndianArmy, #Manesar, #Indian"
RT @Cutsnake001: SHIT....Things be gettin real in #Japan. Seems #CoronaVirus is ready to kick Japans arse too. It would have been nice if t…,"Melbourne, Australia",0,1,1080,16143,2020-02-27 17:25:12,False,,"#Japan, #CoronaVirus"
#Coronavirus Update : #Japan confirms first case of person being reinfected with with the virus.  https://t.co/PAH9tOu4L3,"Scotland, United Kingdom",1,3,1936,2104,2020-02-27 17:24:37,False,,"#Coronavirus, #Japan"
