text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
All the masks sold out &amp; this is in the US where the virus hasn’t even hit yet..🤦🏼‍♀️Persevering face #corona… https://t.co/o25QdqBwvA,,0,0,177,47,2020-02-28 09:00:00,False,,#corona
"RT @corona_robot: Confirmed: 83,719 (+12) Recovered: 36,637 (+31) Deaths: 2,858 (0) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COV…","São João da Boa Vista, Brasil",0,2,777,12728,2020-02-28 08:59:44,False,,"#Coronavirus, #CoronavirusOutbreak, #Wuhan, #2019nCoV"
RT @j19703038: All the masks sold out &amp; this is in the US where the virus hasn’t even hit yet..🤦🏼‍♀️😣  #Coronavirius #corona #wuhan #corona…,,0,211,395,48248,2020-02-28 08:59:19,False,,"#Coronavirius, #corona, #wuhan"
"RT @arraksmannen: During the corona virus, chinese police and government prohibit people from socializing without wearing a mask, even with…",NY [Near You] City,0,122,11756,64021,2020-02-28 08:59:13,False,,
RT @HimalayaGlobal: The last speech of #coronavirus independent reporter Li Zehua before captured by the Chinese Communist Party (CCP) poli…,,0,245,1146,47117,2020-02-28 08:58:54,False,,#coronavirus
"RT @QuickTake: ""This is our community telling people outside to go home.""  This #Wuhan resident shows how he's coping in China's #coronavir…",,0,61,2516,12554,2020-02-28 08:57:38,False,,#Wuhan
RT @mapsofworld: @BBCWorld The deadly outbreak of #coronavirus which originated from #wuhan has been spreading at an alarming rate across c…,,0,2,36,2832,2020-02-28 08:57:25,False,,"#coronavirus, #wuhan"
"RT @Gwadar_Pro: #COVID-19  What is the state of our Pakistani students in #Wuhan, the most severely hit city by the #Coronavirus? They are…",Google：iRedcross,0,2,46,2849,2020-02-28 08:56:39,False,,"#COVID, #Wuhan, #Coronavirus"
"1,200 bodies burned every day mobile incinerators Wuhan alone. Meanwhile, China  order for enough incinerators  bur… https://t.co/0UkrwxXHi5",,0,0,3957,119449,2020-02-28 08:56:33,False,,
Stay calm &amp; listen to the experts It is of great benefit to follow the statements made by the authorities without a… https://t.co/SG76dCBkNb,,0,0,94,48,2020-02-28 08:56:11,False,,
"RT @corona_robot: Confirmed: 83,719 (+12) Recovered: 36,637 (+31) Deaths: 2,858 (0) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COV…","Cascais, Portugal",0,2,10011,145639,2020-02-28 08:55:59,False,,"#Coronavirus, #CoronavirusOutbreak, #Wuhan, #2019nCoV"
"RT @arraksmannen: During the corona virus, chinese police and government prohibit people from socializing without wearing a mask, even with…",nairobi ,0,122,727,893,2020-02-28 08:55:39,False,,
RT @DirectMito: @CNN @DirectMito  Simple mask manufacturing method for people suffering from corona virus. Connect 3 to 5 rubber bands. Mak…,West Virginia,0,1,45,520,2020-02-28 08:55:26,False,,
RT @corona_update: Reports that China is lying to the world over the amount of infected and dead as a result of the corona virus. #coronavi…,nairobi ,0,221,727,893,2020-02-28 08:55:01,False,,
"Confirmed: 83,719 (+12) Recovered: 36,637 (+31) Deaths: 2,858 (0) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19",🖥,1,2,1778,745,2020-02-28 08:54:54,False,,"#Coronavirus, #CoronavirusOutbreak, #Wuhan, #2019nCoV, #COVID19"
RT @HimalayaGlobal: The last speech of #coronavirus independent reporter Li Zehua before captured by the Chinese Communist Party (CCP) poli…,,0,245,610,6079,2020-02-28 08:54:40,False,,#coronavirus
"RT @Perseus852: For those who have been wondering about the retracted letter by 2 #Chinese nurses in the #Lancet, here is the link. But jus…",London / Hong Kong,0,2,187,793,2020-02-28 08:54:37,False,,"#Chinese, #Lancet"
"Wuhan's lockdown has endured for well over a month... At 10am on January 23rd, the city was thrust into the unknown… https://t.co/TKm0zOBnQ3","Beijing, China",0,0,142,491,2020-02-28 08:53:34,False,,
"RT @CCPTrolling: The banners read: “Going out is suicide. Those who coming are enemies”, “We break your leg if you go out, we break your te…",,0,26,377,7522,2020-02-28 08:52:38,False,,
"RT @WilliamYang120: More on #COVID19 in #China - Two medical worker from Guangdong, who have been treating patients at the frontline in #Wu…","London, UK",0,1080,11961,71544,2020-02-28 08:52:23,False,,"#COVID19, #China"
"RT @QuickTake: ""This is our community telling people outside to go home.""  This #Wuhan resident shows how he's coping in China's #coronavir…",,0,61,8,239,2020-02-28 08:52:09,False,,#Wuhan
Covid or Corona? 😷 #COVID19US #coronavirus #COVID19 #CoronavirusOutbreak #coronaviruschina #china #vancouver #yvr… https://t.co/j993XGMMpO,"Vancouver, Canada",0,0,390,37765,2020-02-28 08:51:35,False,,"#COVID19US, #coronavirus, #COVID19, #CoronavirusOutbreak, #coronaviruschina, #china, #vancouver, #yvr"
"RT @yuvi_nation: #RT @QuickTake: ""This is our community telling people outside to go home.""  This #Wuhan resident shows how he's coping in…","Deep Ellum, Texas",0,1,552,5964,2020-02-28 08:51:30,False,,"#RT, #Wuhan"
"RT @SeanCar79447369: jaye - DEJAVU   A romantic ballad buoyed by string movements, “DEJA VU” picks up where jaye’s debut left off.  https:/…",Kiev,0,43,4,24,2020-02-28 08:49:47,False,,
"RT @RealJamesWoods: Thank you, Doug. This is a brilliant assessment of our current situation with the #Wuhan #CoronaVirus. More importantly…","Los Angeles, CA",0,2161,1464,37372,2020-02-28 08:48:55,False,,"#Wuhan, #CoronaVirus"
