text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @COVID19_WUHAN: #BREAKING   51 hospitalizations in Lodi during last night.  17 in ICU Intensive Care.  No info on #Coronavirus....  But…,,0,11,4319,130179,2020-02-28 12:00:38,False,,"#BREAKING, #Coronavirus"
"RT @a_hamman: Authorities in #Nigeria didn't take the #coronavirus serious, that is why they allowed a plane to land from #Italy. All of th…",Nigeria,0,1,253,3072,2020-02-28 12:00:21,False,,"#Nigeria, #coronavirus, #Italy"
#Italy is having a serious outbreak hospitals are being over taxed with severe cases #coronavirus #ncov2019… https://t.co/CCqete2ikz,The Entire Universe!,0,0,17850,20099,2020-02-28 11:59:44,False,,"#Italy, #coronavirus, #ncov2019"
RT @realKyleOlbert: Racism towards #China’s people — who are victims of the #CCP — is reprehensible.  Hugging &amp; kissing strangers — of any…,,0,91,89,23127,2020-02-28 11:59:28,False,,"#China, #CCP"
RT @CatholicDoors: Vatican City implements health measures over coronavirus. https://t.co/mnvG8ipGPz  #Coronavirus #china #outbreak #Covid1…, Midwest Flyover Country,0,1,2457,123573,2020-02-28 11:59:26,False,,"#Coronavirus, #china, #outbreak"
"RT @Jerusalem_Post: 110 passengers arriving from #Italy have been refused entry, after #Israel places travel ban due to #coronavirus https:…",,0,14,695,126609,2020-02-28 11:58:09,False,,"#Italy, #Israel, #coronavirus"
Vatican City implements health measures over coronavirus. https://t.co/mnvG8ipGPz  #Coronavirus #china #outbreak… https://t.co/ANx17rtPAW,Worldwide,1,1,2538,28749,2020-02-28 11:58:04,False,,"#Coronavirus, #china, #outbreak"
RT @Jerusalem_Post: #Nigeria's first #coronavirus case arrived in the country from #Italy.  https://t.co/ciHzDGmOpW,"Baltimore, MD",0,7,405,8561,2020-02-28 11:58:01,False,,"#Nigeria, #coronavirus, #Italy"
#Italy is not most affected country in Europe by #coronavirus. Italy is the country that has taken more swabs than… https://t.co/RYhvQftdui,,0,0,104,647,2020-02-28 11:56:58,False,,"#Italy, #coronavirus"
The first case of the new coronavirus reported by Health officials in Nigeria Friday marking the first in sub-Sarah… https://t.co/q75jKHO9CC,vuhan china,0,0,141,2022,2020-02-28 11:56:36,False,,
"RT @nikki_miumiu: Pope Francis sick a day after supporting #Coronavirus sufferers, the #Vatican has not specified the nature of the pope’s…","Central Park, NYC, USA",0,180,1433,48888,2020-02-28 11:56:15,False,,"#Coronavirus, #Vatican"
1/2  The first case of the new coronavirus reported by Health officials in Nigeria Friday marking the first in sub-… https://t.co/NSZ5NF48gy,,0,0,76,4226,2020-02-28 11:55:49,False,,
RT @BeholdIsrael: #PopeFrancis cancelled a church service today after he was struck down with illness. The 83-year-year-old pontiff was not…,,0,260,8,914,2020-02-28 11:55:36,False,,#PopeFrancis
"So, according to media reports, it seems that in these days three-quarters of the world population has traveled to… https://t.co/oAuQ6VS7zh",,0,0,30,201,2020-02-28 11:55:34,False,,
RT @AgenciaAJN: #Coronavirus Israeli woman found with #COVID-19 after husband returns from #Italy with virus https://t.co/yZzqMVfaBq https:…,Tuscany Italy,0,2,1173,59889,2020-02-28 11:53:48,False,,"#Coronavirus, #COVID, #Italy"
RT @Agnese_Cretella: To all my friends around the world... #italy #coronavirus #DarkAges https://t.co/OHlm4SSDSX,romania,0,1,25,706,2020-02-28 11:52:15,False,,"#italy, #coronavirus, #DarkAges"
#CORONAVIRUS #ITALY TOTAL CASES: 655 DEATHS: 17 CRITICAL CASES: 56 EACH DAY IT GETS WORSE AND WORSE.,Tuscany Italy,1,0,1173,59889,2020-02-28 11:51:59,False,,"#CORONAVIRUS, #ITALY"
RT @AgenciaAJN: #Coronavirus Israeli woman found with #COVID-19 after husband returns from #Italy with virus https://t.co/yZzqMVfaBq https:…,,0,2,2511,336685,2020-02-28 11:51:40,False,,"#Coronavirus, #COVID, #Italy"
RT @COVID19_WUHAN: #BREAKING   51 hospitalizations in Lodi during last night.  17 in ICU Intensive Care.  No info on #Coronavirus....  But…,,0,11,243,39603,2020-02-28 11:51:32,False,,"#BREAKING, #Coronavirus"
