text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
Very serious update on the situation in Iran will be posted soon at @PndmcSurvivors. # of people infected is estima… https://t.co/0x0AfUFGRs,,0,0,739,1794,2020-02-28 18:15:01,False,,
#covid19 Lets pray 4 #Doctors &amp; #Nurses on the frontline in #China &amp; #Iran &amp; #Italy &amp; #UK &amp; #US &amp; #UAE &amp; elsewhere:… https://t.co/srWQnNUQiy,"Milky way,  I can see aliens !",1,0,3533,130194,2020-02-28 18:05:08,False,,"#covid19, #Doctors, #Nurses, #China, #Iran, #Italy, #UK, #US, #UAE"
RT @Briefingcom: The Big Picture: Correction driven by correction in earnings growth story $TNX $SPY- https://t.co/K6uJkqqpMB #Coronavirus…,Chicago,0,2,23558,373769,2020-02-28 18:00:56,False,,#Coronavirus
RT @forooInc: Anyone know the resource of this video? I got to follow him 😎⁣ ⁣⁣ #italy #virus #uk #us #iran #sars #coronavirus #corona #nco…,,0,3,459,982,2020-02-28 17:43:01,False,,"#italy, #virus, #uk, #us, #iran, #sars, #coronavirus, #corona"
"RT @GwenythWR: #US drug maker ⁦@GileadSciences⁩ is expanding clinical trials of its investigational antiviral drug, remdesivir, for the tre…",,0,3,329,6883,2020-02-28 17:38:54,False,,#US
RT @ryanfiredragon: Possible infected patient is not being tested at the hospital  #coronavirus #2019nCoV #COVID19 #SARSCoV2 #US,Planet Earth,0,4,144,1279,2020-02-28 17:28:22,False,,"#coronavirus, #2019nCoV, #COVID19, #SARSCoV2, #US"
RT @kasraNejat1: #US offers to help #Iran as #Coronavirus death is rising . #COVID19 https://t.co/2SX4XDeqD0,,0,2,265,45872,2020-02-28 17:12:44,False,,"#US, #Iran, #Coronavirus, #COVID19"
RT @kasraNejat1: #US offers to help #Iran as #Coronavirus death is rising . #COVID19 https://t.co/2SX4XDeqD0,"England, United Kingdom",0,2,1571,171878,2020-02-28 17:04:55,False,,"#US, #Iran, #Coronavirus, #COVID19"
.@OANDA Market Insights - Episode 103 (Podcast) - @marketpulsecom @jazzfm #coronavirus #COVID19 #China #US #Trump… https://t.co/0acdoDHjkR,London,0,0,5862,13744,2020-02-28 16:51:51,False,,"#coronavirus, #COVID19, #China, #US, #Trump"
#US offers to help #Iran as #Coronavirus death is rising . #COVID19 https://t.co/2SX4XDeqD0,"St Louis, MO",1,2,864,76560,2020-02-28 16:48:50,False,,"#US, #Iran, #Coronavirus, #COVID19"
RT @Apex_WW: #NEW: The Trump administration barred a top #US disease expert from speaking freely to the public after he warned the coronavi…,,0,9,17,3104,2020-02-28 16:42:52,False,,"#NEW, #US"
RT @forooInc: Anyone know the resource of this video? I got to follow him 😎⁣ ⁣⁣ #italy #virus #uk #us #iran #sars #coronavirus #corona #nco…,USA,0,3,269,22842,2020-02-28 16:33:38,False,,"#italy, #virus, #uk, #us, #iran, #sars, #coronavirus, #corona"
RT @Apex_WW: #NEW: The Trump administration barred a top #US disease expert from speaking freely to the public after he warned the coronavi…,,0,9,11,266,2020-02-28 16:31:24,False,,"#NEW, #US"
"#US #coronavirus staff were untrained and unprotected, says whistleblower https://t.co/VVP9dkUSGj… https://t.co/zkVr77V2Hf","London, England",0,0,2742,47335,2020-02-28 16:30:09,False,,"#US, #coronavirus"
"RT @AnninFrance1: @chunkymark #WallStreet #Tech industry, the 1%🤑all gonna get #coronavirus if their housekeepers, restaurant, grocery stor…","Oregon, USA",0,1,191,5783,2020-02-28 16:13:21,False,,"#WallStreet, #Tech, #coronavirus"
"@chunkymark #WallStreet #Tech industry, the 1%🤑all gonna get #coronavirus if their housekeepers, restaurant, grocer… https://t.co/xQC16eVdzK",France,1,1,79,427,2020-02-28 16:11:17,False,,"#WallStreet, #Tech, #coronavirus"
