text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @micubita: RT @CGTNOfficial: Latest on #CoronavirusOutbreak in Italy:  - 888 cases reported - 21 deaths - 46 recovered  #COVID19 #corona…,Florida,0,1,11689,722272,2020-02-29 03:22:46,False,,"#CoronavirusOutbreak, #COVID19"
RT @CGTNOfficial: Latest on #CoronavirusOutbreak in Italy:  - 888 cases reported - 21 deaths - 46 recovered… https://t.co/8B5MxZxo1p,Cuba,0,1,737,26079,2020-02-29 03:15:04,False,,#CoronavirusOutbreak
"China Reports Catastrophic Data: PMIs Crash To Record Low, Confirming Coronavirus Collapse | Zero Hedge… https://t.co/36gVMMvjL4",Niagara Ontario,0,0,391,10278,2020-02-29 02:06:01,False,,
US Reports 12 New Coronavirus Cases As South Korean Infections Explode: Live Updates | Zero Hedge… https://t.co/0uUrLOJbHz,Niagara Ontario,1,0,391,10278,2020-02-29 02:04:35,False,,
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,"Maryland, USA",0,398,901,8709,2020-02-29 00:52:29,False,,"#NY, #coronavirus"
RT @vmramos: #NY health officials said they believe federal permission for in-state testing of #coronavirus to expedite results “is imminen…,"New York City, Long Island",0,1,4876,27533,2020-02-29 00:06:07,True,,"#NY, #coronavirus"
#NY health officials said they believe federal permission for in-state testing of #coronavirus to expedite results… https://t.co/fgUCQzvQ4I,"Long Island, New York",2,1,7436,18594,2020-02-28 23:53:38,True,,"#NY, #coronavirus"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,"Oklahoma City, Oklahoma",0,398,8,16,2020-02-28 17:36:36,False,,"#NY, #coronavirus"
#NewYork making its own #coronavirus test after botched #CDC testing kits #NY is also keeping hourly reports of… https://t.co/YXnQEKn0n1,Manna-hata,0,0,3570,39359,2020-02-28 15:24:18,False,,"#NewYork, #coronavirus, #CDC, #NY"
"RT @MikeOfGaia: This is what irrational #fear looks like. Went to pick up some paper masks for mixing concrete...NONE, this is Long island,…",,0,3,360,2750,2020-02-28 13:43:15,False,,#fear
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,"St. Louis, MO",0,398,2554,81976,2020-02-28 13:09:50,False,,"#NY, #coronavirus"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,"Dallas, TX",0,398,1620,195103,2020-02-28 13:06:21,False,,"#NY, #coronavirus"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,"Kalamazoo, MI",0,398,18205,259920,2020-02-28 12:53:58,False,,"#NY, #coronavirus"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,United States,0,398,56,12657,2020-02-28 10:34:41,False,,"#NY, #coronavirus"
#coronavirus #COVID2019. #California #NY over 9K monitored for #coronavirususa https://t.co/2KbtbwgJoU,"Oceanside, CA",0,0,324,10727,2020-02-28 10:07:08,False,,"#coronavirus, #COVID2019, #California, #NY, #coronavirususa"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,,0,398,511,313397,2020-02-28 05:55:29,False,,"#NY, #coronavirus"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,,0,398,120,34375,2020-02-28 05:27:28,False,,"#NY, #coronavirus"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,Just around the corner .,0,398,206,14334,2020-02-28 05:15:08,False,,"#NY, #coronavirus"
83 people in Nassau County being monitored for possible #coronavirus exposure #newyork #ny,New York,0,0,14,198,2020-02-28 03:07:21,False,,"#coronavirus, #newyork, #ny"
83 people in Nassau County being monitored for possible #coronavirus exposure #newyork #ny,New York,0,0,23,320,2020-02-28 03:07:21,False,,"#coronavirus, #newyork, #ny"
83 people in Nassau County being monitored for possible #coronavirus exposure #newyork #ny,USA,0,0,47,2439,2020-02-28 03:07:21,False,,"#coronavirus, #newyork, #ny"
83 people in Nassau County being monitored for possible #coronavirus exposure #newyork #ny,Asia,0,0,186,17601,2020-02-28 03:07:20,False,,"#coronavirus, #newyork, #ny"
83 people in Nassau County being monitored for possible #coronavirus exposure #newyork #ny,New York 🗽 🇮🇹 ,0,0,218,21727,2020-02-28 03:07:19,False,,"#coronavirus, #newyork, #ny"
83 people in Nassau County being monitored for possible #coronavirus exposure #newyork #ny,Europe,0,0,964,268958,2020-02-28 03:07:16,False,,"#coronavirus, #newyork, #ny"
