text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
First #coronavirus #death occurs in #US. The FDA also cleared a path for new coronavirus tests. https://t.co/eoMCEDqw0N,"Barcelona, Catalonia",0,0,9137,303788,2020-02-29 18:50:00,False,,"#coronavirus, #death, #US"
The first death in the #US from the #coronavirus confirmed in Washington state. Health officials there say a man di… https://t.co/rxWmQf11TV,New York,0,0,956,3066,2020-02-29 18:49:19,False,,"#US, #coronavirus"
RT @arabnews: @WHO #UPDATE: First #coronavirus death on #US soil has been reported in #Washington state https://t.co/A8JIjcWRX6 https://t.c…,Nederland,0,2,1261,79798,2020-02-29 18:49:15,False,,"#UPDATE, #coronavirus, #US, #Washington"
First death from #coronavirus in #US reported in Washington state; very scary! https://t.co/OZ3SFrgCXt #healthcare… https://t.co/gjOPEoGZBE,"Washington, DC",0,0,748,1819,2020-02-29 18:46:38,False,,"#coronavirus, #US, #healthcare"
RT @LBCI_News_EN: #Washington reports first #Coronavirus death | #US,USA,0,1,246,9174,2020-02-29 18:46:21,False,,"#Washington, #Coronavirus, #US"
RT @JadaWWLP: Officials have reported the 1st US coronavirus death in Washington state.  https://t.co/pUSGbRA3OU #Coronavirus #US #Health #…,"Chicopee, Ma",0,1,81768,191406,2020-02-29 18:44:17,True,,"#Coronavirus, #US, #Health"
#US reports first #coronavirus #death in #Washington state  https://t.co/0SR9KG02iz #COVID19,"Dallas, TX",2,0,8682,108128,2020-02-29 18:44:11,False,,"#US, #coronavirus, #death, #Washington, #COVID19"
@WHO #UPDATE: First #coronavirus death on #US soil has been reported in #Washington state https://t.co/A8JIjcWRX6 https://t.co/0kh6ULZRGJ,Saudi Arabia,5,2,217266,200422,2020-02-29 18:41:40,True,,"#UPDATE, #coronavirus, #US, #Washington"
@TRUMPSUSAMAGA @rockon451 @SpeakerPelosi The #democrats are going to be burried in the next #US election. It's a wo… https://t.co/narIeuat9q,,1,0,177,4938,2020-02-29 18:41:31,False,,"#democrats, #US"
How long until #Cult45 starts saying the first person to die from #Coronavirus in the #US is a #hoax and a… https://t.co/tt7zqFzsen,,0,0,90,1931,2020-02-29 18:41:29,False,,"#Cult45, #Coronavirus, #US, #hoax"
RT @V2019N: First #US death from #COVID19US #coronavirus Washington State,,0,110,208,4233,2020-02-29 18:41:22,False,,"#US, #COVID19US, #coronavirus"
Officials have reported the 1st US coronavirus death in Washington state.  https://t.co/pUSGbRA3OU #Coronavirus #US #Health #DigitalFirst,"Springfield, MA",0,1,75,155,2020-02-29 18:41:22,True,,"#Coronavirus, #US, #Health, #DigitalFirst"
RT @Jerusalem_Post: The first #coronavirus death in #US was reported in #Washington state on Saturday night by local media outlets.  https:…,,0,14,218,25717,2020-02-29 18:41:00,False,,"#coronavirus, #US, #Washington"
