text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
RT @WBYeats1865: #China Vegetables donated to #Wuhan were not sent into Wuhan &amp; left to rot on the roadside.  Chinese officials consider se…,Hong Kong,0,403,1554,18957,2020-02-29 18:50:02,False,,"#China, #Wuhan"
RT @fu7371: @RND_de Xi is playing the game now.  #WuhanCoronavirus https://t.co/TLRuit8Wp2,,0,4,157,297,2020-02-29 18:49:47,False,,#WuhanCoronavirus
RT @WBYeats1865: #China Vegetables donated to #Wuhan were not sent into Wuhan &amp; left to rot on the roadside.  Chinese officials consider se…,,0,403,14,6054,2020-02-29 18:49:43,False,,"#China, #Wuhan"
"https://t.co/xhlhWP34RH  Dear #donaldtrump,   Does this look like a hoax?  You are an imbecile and a complete disgr… https://t.co/0tIK368nPN",Florida,0,0,1628,25757,2020-02-29 18:49:40,False,,#donaldtrump
RT @dewmalLK: #CoronaVirus Facts Symptoms How it infects? How it kills you? #WuhanCoronavirus #CoronavirusOutbreak #dewmal https://t.co/WbU…,"Kurunegala,Sri Lanka",0,17,578,179,2020-02-29 18:49:20,False,,"#CoronaVirus, #WuhanCoronavirus, #CoronavirusOutbreak, #dewmal"
"RT @TScelzo: 💔 An 87-yr-old man diagnosed with #COVID19 visit his wife, also infected, from the ward next door patiently and with all the l…",In your imagination,0,3,699,38232,2020-02-29 18:48:35,False,,#COVID19
Boxes lookin’ fresh! Launching soon #COVID19 #WuhanCoronavirus #CoronaVirusUpdates https://t.co/VWgZZN4nC2,,0,0,18,18,2020-02-29 18:48:20,False,,"#COVID19, #WuhanCoronavirus, #CoronaVirusUpdates"
RT @TeresaW17993222: @rajeev_mp @realDonaldTrump @UN @WHO @DrSJaishankar @PMOIndia China and WHO collude to risk human lives of the world.…,,0,21,157,297,2020-02-29 18:48:11,False,,
RT @abuchanlife: Japanese people at costco rushing to get all toilet papers. panic started lol #toiletpaper #Coronavid19 #トイレットペーパー #corona…,"Valley Forge, PA",0,79,3146,65018,2020-02-29 18:47:51,False,,"#toiletpaper, #Coronavid19, #トイレットペーパー"
RT @Kirby_Cash: Person in Washington state first in U.S. to die from coronavirus | KTLA #coronavirus #coronavirususa #coronaviruschina #Cor…,,0,1,1451,347,2020-02-29 18:47:46,False,,"#coronavirus, #coronavirususa, #coronaviruschina"
"RT @ConfoHelvetica: Stunning and disturbing. Coronavirus compared to other virus outbreaks - SARS, MERS, H1N1, EBOLA !! #coronovirus #Wuhan…",,0,332,157,297,2020-02-29 18:47:30,False,,#coronovirus
RT @speer1988: Iran Nurse CoViD19 Experiences #COVID19 #COVID2019 #CoronavirusOutbreak #coronavirus #WuhanCoronavirus #ChinaVirus  #irancor…,"Piemonte, Italia",0,53,33,129,2020-02-29 18:47:11,False,,"#COVID19, #COVID2019, #CoronavirusOutbreak, #coronavirus, #WuhanCoronavirus, #ChinaVirus"
First fatality in US out of what #TrumpLies calls “Democrat Hoax” #WuhanCoronaVirus “1st coronavirus death in the U… https://t.co/oi1idAbKEq,Lafayette Louisiana,0,0,814,103070,2020-02-29 18:46:22,False,,"#TrumpLies, #WuhanCoronaVirus"
#WuhanCoronavirus  #WuhanOutbreak #WuhanQuarantine Citizens speak out after a month of quarantine https://t.co/a4OD6KsEBq,"Washington,DC",0,0,459,27691,2020-02-29 18:45:41,False,,"#WuhanCoronavirus, #WuhanOutbreak, #WuhanQuarantine"
