text,location,favorite_count,retweet_count,followers_count,statuses_count,time_stamp,verified,coordinates,hashtags
Cases also doubling every two days in #France. Same explosion in numbers as #Italy is to be expected.  #Covid19 https://t.co/fdBqkmRvYD,Behind you.,0,0,3195,68886,2020-02-29 19:04:26,False,,"#France, #Italy, #Covid19"
"RT @CoronaVirusInt: ⚠️To avoid panic, #Italy will NOT publish the number of confirmed #COVID19  diagnoses, only the number of severe and de…",Beograd SAO Banjica,0,4,606,1906,2020-02-29 19:04:26,False,,"#Italy, #COVID19"
RT @GHS: The #coronavirus outbreak has demonstrated just how quickly a virus can spread if appropriate precautions are not taken. This @reu…,Mumbai,0,4,2379,112009,2020-02-29 19:03:29,False,,#coronavirus
"#Italy has reported over 1,100 #COVID19 cases to date. #Germany is the second high in Europe, with almost 80 cases.",Europe,0,0,21,290,2020-02-29 19:02:36,False,,"#Italy, #COVID19, #Germany"
RT @GHS: The #coronavirus outbreak has demonstrated just how quickly a virus can spread if appropriate precautions are not taken. This @reu…,"Moscow, Russia",0,4,862,15047,2020-02-29 19:02:30,False,,#coronavirus
RT @GHS: The #coronavirus outbreak has demonstrated just how quickly a virus can spread if appropriate precautions are not taken. This @reu…,Baltimore MD USA,0,4,3116,42661,2020-02-29 19:02:01,False,,#coronavirus
"RT @Italia: Italy is a safe country: all services and activities for citizens and tourists are normally provided and the quality of life, f…",,0,261,213,25119,2020-02-29 19:00:40,False,,
RT @GHS: The #coronavirus outbreak has demonstrated just how quickly a virus can spread if appropriate precautions are not taken. This @reu…,Earthling,0,4,15160,403601,2020-02-29 19:00:20,False,,#coronavirus
The #coronavirus outbreak has demonstrated just how quickly a virus can spread if appropriate precautions are not t… https://t.co/8d757Fg5Uf,NY/Delhi/Rio/Beijing/Nairobi/Joburg/London,3,4,32045,12318,2020-02-29 19:00:01,True,,#coronavirus
RT @HansMichielscom: https://t.co/5nY33E0qHr  #covid19 #coronavirus able to survive for days on surfaces outside a body #Italy #netherlands…,N/A,0,1,717,6741,2020-02-29 18:59:34,False,,"#covid19, #coronavirus, #Italy, #netherlands"
RT @euronews: #Milan residents are stockpiling food and water as #Italy grapples with #COVID19  #COVID19italia   https://t.co/t2Ed9faizF ht…,Toronto,0,1380,406,60384,2020-02-29 18:59:19,False,,"#Milan, #Italy, #COVID19, #COVID19italia"
https://t.co/5nY33E0qHr  #covid19 #coronavirus able to survive for days on surfaces outside a body #Italy… https://t.co/YBdt0NrSyD,"Utrecht area, The Netherlands",1,1,119426,1831,2020-02-29 18:59:07,False,,"#covid19, #coronavirus, #Italy"
RT @mohdalwalidi: Vatican of #Italy &amp; #qum of #Iran (Iranian vatican) &amp; the doomsday  church cult in #SouthKorea (200000 followers). Did #C…,,0,4,49,9069,2020-02-29 18:58:39,False,,"#Italy, #qum, #Iran, #SouthKorea"
Back at it again; Home Depot is completely out of face masks &amp; respirators!  #COVID #CoronaVirusUpdates #MikePence… https://t.co/zhxtLvKWlU,,0,0,9,91,2020-02-29 18:58:03,False,,"#COVID, #CoronaVirusUpdates, #MikePence"
"Update #coronavirus #coronavirusitalia #COVID19  Feb 29, 2020 #Italy #Europe infected 1128 deaths 29","Rome, Italy",1,0,58,1317,2020-02-29 18:57:29,False,,"#coronavirus, #coronavirusitalia, #COVID19, #Italy, #Europe"
"RT @covid2019_info: #covid19 #coronavirus #WuFlu partial snapshot per worldometer, note #Italy. Take care! https://t.co/irFIbJIQFs",,0,3,10601,166,2020-02-29 18:57:27,False,,"#covid19, #coronavirus, #WuFlu, #Italy"
"239 new #covid19 cases in #Italy &amp; 8 new deaths.  1,049 active cases: - 401 (38%) hospitalised - 105 (10%) in inten… https://t.co/7FZirVGGLV",London/Cornwall/Italy/Europe,0,0,267,2170,2020-02-29 18:55:55,False,,"#covid19, #Italy"
"RT @CatholicDoors: Italy’s Total Known Coronavirus Infections Top 1,000 Cases. https://t.co/NuyaJy0cDL  #Coronavirus #china #outbreak #COVI…",Utrecht (The Netherlands),0,1,124,25558,2020-02-29 18:55:40,False,,"#Coronavirus, #china, #outbreak"
"RT @covid2019_info: #covid19 #coronavirus #WuFlu partial snapshot per worldometer, note #Italy. Take care! https://t.co/irFIbJIQFs",Chicago,0,3,175,645,2020-02-29 18:55:25,False,,"#covid19, #coronavirus, #WuFlu, #Italy"
"Italy’s Total Known Coronavirus Infections Top 1,000 Cases. https://t.co/NuyaJy0cDL  #Coronavirus #china #outbreak… https://t.co/Ej9zV8g7jx",Worldwide,0,1,2537,28798,2020-02-29 18:53:56,False,,"#Coronavirus, #china, #outbreak"
"RT @YuenWaiLoon: #Italy🇮🇹 has reached 1,128 cases, 29 deaths.   #COVID_19 #COVID19 #SARSCoV2 #SARS_CoV_2 #CoronaVirus #CoronaVirusOutbreak",Tuscany Italy,0,1,1177,60195,2020-02-29 18:53:40,False,,"#Italy, #COVID_19, #COVID19, #SARSCoV2, #SARS_CoV_2, #CoronaVirus, #CoronaVirusOutbreak"
An #Italian official says the number of people in #Italy who have died from #coronavirus has risen to 29 and the nu… https://t.co/mUCBYEY42k,"London, England",0,0,6515,21731,2020-02-29 18:52:41,False,,"#Italian, #Italy, #coronavirus"
"RT @WHO: @DrTedros ""Since yesterday, 🇩🇰, 🇪🇪, 🇱🇹, 🇳🇱 &amp; 🇳🇬 have all reported their first #COVID19 cases. All these cases have links to #Italy…",血が咲,0,307,298,44014,2020-02-29 18:52:31,False,,"#COVID19, #Italy"
"RT @Liberte_info: Fact that cases/deaths more than double every two days begs the question: is it a different, more virulent strain of the…","Genève, Suisse",0,2,9384,358309,2020-02-29 18:52:16,False,,
